date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-01-22,6100.0,6100.0,4500.0,4513.0,31544807700,6990235,1169,1000.0,4500.0
2013-01-23,4738.0,4738.0,4738.0,4738.0,1001390514,211353,51,4513.0,4738.0
2013-01-26,4974.0,4974.0,4974.0,4974.0,1026887274,206451,62,4738.0,4974.0
2013-01-27,5222.0,5222.0,5222.0,5222.0,3169806220,607010,146,4974.0,5222.0
2013-01-28,5483.0,5483.0,5483.0,5483.0,4264222311,777717,231,5222.0,5483.0
2013-01-30,5757.0,5757.0,5757.0,5757.0,11360391726,1973318,847,5483.0,5757.0
2013-02-02,6044.0,6044.0,5760.0,6012.0,54498570604,9064941,8762,5757.0,6044.0
2013-02-03,6051.0,6312.0,6051.0,6263.0,25575826937,4083550,2228,6012.0,6312.0
2013-02-04,6498.0,6576.0,6402.0,6545.0,16040923254,2450727,987,6263.0,6576.0
2013-02-05,6872.0,6872.0,6600.0,6844.0,33656439584,4917419,1864,6545.0,6872.0
2013-02-06,6880.0,7146.0,6751.0,6924.0,21178584524,3058857,1872,6844.0,6840.0
2013-02-09,6900.0,7270.0,6900.0,7243.0,30620017479,4227306,2213,6924.0,7270.0
2013-02-11,7605.0,7605.0,7605.0,7605.0,4493794500,590900,178,7243.0,7605.0
2013-02-12,7985.0,7985.0,7985.0,7985.0,1424867355,178443,54,7605.0,7985.0
2013-02-13,8384.0,8384.0,8040.0,8363.0,42689770186,5104581,2394,7985.0,8299.0
2013-02-16,8120.0,8400.0,7945.0,8089.0,11453695045,1416024,724,8363.0,7945.0
2013-02-17,7685.0,8120.0,7685.0,7795.0,47713484194,6121034,2684,8089.0,7685.0
2013-02-18,7750.0,8106.0,7600.0,7827.0,20746580049,2650709,1469,7795.0,7660.0
2013-02-19,7480.0,8218.0,7480.0,8049.0,42485470729,5278105,2375,7827.0,8218.0
2013-02-20,8380.0,8451.0,8110.0,8337.0,23028000582,2762176,1473,8049.0,8200.0
2013-02-23,8454.0,8600.0,7921.0,8138.0,17917935347,2201681,1343,8337.0,7921.0
2013-02-24,7950.0,7950.0,7732.0,7754.0,15401915468,1986204,863,8138.0,7732.0
2013-02-25,7411.0,7550.0,7367.0,7390.0,5238145625,708796,392,7754.0,7367.0
2013-02-26,7300.0,7367.0,7021.0,7069.0,23503580416,3324705,2055,7390.0,7021.0
