date,open,high,low,adjClose,value,volume,count,close
2016-01-19,13200.0,13200.0,13200.0,13200.0,198000000000,15000000,15727,13200.0
2016-01-20,13860.0,13860.0,13860.0,13860.0,354039840,25544,94,13860.0
2016-01-23,14553.0,14553.0,14553.0,14553.0,3708511884,254828,463,14553.0
2016-01-24,15280.0,15280.0,15280.0,15280.0,6497285200,425215,1057,15280.0
2016-01-25,16044.0,16044.0,16044.0,16044.0,12825300852,799383,1615,16044.0
2016-01-26,16846.0,16846.0,16512.0,16844.0,87847030263,5215331,8159,16846.0
2016-01-27,16841.0,17300.0,16550.0,16808.0,78750411791,4685425,9015,16850.0
2016-01-30,16489.0,16700.0,16100.0,16400.0,21465418506,1308868,2235,16300.0
2016-01-31,16110.0,16940.0,16100.0,16566.0,20813994066,1256459,1733,16930.0
2016-02-01,16801.0,17394.0,16801.0,17248.0,17464856813,1012591,1046,17394.0
2016-02-02,18019.0,18110.0,17725.0,18085.0,48099894576,2659612,1441,18000.0
2016-02-03,17800.0,18400.0,17500.0,18017.0,7625168732,423212,492,18150.0
2016-02-06,17512.0,18499.0,17512.0,18214.0,10401417162,571054,482,18177.0
2016-02-07,17800.0,18880.0,17800.0,18436.0,18620368929,1009995,603,18214.0
2016-02-08,18013.0,19300.0,18012.0,18596.0,23491340242,1263225,911,19200.0
2016-02-09,19000.0,19525.0,19000.0,19475.0,22500926210,1155371,626,19150.0
2016-02-10,19522.0,20150.0,19300.0,19876.0,21706336899,1092111,691,20000.0
2016-02-13,20300.0,20500.0,19500.0,19978.0,13892003376,695365,437,19970.0
2016-02-14,20075.0,20250.0,20075.0,20169.0,8666264207,429685,255,20100.0
2016-02-15,20300.0,21177.0,20270.0,21019.0,17744936522,844224,923,21170.0
2016-02-16,21489.0,21800.0,21170.0,21249.0,14059638943,661651,417,21300.0
2016-02-17,21355.0,21400.0,21340.0,21354.0,9829690583,460313,399,21350.0
2016-02-20,21600.0,21799.0,21440.0,21467.0,17739937260,826392,479,21460.0
2016-02-21,21574.0,21670.0,20394.0,21483.0,16356941586,761386,349,20500.0
2016-02-22,21590.0,21900.0,21501.0,21618.0,5710647810,264159,290,21695.0
2016-02-23,21997.0,21997.0,20999.0,21285.0,14697845782,690526,313,21000.0
2016-02-24,20859.0,21000.0,20859.0,20880.0,2240862471,107319,140,20904.0
2016-02-27,20881.0,21450.0,20606.0,20814.0,3032077387,145677,86,20649.0
2016-02-28,20650.0,20650.0,19774.0,20061.0,13621370779,678983,378,19850.0
2016-02-29,19750.0,19750.0,19261.0,19454.0,4614858703,237219,199,19261.0
2016-03-01,19128.0,19130.0,19020.0,19071.0,3051380763,160003,153,19130.0
2016-03-02,19030.0,20000.0,18800.0,19153.0,1901322585,99270,90,19101.0
2016-03-05,19500.0,20000.0,19090.0,19494.0,864889988,44368,73,19311.0
2016-03-06,19311.0,19800.0,19140.0,19383.0,1007301794,51968,86,19161.0
2016-03-07,19383.0,19490.0,18414.0,18751.0,5307993858,283077,193,18820.0
2016-03-08,18800.0,19500.0,18500.0,18917.0,2785796505,147262,97,18750.0
2016-03-09,18800.0,18801.0,18402.0,18606.0,562912508,30254,88,18410.0
2016-03-12,18200.0,18549.0,18200.0,18482.0,3561901730,192720,118,18490.0
2016-03-14,18400.0,18400.0,17850.0,18143.0,3572568474,196911,224,17850.0
2016-03-15,18100.0,18189.0,17700.0,17872.0,3899837488,218215,121,17700.0
2016-03-16,17273.0,18765.0,17023.0,17626.0,4692193482,266209,163,18765.0
2016-03-26,18507.0,18507.0,18507.0,18507.0,170504991,9213,14,18507.0
2016-03-27,19380.0,19432.0,18990.0,19194.0,563253604,29346,76,19200.0
2016-03-28,19200.0,19200.0,18350.0,19079.0,287080734,15047,30,18801.0
2016-03-29,18202.0,19000.0,18200.0,18814.0,738512231,39253,56,19000.0
2016-03-30,18997.0,19100.0,18500.0,18842.0,1882601639,99915,73,18800.0
2016-04-02,18503.0,18996.0,18217.0,18438.0,3578518499,194080,93,18842.0
2016-04-03,18996.0,19200.0,18381.0,18669.0,1940192603,103926,80,18596.0
2016-04-04,18450.0,18450.0,18100.0,18334.0,383342570,20909,38,18155.0
2016-04-05,18398.0,18500.0,18107.0,18378.0,1315505339,71581,45,18189.0
2016-04-06,18200.0,18520.0,18116.0,18270.0,1931462686,105719,54,18220.0
2016-04-09,18110.0,18599.0,18110.0,18364.0,1225165029,66717,50,18210.0
2016-04-10,18599.0,18599.0,18300.0,18420.0,3113854130,169047,58,18400.0
2016-04-11,18210.0,18700.0,18200.0,18522.0,733371720,39594,47,18700.0
2016-04-12,18501.0,18600.0,18500.0,18547.0,377889191,20375,41,18590.0
2016-04-13,18350.0,18540.0,18300.0,18380.0,318826128,17346,33,18500.0
2016-04-16,18490.0,18820.0,17550.0,17871.0,2855474245,159781,86,17561.0
2016-04-17,17500.0,18500.0,17500.0,18367.0,573126690,31204,32,18400.0
2016-04-18,18500.0,18500.0,18100.0,18452.0,517720592,28057,58,18455.0
2016-04-19,18001.0,18090.0,18001.0,18025.0,218895361,12144,28,18020.0
2016-04-20,17800.0,18300.0,17500.0,17966.0,669843372,37284,42,18000.0
2016-04-23,18380.0,18595.0,18360.0,18491.0,354911235,19194,22,18360.0
2016-04-24,18199.0,18500.0,18199.0,18370.0,1432499751,77980,40,18339.0
2016-04-25,18451.0,18900.0,18150.0,18879.0,20961640163,1110308,103,18900.0
2016-04-26,18300.0,18370.0,17936.0,18014.0,5007925017,278005,87,18001.0
2016-04-27,18030.0,18291.0,18030.0,18196.0,89144106,4899,15,18200.0
2016-04-30,18001.0,18497.0,18001.0,18428.0,413973903,22464,12,18023.0
2016-05-01,18003.0,18300.0,18003.0,18227.0,2337749135,128255,41,18050.0
2016-05-02,18010.0,18690.0,18007.0,18494.0,1145007258,61914,69,18600.0
2016-05-03,18051.0,18580.0,18002.0,18455.0,224462766,12163,24,18222.0
2016-05-04,18050.0,18500.0,17905.0,18160.0,1009922078,55613,49,18500.0
2016-05-07,18001.0,18498.0,18001.0,18152.0,484993801,26719,30,18060.0
2016-05-08,18010.0,18446.0,18000.0,18063.0,581046488,32168,60,18100.0
2016-05-09,18000.0,18150.0,18000.0,18060.0,326713703,18090,26,18022.0
2016-05-10,18220.0,18230.0,18150.0,18220.0,37642370,2066,5,18150.0
2016-05-11,18008.0,18010.0,17505.0,17971.0,3079402231,171356,59,17800.0
2016-05-14,18189.0,18189.0,17800.0,18023.0,339866768,18857,21,17850.0
2016-05-15,17701.0,18200.0,17701.0,18100.0,499534999,27598,34,18103.0
2016-05-16,18000.0,18500.0,18000.0,18423.0,717870597,38967,37,18500.0
2016-05-17,18300.0,18770.0,18300.0,18415.0,615452706,33421,29,18353.0
2016-05-18,18600.0,19335.0,18402.0,19023.0,3242872870,170469,80,18950.0
2016-05-21,18990.0,18990.0,18615.0,18832.0,172198480,9144,13,18850.0
2016-05-23,18480.0,18700.0,18400.0,18463.0,333158765,18045,27,18400.0
2016-05-24,18899.0,19264.0,18899.0,19234.0,4662723153,242425,37,19000.0
2016-05-25,18702.0,19259.0,18702.0,19154.0,1190278520,62141,63,19258.0
2016-05-28,19258.0,19289.0,19002.0,19062.0,775688226,40693,52,19020.0
2016-05-29,19000.0,19300.0,19000.0,19229.0,2520275836,131066,48,19000.0
2016-05-30,19000.0,19000.0,18268.0,18303.0,1348818993,73694,37,18425.0
2016-05-31,18425.0,18900.0,18001.0,18417.0,1963101394,106594,79,18800.0
2016-06-11,15919.0,15919.0,15919.0,15917.0,159190000,10000,11,15919.0
2016-06-12,15919.0,17000.0,15600.0,16018.0,209377711,12774,38,16016.0
2016-06-13,16300.0,16975.0,16300.0,16392.0,771102924,46740,26,16380.0
2016-06-14,16020.0,16450.0,16000.0,16170.0,261814575,16191,32,16450.0
2016-06-15,15976.0,15976.0,15755.0,15867.0,130948107,8253,19,15853.0
2016-06-18,15902.0,16660.0,15902.0,16521.0,1397243576,84573,47,16660.0
2016-06-19,17096.0,17097.0,16311.0,16723.0,186929741,11178,21,16700.0
2016-06-20,16200.0,17559.0,16200.0,17497.0,2597314160,148445,75,17559.0
2016-06-21,18299.0,18299.0,17801.0,18020.0,650982630,36125,53,17998.0
2016-06-22,18000.0,18338.0,17800.0,18011.0,710339970,39439,53,18000.0
2016-06-25,18000.0,18450.0,18000.0,18235.0,379070280,20788,30,18450.0
2016-06-26,18882.0,18882.0,18000.0,18031.0,744359132,41282,32,18021.0
2016-06-28,18022.0,18025.0,17503.0,17944.0,279831779,15595,14,17990.0
2016-06-29,17502.0,17880.0,17400.0,17653.0,313563968,17763,36,17400.0
2016-07-02,17400.0,17899.0,17059.0,17406.0,305344690,17542,14,17080.0
2016-07-03,17500.0,17700.0,17058.0,17490.0,693228403,39635,14,17497.0
2016-07-04,17200.0,17597.0,17200.0,17202.0,1762933996,102483,16,17597.0
2016-07-05,17203.0,17203.0,17202.0,17202.0,19507350,1134,5,17203.0
2016-07-09,17210.0,17210.0,16999.0,17012.0,672284924,39518,20,17000.0
2016-07-10,16986.0,17000.0,16700.0,16828.0,1177774126,69987,29,16800.0
2016-07-11,16707.0,17600.0,16647.0,16709.0,1784083330,106773,28,17600.0
2016-07-12,17000.0,17000.0,16342.0,16713.0,330101431,19751,28,16342.0
2016-07-16,16800.0,16800.0,16202.0,16249.0,16606827,1022,10,16203.0
2016-07-17,16949.0,16949.0,16505.0,16609.0,25129685,1513,5,16800.0
2016-07-18,16995.0,17000.0,16800.0,16943.0,34241485,2021,13,17000.0
2016-07-19,17397.0,17397.0,17377.0,17382.0,56629926,3258,8,17389.0
2016-07-20,17388.0,17388.0,16798.0,16856.0,43185935,2562,7,17300.0
2016-07-23,16823.0,17000.0,16420.0,16763.0,228093995,13607,20,17000.0
2016-07-24,17601.0,17601.0,17601.0,17601.0,117979503,6703,10,17601.0
2016-07-25,18390.0,18390.0,17721.0,18015.0,1434650018,79636,45,18000.0
2016-07-26,17908.0,17908.0,17451.0,17464.0,58050043,3324,9,17462.0
2016-07-27,17540.0,17990.0,16903.0,17385.0,559729319,32197,25,17307.0
2016-07-31,17001.0,17998.0,17001.0,17512.0,385935680,22038,12,17996.0
2016-08-01,17968.0,17968.0,17900.0,17900.0,359078080,20060,3,17900.0
