date,open,high,low,adjClose,value,volume,count,close
2004-03-16,7060.0,7150.0,6800.0,6956.0,1844250156,265000,276,6956.0
2004-03-17,7303.0,7303.0,7303.0,7303.0,3541955000,485000,188,7303.0
2004-03-27,7668.0,7668.0,7668.0,7668.0,612673200,79900,28,7668.0
2004-03-28,8051.0,8051.0,8051.0,8051.0,623147400,77400,78,8051.0
2004-03-29,8453.0,8453.0,8453.0,8453.0,109043700,12900,10,8453.0
2004-03-30,8875.0,8875.0,8875.0,8875.0,150875000,17000,14,8875.0
2004-04-03,9318.0,9318.0,9318.0,9318.0,130452000,14000,25,9318.0
2004-04-04,9783.0,9783.0,9783.0,9783.0,495998100,50700,45,9783.0
2004-04-05,10272.0,10272.0,10272.0,10272.0,706713600,68800,94,10272.0
2004-04-06,10785.0,10785.0,10785.0,10785.0,228642000,21200,45,10785.0
2004-04-07,11324.0,11324.0,11324.0,11324.0,152874000,13500,11,11324.0
2004-04-10,11890.0,11890.0,11890.0,11890.0,178564020,15018,29,11890.0
2004-04-12,12484.0,12484.0,11296.0,11974.0,5352922075,447022,357,11974.0
2004-04-13,11376.0,11809.0,11376.0,11809.0,41583610,3655,12,11809.0
2004-04-14,11219.0,12392.0,11219.0,11372.0,1464180865,128753,93,11372.0
2004-04-17,11100.0,11100.0,10850.0,10858.0,226249280,20837,18,10858.0
2004-04-18,10316.0,10316.0,10316.0,10316.0,625933616,60676,54,10316.0
2004-04-21,10316.0,10316.0,10269.0,10312.0,72825537,7063,9,10312.0
2004-04-24,10100.0,10100.0,9799.0,9809.0,144019390,14681,18,9809.0
2004-04-25,9809.0,9809.0,9650.0,9734.0,824577840,84706,41,9734.0
2004-04-26,9809.0,9810.0,9599.0,9705.0,587616961,60542,32,9705.0
2004-04-27,9255.0,9598.0,9250.0,9297.0,191699764,20619,23,9297.0
2004-04-28,9560.0,9761.0,9560.0,9607.0,416412286,43343,30,9607.0
2004-05-01,10087.0,10087.0,10067.0,10067.0,127963482,12686,8,10067.0
2004-05-02,10570.0,10570.0,10050.0,10561.0,1469152768,139107,74,10561.0
2004-05-03,10562.0,10899.0,10561.0,10686.0,491696306,46009,28,10686.0
2004-05-04,10539.0,10563.0,10250.0,10563.0,72094080,6898,12,10563.0
2004-05-05,10467.0,10534.0,10399.0,10534.0,32635578,3125,7,10534.0
2004-05-08,10155.0,10380.0,10008.0,10158.0,123594579,12204,13,10158.0
2004-05-09,10280.0,10280.0,10222.0,10222.0,72021100,7006,4,10222.0
2004-05-11,9752.0,10115.0,9752.0,10115.0,29357150,3010,2,10115.0
2004-05-17,10000.0,10100.0,9610.0,9977.0,1053680598,105607,58,9977.0
2004-05-18,9479.0,9699.0,9479.0,9699.0,69862430,7370,8,9699.0
2004-05-19,9251.0,9550.0,9251.0,9264.0,231698793,25010,9,9264.0
2004-05-22,9000.0,9264.0,8801.0,9029.0,65083460,7360,5,9029.0
2004-05-24,9030.0,9250.0,9029.0,9079.0,134742690,14841,20,9079.0
2004-05-25,9248.0,9470.0,9053.0,9195.0,93942638,10176,9,9195.0
2004-06-02,9979.0,9998.0,9200.0,9760.0,77448010,7935,8,9760.0
2004-06-06,9700.0,9700.0,9300.0,9519.0,90186390,9566,10,9519.0
2004-06-07,9300.0,9315.0,9100.0,9315.0,79487450,8633,11,9315.0
2004-06-08,9100.0,9224.0,9050.0,9224.0,49885690,5484,9,9224.0
2004-06-09,9120.0,9120.0,9100.0,9102.0,199609510,21929,18,9102.0
2004-06-12,9103.0,9103.0,9102.0,9102.0,69485408,7634,8,9102.0
2004-06-13,9000.0,9011.0,8900.0,9011.0,89827410,10000,7,9011.0
2004-06-14,8850.0,9461.0,8800.0,9002.0,119396992,13262,14,9002.0
2004-06-15,9452.0,9452.0,9201.0,9201.0,55338950,5855,6,9201.0
2004-06-16,9661.0,9661.0,9513.0,9513.0,86850910,8990,13,9513.0
2004-06-19,9988.0,9988.0,9877.0,9877.0,101476970,10160,20,9877.0
2004-06-20,10370.0,10370.0,10305.0,10305.0,119181760,11493,17,10305.0
2004-06-21,10818.0,10818.0,10570.0,10612.0,333137817,31390,27,10612.0
2004-06-22,11142.0,11142.0,10800.0,11082.0,784173869,70760,49,11082.0
2004-06-23,11200.0,11300.0,11200.0,11235.0,244710430,21780,19,11235.0
2004-06-26,11302.0,11495.0,11250.0,11332.0,196323607,17324,21,11332.0
2004-06-27,11297.0,11331.0,10766.0,11264.0,434244432,38549,24,11264.0
2004-06-28,10701.0,10701.0,10701.0,10701.0,785346390,73390,32,10701.0
2004-06-29,10166.0,10701.0,10166.0,10662.0,386686816,36266,15,10662.0
2004-06-30,10662.0,10663.0,10299.0,10437.0,546611559,52370,17,10437.0
2004-07-03,10302.0,10302.0,10001.0,10207.0,192567426,18866,10,10207.0
2004-07-04,10289.0,10289.0,10286.0,10288.0,174355712,16947,11,10288.0
2004-07-05,10280.0,10289.0,10277.0,10283.0,175337096,17050,10,10283.0
2004-07-06,10284.0,10790.0,10284.0,10338.0,48856200,4679,8,10338.0
2004-07-07,10500.0,10516.0,10500.0,10503.0,183893415,17508,8,10503.0
2004-07-10,11000.0,11028.0,11000.0,11024.0,422098240,38286,19,11024.0
2004-07-11,11024.0,11575.0,11024.0,11414.0,210979939,18483,15,11414.0
2004-07-12,11984.0,11984.0,11591.0,11591.0,49346182,4118,6,11591.0
2004-07-13,12170.0,12170.0,12170.0,12170.0,570310540,46862,17,12170.0
2004-07-14,12000.0,12006.0,12000.0,12001.0,298292458,24855,17,12001.0
2004-07-17,12601.0,12601.0,12145.0,12145.0,40318640,3200,8,12145.0
2004-07-18,12752.0,12752.0,12731.0,12731.0,162906590,12775,10,12731.0
2004-07-19,12733.0,12733.0,12731.0,12731.0,636630,50,2,12731.0
2004-07-20,13367.0,13367.0,12760.0,13331.0,289270077,21699,27,13331.0
2004-07-24,13500.0,13997.0,13331.0,13889.0,609604322,43889,29,13889.0
2004-08-14,7000.0,7000.0,7000.0,7000.0,7000000,1000,1,7000.0
2004-08-15,7000.0,7000.0,7000.0,7000.0,49000000,7000,1,7000.0
2004-08-16,7050.0,7350.0,7001.0,7314.0,247668130,33860,11,7314.0
2004-08-17,7679.0,7679.0,7500.0,7594.0,341840940,45010,15,7594.0
2004-08-18,7509.0,7600.0,7314.0,7567.0,26027337,3473,4,7567.0
2004-08-21,7600.0,7800.0,7600.0,7726.0,164174682,21247,13,7726.0
2004-08-22,7620.0,7998.0,7610.0,7842.0,210343707,26821,20,7842.0
2004-08-23,7610.0,7834.0,7610.0,7834.0,3122428,410,3,7834.0
2004-08-24,7610.0,7999.0,7597.0,7876.0,229495033,29135,13,7876.0
2004-08-25,7880.0,8269.0,7880.0,8140.0,264661400,32510,9,8140.0
2004-08-28,8000.0,8540.0,8000.0,8399.0,372010166,44292,13,8399.0
2004-08-29,8499.0,8499.0,8400.0,8401.0,17440648,2072,4,8401.0
2004-08-31,8480.0,8480.0,8467.0,8476.0,283468329,33441,15,8476.0
2004-09-01,8478.0,8478.0,8476.0,8476.0,10978990,1295,3,8476.0
2004-09-04,8455.0,8459.0,8300.0,8455.0,20881705,2495,5,8455.0
2004-09-06,8300.0,8454.0,8289.0,8454.0,664880,80,3,8454.0
2004-09-07,8260.0,8390.0,8260.0,8390.0,35601900,4310,2,8390.0
2004-09-08,7971.0,8370.0,7971.0,8370.0,5041662,632,5,8370.0
2004-09-11,7971.0,8357.0,7952.0,8357.0,3217038,404,3,8357.0
2004-09-12,7940.0,7971.0,7940.0,7942.0,193792653,24399,20,7942.0
2004-09-14,7942.0,7943.0,7942.0,7942.0,83454545,10508,6,7942.0
2004-09-15,7943.0,7943.0,7942.0,7942.0,95306000,12000,2,7942.0
2004-09-18,7900.0,7936.0,7900.0,7936.0,13590250,1720,3,7936.0
2004-09-19,7894.0,7932.0,7893.0,7932.0,7578070,960,3,7932.0
2004-09-22,7853.0,7928.0,7847.0,7928.0,4404870,561,4,7928.0
2004-09-25,7879.0,7930.0,7843.0,7888.0,727006315,92160,35,7888.0
2004-09-26,7888.0,7888.0,7888.0,7888.0,1979888,251,1,7888.0
2004-10-02,7879.0,7885.0,7799.0,7885.0,4920072,628,3,7885.0
2004-10-04,7491.0,7840.0,7491.0,7840.0,11314900,1510,3,7840.0
2004-10-06,7448.0,7448.0,7448.0,7448.0,119168000,16000,13,7448.0
2004-10-10,7445.0,7445.0,7076.0,7419.0,8639190,1210,3,7419.0
2004-10-11,7075.0,7392.0,7075.0,7392.0,7148920,1010,2,7392.0
2004-10-12,7076.0,7078.0,7070.0,7076.0,126957446,17941,9,7076.0
2004-10-13,7076.0,7076.0,7075.0,7075.0,23199322,3279,9,7075.0
2004-10-16,7076.0,7076.0,7075.0,7075.0,60371675,8533,5,7075.0
2004-10-17,7075.0,7075.0,7070.0,7074.0,74138240,10480,8,7074.0
2004-10-18,7070.0,7070.0,6750.0,7037.0,13730370,2010,3,7037.0
2004-10-19,6750.0,7036.0,6750.0,6751.0,148908504,22057,14,6751.0
2004-10-20,6750.0,6751.0,6750.0,6750.0,25200963,3733,7,6750.0
2004-10-24,6765.0,6765.0,6751.0,6751.0,6832510,1010,2,6751.0
2004-10-25,6900.0,6900.0,6787.0,6787.0,22492870,3260,6,6787.0
2004-10-27,6450.0,6765.0,6450.0,6765.0,5575950,864,4,6765.0
2004-10-30,6765.0,6765.0,6765.0,6765.0,3382500,500,1,6765.0
2004-11-01,6600.0,6759.0,6600.0,6759.0,2971590,450,2,6759.0
2004-11-02,6768.0,6769.0,6758.0,6762.0,300335410,44410,14,6762.0
2004-11-08,6768.0,6772.0,6762.0,6762.0,2647732,391,3,6762.0
2004-11-09,6772.0,6772.0,6762.0,6762.0,8884764,1312,3,6762.0
2004-11-10,6772.0,6800.0,6750.0,6771.0,46904831,6917,5,6771.0
2004-11-13,6700.0,6771.0,6700.0,6765.0,37913396,5610,5,6765.0
2004-11-15,6975.0,6975.0,6772.0,6772.0,3555220,510,2,6772.0
2004-11-16,6975.0,6975.0,6778.0,6778.0,2843830,408,2,6778.0
2004-11-17,6975.0,6976.0,6789.0,6789.0,5299720,760,3,6789.0
2004-11-22,6750.0,6788.0,6750.0,6788.0,3064880,454,2,6788.0
