date,open,high,low,adjClose,value,volume,count,close
2017-10-18,1760.0,1760.0,1760.0,1760.0,633670400000,360040000,151449,1760.0
2017-10-21,1848.0,1848.0,1848.0,1847.0,5132058624,2777088,257,1848.0
2017-10-22,1939.0,1939.0,1939.0,1939.0,20658111817,10654003,581,1939.0
2017-10-23,2035.0,2035.0,1946.0,2005.0,443032525278,220994535,98521,1949.0
2017-10-24,1942.0,2020.0,1909.0,1967.0,162515179970,82611006,32149,1990.0
2017-10-25,2000.0,2050.0,2000.0,2030.0,84504250229,41633732,11974,2035.0
2017-10-28,2037.0,2131.0,2030.0,2103.0,83679629987,39789824,7702,2131.0
2017-10-29,2150.0,2200.0,2115.0,2150.0,94098625265,43761522,7039,2121.0
2017-10-30,2130.0,2140.0,2090.0,2103.0,43061094933,20477306,4821,2105.0
2017-10-31,2120.0,2169.0,2101.0,2138.0,37151503319,17376154,3068,2107.0
2017-11-01,2119.0,2144.0,2106.0,2122.0,27630184557,13020853,2393,2140.0
2017-11-04,2141.0,2228.0,2124.0,2206.0,93896715547,42558074,6025,2200.0
2017-11-05,2230.0,2265.0,2172.0,2213.0,39146327147,17687999,2593,2172.0
2017-11-06,2180.0,2195.0,2162.0,2174.0,21586547311,9929712,1739,2190.0
2017-11-07,2170.0,2205.0,2170.0,2196.0,18524784445,8434467,1533,2200.0
2017-11-08,2200.0,2203.0,2171.0,2184.0,18157974910,8315712,1035,2180.0
2017-11-11,2174.0,2190.0,2160.0,2168.0,14194834967,6548922,1274,2184.0
2017-11-12,2168.0,2261.0,2165.0,2211.0,22134603701,10012516,2006,2241.0
2017-11-13,2250.0,2299.0,2230.0,2266.0,30059229878,13265050,1866,2250.0
2017-11-14,2250.0,2289.0,2250.0,2264.0,16884540981,7456675,1019,2261.0
2017-11-15,2252.0,2298.0,2252.0,2266.0,11970817011,5283761,945,2265.0
2017-11-18,2270.0,2270.0,2234.0,2248.0,15052152262,6696415,735,2245.0
2017-11-20,2234.0,2250.0,2200.0,2221.0,15733372693,7083440,982,2229.0
2017-11-21,2230.0,2299.0,2211.0,2269.0,21223859296,9355169,1293,2280.0
2017-11-22,2280.0,2382.0,2280.0,2369.0,69644180990,29395535,2538,2367.0
2017-11-25,2382.0,2477.0,2380.0,2426.0,33830835292,13943635,1614,2380.0
2017-11-26,2370.0,2398.0,2332.0,2361.0,21414998089,9071495,1177,2374.0
2017-11-28,2371.0,2420.0,2341.0,2383.0,18184459692,7631687,987,2377.0
2017-11-29,2379.0,2385.0,2330.0,2341.0,13846950159,5913895,735,2340.0
2017-12-02,2357.0,2359.0,2310.0,2338.0,6177198410,2642677,683,2320.0
2017-12-03,2326.0,2340.0,2285.0,2300.0,23590306041,10254864,836,2300.0
2017-12-04,2290.0,2388.0,2285.0,2327.0,18256937446,7846085,933,2334.0
2017-12-05,2380.0,2420.0,2351.0,2384.0,11364036975,4766865,688,2395.0
2017-12-09,2390.0,2470.0,2390.0,2436.0,20644660089,8475020,974,2438.0
2017-12-10,2465.0,2465.0,2401.0,2416.0,10664581545,4413704,660,2410.0
2017-12-11,2400.0,2412.0,2362.0,2389.0,28964235897,12126014,1111,2412.0
2017-12-12,2365.0,2508.0,2365.0,2495.0,57621900744,23093067,2033,2508.0
2017-12-13,2513.0,2590.0,2483.0,2544.0,22616152908,8889433,1165,2537.0
2017-12-16,2602.0,2648.0,2540.0,2584.0,31731632017,12282179,1164,2614.0
2017-12-17,2655.0,2713.0,2602.0,2692.0,59490752048,22098127,1929,2674.0
2017-12-18,2730.0,2730.0,2611.0,2649.0,11127378825,4200399,829,2650.0
2017-12-19,2649.0,2670.0,2604.0,2625.0,7796267663,2970549,892,2613.0
2017-12-20,2590.0,2697.0,2567.0,2629.0,12441891940,4731796,1782,2666.0
2017-12-23,2690.0,2710.0,2652.0,2687.0,23335546016,8685698,976,2697.0
2017-12-24,2702.0,2702.0,2643.0,2673.0,15564083890,5821758,798,2650.0
2017-12-25,2650.0,2729.0,2641.0,2694.0,23999485286,8907322,914,2691.0
2017-12-26,2673.0,2700.0,2618.0,2651.0,13216408283,4985569,687,2650.0
2017-12-27,2631.0,2631.0,2581.0,2599.0,16804727657,6465341,801,2600.0
2017-12-30,2558.0,2560.0,2472.0,2513.0,19621401204,7809148,880,2500.0
2017-12-31,2410.0,2460.0,2388.0,2403.0,35918328436,14946272,1655,2443.0
2018-01-01,2435.0,2499.0,2435.0,2470.0,6875172418,2783528,501,2454.0
2018-01-02,2470.0,2494.0,2443.0,2471.0,6121657539,2477324,371,2470.0
2018-01-03,2515.0,2520.0,2438.0,2448.0,10572911715,4319249,402,2442.0
2018-01-06,2450.0,2519.0,2450.0,2487.0,6899358667,2773682,318,2490.0
2018-01-07,2450.0,2506.0,2440.0,2459.0,7427692495,3020474,356,2451.0
