date,open,high,low,adjClose,value,volume,count,close
2004-02-25,1150.0,1150.0,1150.0,1150.0,5750000,5000,9,1150.0
2004-03-15,1207.0,1207.0,1178.0,1178.0,1206971,1000,2,1178.0
2004-03-16,1236.0,1236.0,1236.0,1236.0,9443040,7640,6,1236.0
2004-05-10,1297.0,1297.0,1297.0,1297.0,11673000,9000,6,1297.0
2004-05-11,1361.0,1361.0,1297.0,1297.0,244916,180,3,1297.0
2004-05-12,1361.0,1361.0,1303.0,1303.0,1197100,880,2,1303.0
2004-05-15,1368.0,1368.0,1368.0,1368.0,13611600,9950,4,1368.0
2004-05-16,1436.0,1436.0,1436.0,1436.0,13821500,9625,4,1436.0
2004-05-17,1507.0,1507.0,1507.0,1507.0,13563000,9000,3,1507.0
2004-05-18,1582.0,1582.0,1516.0,1516.0,1597160,1010,2,1516.0
2004-05-19,1591.0,1591.0,1591.0,1591.0,14319000,9000,6,1591.0
2004-05-22,1670.0,1670.0,1670.0,1670.0,33400000,20000,15,1670.0
2004-05-23,1753.0,1753.0,1690.0,1690.0,3522900,2010,4,1690.0
2004-05-24,1774.0,1774.0,1774.0,1774.0,17740000,10000,15,1774.0
2004-05-25,1862.0,1862.0,1862.0,1862.0,16758000,9000,3,1862.0
2004-05-26,1955.0,1955.0,1955.0,1955.0,58650000,30000,17,1955.0
2004-05-29,2052.0,2052.0,2052.0,2052.0,18468000,9000,3,2052.0
2004-05-30,2154.0,2154.0,2154.0,2154.0,21755400,10100,4,2154.0
2004-05-31,2261.0,2261.0,2261.0,2261.0,45220000,20000,4,2261.0
2004-06-01,2374.0,2374.0,2374.0,2374.0,71220000,30000,17,2374.0
2004-06-02,2492.0,2492.0,2492.0,2492.0,79744000,32000,25,2492.0
2004-06-05,2616.0,2616.0,2616.0,2616.0,117458400,44900,26,2616.0
2004-06-06,2746.0,2746.0,2746.0,2746.0,122197000,44500,20,2746.0
2004-06-07,2883.0,2883.0,2883.0,2883.0,196404375,68125,28,2883.0
2004-06-08,3027.0,3027.0,2921.0,2921.0,6579638,2174,4,2921.0
2004-06-09,3067.0,3067.0,3067.0,3067.0,104278000,34000,26,3067.0
2004-06-12,3220.0,3220.0,3220.0,3220.0,112564760,34958,22,3220.0
2004-06-13,3381.0,3381.0,3381.0,3381.0,111968577,33117,34,3381.0
2004-06-14,3550.0,3550.0,3550.0,3550.0,128801100,36282,22,3550.0
2004-06-15,3727.0,3727.0,3727.0,3727.0,75251857,20191,7,3727.0
2004-06-16,3913.0,3913.0,3913.0,3913.0,156520000,40000,21,3913.0
2004-06-19,4108.0,4108.0,4108.0,4108.0,124973576,30422,20,4108.0
2004-06-20,4313.0,4313.0,4313.0,4313.0,194007366,44982,24,4313.0
2004-06-21,4528.0,4528.0,4528.0,4528.0,298485760,65920,55,4528.0
2004-06-22,4754.0,4754.0,4302.0,4586.0,307470360,67037,59,4586.0
2004-06-23,4357.0,4357.0,4357.0,4357.0,120405695,27635,25,4357.0
2004-06-26,4140.0,4140.0,4140.0,4140.0,141956460,34289,22,4140.0
2004-06-27,3933.0,3933.0,3933.0,3933.0,99186327,25219,18,3933.0
2004-06-28,3737.0,3737.0,3737.0,3737.0,72602436,19428,19,3737.0
2004-06-29,3727.0,3727.0,3551.0,3564.0,150310656,42164,28,3564.0
2004-06-30,3410.0,3410.0,3386.0,3386.0,118699744,35054,23,3386.0
2004-07-03,3415.0,3555.0,3395.0,3539.0,71173988,20109,16,3539.0
2004-07-04,3555.0,3715.0,3555.0,3666.0,206505148,56329,37,3666.0
2004-07-05,3849.0,3849.0,3715.0,3833.0,469342566,122418,59,3833.0
2004-07-13,3900.0,4000.0,3900.0,3954.0,43538540,11010,4,3954.0
2004-07-14,4000.0,4000.0,3952.0,3971.0,144353541,36344,19,3971.0
2004-07-17,3774.0,3971.0,3773.0,3879.0,102060946,26309,21,3879.0
2004-07-18,3800.0,3800.0,3686.0,3740.0,143581535,38382,28,3740.0
2004-07-19,3553.0,3631.0,3553.0,3631.0,16735410,4710,2,3631.0
