date,open,high,low,adjClose,value,volume,count,close
2007-06-06,1600.0,1600.0,1600.0,1600.0,267200,167,1,1600.0
2014-09-02,10599.0,10599.0,9752.0,9922.0,7648642839,770904,434,9760.0
2014-09-03,10050.0,10050.0,9300.0,9648.0,2175353353,225467,216,9450.0
2014-09-06,9450.0,9650.0,8889.0,9127.0,2048246834,224417,150,8921.0
2014-09-07,8605.0,9047.0,8404.0,8797.0,880153281,100049,67,8731.0
2014-09-08,8251.0,9490.0,8251.0,9077.0,3142787181,346243,152,9200.0
2014-09-09,9430.0,9430.0,8600.0,8772.0,705685241,80447,60,8730.0
2014-09-10,8381.0,9140.0,8381.0,8834.0,1645215240,186244,115,9000.0
2014-09-13,9200.0,9220.0,8383.0,8675.0,1466788638,169085,83,8400.0
2014-09-14,8770.0,8770.0,8300.0,8423.0,506041391,60080,36,8350.0
2014-09-15,8277.0,8710.0,8080.0,8364.0,580257765,69375,35,8310.0
2014-09-16,8350.0,8350.0,8001.0,8220.0,1096641631,133407,47,8001.0
2014-09-17,8300.0,8443.0,8000.0,8052.0,68357642,8490,14,8051.0
2014-09-20,8350.0,8498.0,8070.0,8261.0,601326315,72787,78,8300.0
2014-09-21,8070.0,8648.0,8070.0,8482.0,492994620,58120,54,8250.0
2014-09-22,8600.0,8600.0,8400.0,8570.0,86030114,10038,17,8490.0
2014-09-23,8590.0,8660.0,8204.0,8328.0,331382355,39789,43,8250.0
2014-09-24,8100.0,8635.0,8100.0,8452.0,1173131439,138805,131,8590.0
2014-09-27,8600.0,8800.0,8250.0,8530.0,1466695331,171952,109,8250.0
2014-09-28,8250.0,8550.0,8201.0,8280.0,1195645608,144397,89,8231.0
2014-09-29,8119.0,8300.0,7880.0,8045.0,303155242,37682,37,8123.0
2014-09-30,8156.0,8300.0,8156.0,8209.0,1245359651,151701,59,8256.0
2014-10-01,8150.0,8180.0,8110.0,8139.0,131239106,16124,17,8171.0
2014-10-04,8130.0,8199.0,8010.0,8102.0,361526652,44623,43,8199.0
2014-10-06,8198.0,8297.0,8120.0,8205.0,200882930,24484,19,8120.0
2014-10-07,8250.0,8250.0,7910.0,8087.0,389942845,48218,32,8030.0
2014-10-08,8020.0,8020.0,7930.0,7971.0,499166829,62621,36,7981.0
2014-10-11,8080.0,8080.0,7941.0,7979.0,294127525,36865,27,7941.0
2014-10-12,7940.0,7970.0,7700.0,7816.0,638125887,81645,58,7850.0
2014-10-14,7800.0,8400.0,7800.0,8135.0,1413788880,173781,99,8321.0
2014-10-15,8400.0,8785.0,8400.0,8683.0,2030720975,233874,147,8785.0
2014-10-18,9180.0,9180.0,8700.0,8863.0,889040265,100312,78,8750.0
2014-10-19,8820.0,8820.0,8450.0,8640.0,1039951792,120364,69,8450.0
2014-10-20,8888.0,9280.0,8800.0,9075.0,1983306161,218549,106,8990.0
2014-10-21,9260.0,9260.0,8552.0,8662.0,386988619,44679,36,8560.0
2014-10-22,8850.0,9090.0,8543.0,8852.0,751848037,84934,68,8700.0
2014-10-25,9038.0,9350.0,8750.0,9223.0,2201972828,238756,95,9350.0
2014-10-26,9300.0,9300.0,8750.0,8940.0,668416861,74769,44,9060.0
2014-10-27,9090.0,9090.0,8750.0,8841.0,1276585308,144387,93,8750.0
2014-10-28,8900.0,9000.0,8700.0,8803.0,1468038546,166761,77,8721.0
2014-10-29,8750.0,9250.0,8721.0,8891.0,3517324325,395594,210,8950.0
2015-02-08,8200.0,8200.0,8200.0,8200.0,2886547600,352018,10,8200.0
2018-02-14,5399.0,5399.0,5030.0,5124.0,1294998577,252747,115,5197.0
2018-02-17,5140.0,5140.0,5066.0,5107.0,656974828,128641,39,5120.0
2018-02-18,5020.0,5250.0,5000.0,5147.0,201681575,39188,34,5131.0
2018-02-19,5189.0,5190.0,5089.0,5143.0,19028798,3700,7,5089.0
2018-02-21,5091.0,5180.0,5000.0,5016.0,144958767,28901,12,5022.0
2018-02-24,5120.0,5130.0,4950.0,5013.0,1041371584,207729,46,4998.0
2018-02-25,5070.0,5070.0,5000.0,5028.0,22889591,4552,6,5001.0
2018-02-26,5170.0,5170.0,5062.0,5123.0,736728375,143803,29,5130.0
2018-02-27,5001.0,5170.0,5001.0,5162.0,255763545,49544,23,5160.0
2018-02-28,5165.0,5170.0,5150.0,5159.0,151448715,29358,12,5150.0
2018-03-03,5100.0,5100.0,4671.0,5050.0,93011611,18418,8,5007.0
2018-03-04,5049.0,5070.0,4966.0,5028.0,230218026,45787,20,5008.0
2018-03-05,5015.0,5015.0,5000.0,5003.0,442717900,88484,15,5000.0
2018-03-06,4802.0,5000.0,4651.0,4858.0,342115920,70430,48,4651.0
2018-03-07,4850.0,4850.0,4820.0,4821.0,143439220,29756,4,4820.0
2018-03-10,4506.0,4506.0,4505.0,4506.0,9781898,2171,2,4505.0
2018-03-11,4603.0,4948.0,4500.0,4624.0,281288750,60827,13,4500.0
2018-03-12,4710.0,5000.0,4710.0,4943.0,246136667,49797,30,5000.0
2018-03-13,4900.0,4900.0,4622.0,4663.0,55441934,11891,5,4899.0
2018-03-14,5009.0,5009.0,4702.0,4887.0,1686046,345,2,4702.0
2018-03-17,5064.0,5080.0,5064.0,5077.0,52796016,10400,8,5080.0
2018-03-18,5000.0,5299.0,5000.0,5178.0,853189840,164761,43,5299.0
2018-03-19,5310.0,5487.0,5310.0,5400.0,433013392,80191,30,5478.0
2018-03-26,5471.0,5472.0,5205.0,5300.0,159106542,30018,11,5223.0
2018-03-27,5280.0,5280.0,5223.0,5247.0,268896511,51246,17,5223.0
2018-03-28,5093.0,5394.0,5000.0,5015.0,2020299350,402814,61,5000.0
2018-04-03,4677.0,5000.0,4677.0,4952.0,411545993,83102,23,5000.0
2018-04-04,4700.0,4961.0,4672.0,4881.0,2563059988,525103,77,4813.0
2018-05-29,5300.0,5550.0,5300.0,5376.0,1466800850,272847,18,5550.0
2018-05-30,5450.0,5450.0,5400.0,5406.0,1081171550,200000,20,5400.0
2018-06-02,5406.0,5500.0,5406.0,5482.0,19490079500,3555449,147,5500.0
2019-09-16,25001.0,26400.0,22753.0,25044.0,17296461237,690630,642,25000.0
2019-09-17,23002.0,25000.0,23002.0,23760.0,9078942024,382107,286,23500.0
2019-09-18,23325.0,23325.0,22014.0,22405.0,2477216515,110566,159,22702.0
2019-09-21,22702.0,24645.0,22400.0,23471.0,4470527637,190469,151,23500.0
2019-09-22,22401.0,24597.0,22401.0,23046.0,8115041985,352131,177,23655.0
2019-09-23,22311.0,24250.0,22311.0,23923.0,19437740145,812529,260,24000.0
2019-09-24,23100.0,25000.0,23100.0,24056.0,9747373286,405188,175,23205.0
2019-09-25,25000.0,25000.0,23000.0,23867.0,7499274491,314209,132,24000.0
2019-09-28,23996.0,24249.0,23502.0,23987.0,8953278528,373253,128,24109.0
2019-09-29,23500.0,24626.0,23500.0,23934.0,5360720501,223978,95,23728.0
2019-09-30,24500.0,24500.0,23604.0,23893.0,4999607543,209251,153,23754.0
2019-10-01,24998.0,24998.0,23608.0,23945.0,4892625463,204325,111,23741.0
2019-10-02,24000.0,24550.0,23610.0,24048.0,3076964505,127951,69,24100.0
2019-10-05,24498.0,24499.0,24002.0,24075.0,4121774263,171208,104,24025.0
2019-10-06,24582.0,24582.0,23703.0,23901.0,1421815043,59488,61,23902.0
2019-10-07,23902.0,24000.0,22351.0,23902.0,2454354621,102684,54,23905.0
