date,open,high,low,adjClose,value,volume,count,yesterday,close
2005-05-14,2800.0,2800.0,2800.0,2800.0,1023120000,365400,647,2800.0,2800.0
2005-05-15,2940.0,2940.0,2940.0,2940.0,117600000,40000,22,2800.0,2940.0
2005-05-16,3087.0,3087.0,3087.0,3087.0,123480000,40000,25,2940.0,3087.0
2005-05-17,3241.0,3241.0,3241.0,3241.0,129640000,40000,26,3087.0,3241.0
2005-05-18,3403.0,3403.0,3403.0,3403.0,748493253,219951,168,3241.0,3403.0
2005-05-21,3573.0,3573.0,3500.0,3572.0,2292188828,641648,398,3403.0,3572.0
2005-05-22,3500.0,3600.0,3395.0,3482.0,320458462,92030,143,3572.0,3482.0
2005-05-23,3504.0,3600.0,3400.0,3508.0,148496442,42330,49,3482.0,3508.0
2005-05-24,3452.0,3475.0,3410.0,3475.0,60389750,17510,10,3508.0,3475.0
2005-05-25,3500.0,3580.0,3306.0,3534.0,206156703,58319,44,3475.0,3534.0
2005-05-28,3565.0,3565.0,3536.0,3548.0,116058196,32707,20,3534.0,3548.0
2005-05-29,3549.0,3550.0,3380.0,3512.0,52540601,15130,14,3548.0,3512.0
2005-05-30,3600.0,3630.0,3401.0,3592.0,385621037,107326,68,3512.0,3592.0
2005-05-31,3592.0,3630.0,3550.0,3602.0,144215570,40035,20,3592.0,3602.0
2005-06-01,3560.0,3571.0,3550.0,3571.0,72925710,20510,12,3602.0,3571.0
2005-06-06,3600.0,3600.0,3500.0,3554.0,52562197,14867,12,3571.0,3554.0
2005-06-07,3718.0,3718.0,3533.0,3594.0,145541250,40494,31,3554.0,3594.0
2005-06-08,3550.0,3570.0,3500.0,3570.0,44823485,12678,20,3594.0,3570.0
2005-06-11,3595.0,3596.0,3580.0,3584.0,600781319,167604,47,3570.0,3584.0
2005-06-12,3591.0,3600.0,3580.0,3591.0,314992270,87714,32,3584.0,3591.0
2005-06-13,3600.0,3610.0,3593.0,3593.0,33201060,9218,7,3591.0,3593.0
2005-06-14,3600.0,3620.0,3580.0,3605.0,101529028,28143,21,3593.0,3605.0
2005-06-15,3699.0,3700.0,3610.0,3610.0,7028650,1900,5,3605.0,3610.0
2005-06-19,3542.0,3599.0,3430.0,3599.0,8360390,2409,6,3610.0,3599.0
2005-06-20,3430.0,3575.0,3420.0,3575.0,15217360,4439,7,3599.0,3575.0
2005-06-21,3545.0,3571.0,3545.0,3571.0,16000118,4510,6,3575.0,3571.0
2005-06-26,3514.0,3568.0,3514.0,3568.0,4639020,1320,3,3571.0,3568.0
2005-06-29,3390.0,3468.0,3390.0,3468.0,60613980,17880,9,3568.0,3468.0
2005-07-16,3295.0,3325.0,3295.0,3325.0,88390595,26801,17,3468.0,3325.0
2005-07-17,3323.0,3323.0,3159.0,3162.0,1751049207,535557,19,3325.0,3162.0
2005-07-24,3400.0,3785.0,3400.0,3514.0,16712740,4756,8,3162.0,3514.0
2005-07-30,3510.0,3513.0,3510.0,3513.0,3545130,1010,3,3514.0,3513.0
2005-08-06,3574.0,3574.0,3515.0,3515.0,4502650,1260,4,3513.0,3515.0
2005-08-10,3340.0,3490.0,3340.0,3468.0,375870460,112021,7,3515.0,3468.0
2005-08-13,3340.0,3446.0,3340.0,3446.0,18224100,5456,3,3468.0,3446.0
2005-08-14,3274.0,3479.0,3274.0,3446.0,524222360,160110,3,3446.0,3446.0
2005-08-17,3410.0,3444.0,3410.0,3444.0,4140080,1214,2,3446.0,3444.0
2005-08-20,3272.0,3430.0,3272.0,3430.0,8201212,2506,3,3444.0,3430.0
2005-08-24,3397.0,3429.0,3397.0,3429.0,3006665,885,2,3430.0,3429.0
2005-08-28,3258.0,3423.0,3258.0,3423.0,3292230,1010,2,3429.0,3423.0
2005-08-29,3258.0,3289.0,3252.0,3289.0,81005866,24903,11,3423.0,3289.0
2005-09-03,3250.0,3284.0,3240.0,3284.0,10534520,3242,7,3289.0,3284.0
2005-09-04,3280.0,3282.0,3280.0,3282.0,42684540,13010,5,3284.0,3282.0
2005-09-06,3250.0,3281.0,3250.0,3281.0,2291560,705,2,3282.0,3281.0
2005-09-07,3250.0,3278.0,3250.0,3278.0,9782780,3010,4,3281.0,3278.0
2005-09-10,3250.0,3276.0,3250.0,3276.0,6532760,2010,2,3278.0,3276.0
2005-09-11,3230.0,3273.0,3230.0,3273.0,6492730,2010,2,3276.0,3273.0
2005-09-12,3230.0,3270.0,3230.0,3270.0,6492700,2010,2,3273.0,3270.0
2005-09-24,3107.0,3263.0,3107.0,3263.0,12474281,3875,5,3270.0,3263.0
2005-09-25,3200.0,3254.0,3200.0,3254.0,13472540,4210,2,3263.0,3254.0
2005-10-04,3092.0,3137.0,3092.0,3137.0,70968034,22952,6,3254.0,3137.0
2005-10-11,2981.0,3122.0,2981.0,3122.0,8974220,3010,3,3137.0,3122.0
2005-10-12,3244.0,3244.0,3122.0,3122.0,63660,20,2,3122.0,3122.0
2005-11-15,3242.0,3242.0,3242.0,3242.0,226940000,70000,13,3122.0,3242.0
2005-12-04,3178.0,3178.0,3178.0,3178.0,1589000,500,1,3242.0,3178.0
2005-12-05,3178.0,3178.0,3178.0,3178.0,239563996,75382,22,3178.0,3178.0
