date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-11-13,4500.0,4500.0,4500.0,4500.0,105777571500,23506127,1922,1000.0,4500.0
2011-11-14,4680.0,4680.0,4680.0,4680.0,8867729520,1894814,414,4500.0,4680.0
2011-11-16,4867.0,4867.0,4867.0,4744.0,1182496054,242962,62,4680.0,4867.0
2011-11-19,4933.0,4933.0,4933.0,4781.0,673384098,136506,37,4744.0,4933.0
2011-11-20,4972.0,4972.0,4972.0,4922.0,2587403940,520395,118,4781.0,4972.0
2011-11-21,5118.0,5118.0,5118.0,5118.0,6271479486,1225377,201,4922.0,5118.0
2011-11-22,5290.0,5499.0,5150.0,5257.0,123283375736,23453026,4311,5118.0,5300.0
2011-11-23,5250.0,5370.0,5164.0,5273.0,15787677932,2994070,723,5257.0,5200.0
2011-11-26,5250.0,5300.0,5153.0,5263.0,20793777694,3950957,716,5273.0,5273.0
2011-11-27,5250.0,5268.0,5200.0,5259.0,20385685754,3876362,494,5263.0,5263.0
2011-11-28,5259.0,5260.0,5220.0,5255.0,8356687332,1590310,296,5259.0,5259.0
2011-11-29,5255.0,5349.0,5255.0,5296.0,8416363766,1589069,214,5255.0,5320.0
2011-11-30,5296.0,5300.0,5280.0,5294.0,5191798692,980666,174,5296.0,5296.0
2011-12-03,5268.0,5300.0,5201.0,5265.0,6787652763,1289112,137,5294.0,5291.0
2011-12-04,5220.0,5320.0,5220.0,5276.0,2260095403,427830,114,5265.0,5272.0
2011-12-07,5276.0,5330.0,5272.0,5279.0,1659449213,314118,89,5276.0,5330.0
2011-12-10,5279.0,5300.0,5200.0,5277.0,2984028029,565497,114,5279.0,5280.0
2011-12-11,5276.0,5280.0,5260.0,5276.0,1090775435,206820,37,5277.0,5260.0
2011-12-12,5350.0,5469.0,5350.0,5405.0,3959218033,732528,204,5276.0,5440.0
2011-12-13,5406.0,5621.0,5405.0,5462.0,15250985079,2792270,271,5405.0,5489.0
2011-12-14,5480.0,5480.0,5421.0,5456.0,2754038332,505057,74,5462.0,5476.0
2011-12-17,5456.0,5480.0,5400.0,5455.0,4555996644,835142,138,5456.0,5456.0
2011-12-18,5450.0,5450.0,5301.0,5425.0,1637724544,304147,113,5455.0,5380.0
2011-12-19,5260.0,5320.0,5208.0,5371.0,1209418902,229953,105,5425.0,5233.0
2011-12-20,5258.0,5258.0,5157.0,5301.0,1193077051,231280,90,5371.0,5157.0
2011-12-21,5089.0,5148.0,5089.0,5141.0,2867748470,562259,155,5301.0,5101.0
2011-12-24,5100.0,5299.0,5001.0,5137.0,2124944371,413915,120,5141.0,5189.0
2011-12-25,5136.0,5200.0,5125.0,5143.0,14001613343,2722335,151,5137.0,5143.0
2011-12-26,5150.0,5150.0,5000.0,5111.0,891009214,177595,97,5143.0,5090.0
2011-12-27,5049.0,5049.0,4953.0,5079.0,849802286,170680,86,5111.0,4990.0
2011-12-28,4960.0,5050.0,4951.0,5047.0,1122258725,225424,104,5079.0,5050.0
2011-12-31,5147.0,5200.0,5051.0,5079.0,1140087241,221438,75,5047.0,5105.0
2012-01-01,5147.0,5147.0,5000.0,5054.0,2370368004,470159,108,5079.0,5001.0
2012-01-02,5048.0,5048.0,4950.0,5042.0,620075135,124308,74,5054.0,4950.0
2012-01-03,4980.0,5243.0,4980.0,5184.0,7260788675,1400622,265,5042.0,5243.0
2012-01-04,5205.0,5391.0,5179.0,5362.0,6582591964,1227531,231,5184.0,5255.0
2012-01-07,5277.0,5277.0,5150.0,5262.0,2153288946,414811,134,5362.0,5150.0
2012-01-08,5169.0,5169.0,5085.0,5214.0,1108204820,216988,68,5262.0,5138.0
2012-01-09,5150.0,5400.0,5100.0,5238.0,1674032292,317859,113,5214.0,5215.0
2012-01-10,5319.0,5339.0,5223.0,5284.0,2781126935,524758,147,5238.0,5300.0
2012-01-11,5350.0,5440.0,5250.0,5373.0,5408276187,1006596,215,5284.0,5420.0
2012-01-15,5400.0,5519.0,5390.0,5450.0,2838856748,518283,139,5373.0,5498.0
2012-01-16,5560.0,5668.0,5550.0,5609.0,3417114546,606460,87,5450.0,5668.0
2012-01-17,5833.0,5833.0,5703.0,5819.0,13322877019,2289615,444,5609.0,5703.0
2012-01-18,5815.0,6051.0,5815.0,5952.0,4448931051,747509,159,5819.0,6051.0
2012-01-21,6150.0,6190.0,6147.0,6182.0,6529124177,1056199,223,5952.0,6190.0
2012-02-04,3752.0,3752.0,3602.0,3631.0,7607824056,2095125,404,3591.0,3602.0
2012-02-05,3520.0,3540.0,3486.0,3583.0,878222205,251243,63,3631.0,3486.0
2012-02-06,3440.0,3440.0,3440.0,3581.0,42009280,12212,8,3583.0,3440.0
2012-02-07,3438.0,3438.0,3438.0,3547.0,570209490,165855,35,3581.0,3438.0
2012-02-08,3406.0,3406.0,3406.0,3537.0,164615386,48331,14,3547.0,3406.0
2012-02-12,3396.0,3396.0,3396.0,3396.0,2558902980,753505,71,3537.0,3396.0
2012-02-13,3261.0,3261.0,3261.0,3308.0,1499975214,459974,52,3396.0,3261.0
2012-02-14,3044.0,3100.0,2923.0,3004.0,4575020866,1522820,326,3308.0,2999.0
2012-02-15,2951.0,3038.0,2951.0,3020.0,267669249254,88635580,156,3004.0,3015.0
2012-02-18,2990.0,3140.0,2931.0,3077.0,1466415025,472256,121,3020.0,3140.0
2012-02-19,3180.0,3200.0,3180.0,3124.0,895565300,280220,56,3077.0,3200.0
2012-02-20,3248.0,3248.0,3230.0,3248.0,2650384402,816020,159,3124.0,3248.0
2012-02-21,3377.0,3377.0,3160.0,3314.0,3292342300,993588,220,3248.0,3233.0
2012-02-22,3201.0,3269.0,3182.0,3183.0,3276137849,1029107,116,3314.0,3182.0
2012-02-25,3181.0,3190.0,3063.0,3162.0,724314209,232151,72,3183.0,3090.0
