date,open,high,low,adjClose,value,volume,count,close
2012-06-19,1200.0,1227.0,1151.0,1199.0,2003086876,1670600,243,1151.0
2012-06-20,1140.0,1140.0,1140.0,1140.0,29838360,26174,8,1140.0
2012-06-23,1083.0,1083.0,1083.0,1083.0,10830,10,1,1083.0
2012-06-24,1029.0,1029.0,1029.0,1029.0,602141988,585172,115,1029.0
2012-06-25,1029.0,1030.0,1020.0,1028.0,37795315,36778,11,1030.0
2012-06-26,1079.0,1079.0,1028.0,1037.0,146332832,141061,48,1032.0
2012-06-27,1088.0,1088.0,1044.0,1051.0,5256464,5000,3,1044.0
2012-06-30,1079.0,1079.0,1030.0,1034.0,22818150,22070,11,1030.0
2012-07-01,1010.0,1065.0,1000.0,1025.0,137814449,134505,30,1030.0
2012-07-02,1059.0,1059.0,1035.0,1035.0,2101290,2030,3,1035.0
2012-07-03,1025.0,1079.0,1025.0,1035.0,56673044,54761,15,1079.0
2012-07-04,1022.0,1022.0,984.0,987.0,53424888,54116,41,986.0
2012-07-07,1006.0,1006.0,1003.0,1003.0,20120360,20060,3,1003.0
2012-07-08,1002.0,1002.0,971.0,989.0,4451100,4500,6,1000.0
2012-07-09,1001.0,1001.0,970.0,970.0,8509030,8769,3,970.0
2012-07-10,922.0,1000.0,922.0,923.0,3966379,4297,6,1000.0
2012-07-11,969.0,969.0,969.0,969.0,5087250,5250,6,969.0
2012-07-14,1000.0,1017.0,1000.0,1014.0,15993275,15770,8,1016.0
2012-07-15,965.0,965.0,964.0,964.0,7060372,7323,5,964.0
2012-07-16,964.0,964.0,920.0,934.0,8096280,8670,10,920.0
2012-07-17,903.0,903.0,888.0,899.0,39089118,43484,14,890.0
2012-07-18,943.0,943.0,943.0,943.0,943000,1000,1,943.0
2012-07-22,913.0,913.0,901.0,906.0,2337481,2581,2,901.0
2012-07-23,900.0,901.0,900.0,900.0,90016704,100000,3,900.0
2012-07-24,900.0,945.0,900.0,901.0,182415350,202558,14,945.0
2012-07-25,930.0,930.0,930.0,930.0,7526490,8093,5,930.0
2012-07-29,885.0,886.0,885.0,886.0,3453500,3900,3,886.0
2012-07-31,905.0,920.0,905.0,919.0,8506360,9257,6,920.0
2012-08-04,900.0,900.0,900.0,900.0,22140000,24600,3,900.0
2012-08-05,910.0,910.0,910.0,910.0,54600,60,1,910.0
2012-08-06,865.0,900.0,865.0,870.0,236861980,272200,43,865.0
2012-08-07,828.0,828.0,827.0,827.0,125682574,151962,70,827.0
2012-08-14,786.0,868.0,786.0,845.0,9757823,11547,13,868.0
2012-08-18,880.0,880.0,803.0,803.0,20237173,25201,17,803.0
2012-08-21,838.0,838.0,838.0,838.0,2975738,3551,1,838.0
2012-08-22,830.0,839.0,797.0,815.0,34345876,42140,13,800.0
2012-08-25,850.0,855.0,850.0,851.0,14490900,17020,6,855.0
2012-08-26,860.0,893.0,860.0,870.0,25215520,29000,14,893.0
2012-08-27,840.0,840.0,827.0,828.0,70404042,85046,11,827.0
2012-09-02,869.0,869.0,869.0,869.0,530090,610,3,869.0
2012-09-03,907.0,907.0,907.0,907.0,4993035,5505,3,907.0
2012-09-04,949.0,952.0,947.0,949.0,11460356,12070,11,952.0
2012-09-05,902.0,938.0,902.0,931.0,5831030,6265,2,938.0
2012-09-08,944.0,960.0,944.0,955.0,9155092,9583,10,960.0
2012-09-09,955.0,955.0,955.0,955.0,9550000,10000,4,955.0
2012-09-10,908.0,908.0,908.0,908.0,867140,955,4,908.0
2012-09-11,863.0,864.0,863.0,863.0,3692251,4277,2,864.0
2012-09-15,820.0,850.0,820.0,829.0,8659106,10441,11,833.0
2012-09-17,832.0,832.0,821.0,827.0,35261934,42654,11,821.0
2012-09-18,827.0,868.0,827.0,855.0,7865101,9203,17,868.0
2012-09-19,897.0,897.0,897.0,897.0,10708386,11938,7,897.0
2012-09-22,900.0,935.0,872.0,929.0,7557461,8138,5,872.0
2012-09-23,930.0,940.0,895.0,926.0,14729530,15905,9,910.0
2012-09-24,911.0,911.0,881.0,909.0,3830619,4213,4,881.0
2012-09-25,871.0,871.0,871.0,871.0,582699,669,1,871.0
2012-09-26,831.0,835.0,831.0,834.0,12095993,14503,5,831.0
2012-09-29,875.0,875.0,875.0,875.0,9166500,10476,5,875.0
2012-09-30,918.0,918.0,918.0,918.0,68328576,74432,22,918.0
2012-10-01,944.0,944.0,873.0,903.0,26119329,28923,6,874.0
2012-10-02,914.0,948.0,914.0,932.0,99708260,107020,26,948.0
2012-10-10,963.0,978.0,933.0,974.0,115156971,118278,29,978.0
2012-10-13,1022.0,1022.0,1022.0,1022.0,39472706,38623,12,1022.0
2012-10-14,1012.0,1073.0,1012.0,1073.0,306883683,286047,77,1073.0
2012-10-15,1073.0,1126.0,1025.0,1101.0,194785768,176979,56,1125.0
2012-10-16,1125.0,1156.0,1046.0,1120.0,783037629,699116,183,1046.0
2012-10-30,870.0,900.0,870.0,1026.0,6798704,7596,6,899.0
2012-10-31,910.0,927.0,910.0,1022.0,2883298,3154,3,927.0
2012-11-04,903.0,907.0,888.0,939.0,51583536,57007,14,888.0
2012-11-06,919.0,919.0,909.0,937.0,4545100,5000,2,909.0
2012-11-07,931.0,931.0,850.0,886.0,76192081,85950,15,900.0
2012-11-10,929.0,929.0,900.0,903.0,10724569,11872,9,900.0
2012-11-11,900.0,918.0,890.0,904.0,35600752,39403,15,918.0
2012-11-12,945.0,949.0,945.0,949.0,357447105,376845,102,949.0
2012-11-13,996.0,996.0,949.0,992.0,179113492,180604,66,996.0
2012-11-14,970.0,1039.0,943.0,977.0,139450319,142763,36,1039.0
2012-11-17,1021.0,1021.0,931.0,995.0,150088143,150854,33,980.0
2012-11-18,960.0,979.0,960.0,969.0,9198867,9489,6,973.0
2012-11-19,960.0,1010.0,960.0,987.0,195775338,198261,55,961.0
2012-11-20,955.0,955.0,938.0,940.0,12527992,13334,9,938.0
2012-11-21,893.0,903.0,893.0,895.0,7124759,7963,3,903.0
2012-11-26,939.0,939.0,939.0,939.0,6571122,6998,10,939.0
2012-11-27,955.0,960.0,946.0,948.0,2560282,2700,3,960.0
2012-11-28,965.0,976.0,923.0,931.0,2328700,2500,7,923.0
2012-12-01,935.0,970.0,923.0,929.0,9547817,10279,6,923.0
2012-12-02,965.0,965.0,905.0,940.0,13393739,14246,10,956.0
2012-12-03,905.0,949.0,905.0,926.0,4504270,4866,6,949.0
2012-12-04,930.0,915.0,906.0,907.0,1684101,1856,4,906.0
2012-12-05,905.0,930.0,905.0,911.0,1524970,1674,6,930.0
2012-12-08,910.0,910.0,910.0,910.0,3185000,3500,2,910.0
2012-12-09,905.0,906.0,905.0,905.0,14048590,15518,13,905.0
2012-12-10,905.0,950.0,905.0,945.0,99088494,104821,30,920.0
2012-12-11,950.0,950.0,925.0,948.0,110292900,116282,36,950.0
2012-12-12,908.0,954.0,908.0,912.0,11155441,12231,4,954.0
2012-12-15,902.0,957.0,881.0,933.0,90673362,97151,32,957.0
2012-12-16,905.0,905.0,902.0,904.0,33866873,37449,12,903.0
2012-12-17,945.0,945.0,936.0,936.0,98325,105,2,936.0
2012-12-18,890.0,930.0,890.0,891.0,3995060,4484,7,892.0
2012-12-19,890.0,890.0,890.0,890.0,8900000,10000,2,890.0
2012-12-22,900.0,900.0,875.0,879.0,15110600,17182,15,875.0
2012-12-23,866.0,866.0,850.0,864.0,3362575,3891,7,850.0
2012-12-24,867.0,887.0,823.0,830.0,57008700,68720,32,823.0
2012-12-25,803.0,811.0,800.0,804.0,56629822,70395,22,800.0
2012-12-26,801.0,805.0,790.0,796.0,19173716,24102,11,792.0
2012-12-29,835.0,835.0,835.0,835.0,7434005,8903,7,835.0
2012-12-30,876.0,876.0,836.0,868.0,31097786,35828,11,837.0
2012-12-31,906.0,906.0,902.0,903.0,18059444,20000,7,903.0
2013-01-02,858.0,859.0,858.0,859.0,14490227,16878,7,859.0
2013-01-06,900.0,900.0,819.0,848.0,1452403,1713,8,819.0
2013-01-07,810.0,870.0,810.0,817.0,1266700,1550,5,870.0
2013-01-08,791.0,857.0,791.0,804.0,89775752,111660,39,800.0
2013-01-09,810.0,844.0,810.0,844.0,180171825,213568,49,844.0
2013-01-13,886.0,886.0,886.0,886.0,34476918,38913,8,886.0
2013-01-14,929.0,930.0,885.0,913.0,239619752,262311,85,889.0
2013-01-15,910.0,947.0,900.0,923.0,37185744,40284,15,900.0
2013-01-16,949.0,959.0,878.0,939.0,88225866,93941,34,878.0
2013-01-19,940.0,940.0,894.0,898.0,21224337,23628,9,894.0
2013-01-20,899.0,899.0,856.0,858.0,21939980,25580,12,856.0
2013-01-21,830.0,840.0,819.0,825.0,45455162,55074,31,819.0
2013-01-22,865.0,865.0,801.0,844.0,57135512,67720,20,850.0
2013-01-23,846.0,846.0,807.0,824.0,15248270,18511,10,845.0
2013-01-26,807.0,807.0,783.0,788.0,370271701,469806,137,786.0
2013-01-27,767.0,767.0,752.0,759.0,9932702,13088,8,758.0
2013-01-28,796.0,796.0,796.0,796.0,7917812,9947,5,796.0
2013-01-30,824.0,835.0,765.0,831.0,116319513,139902,50,835.0
2013-02-02,845.0,861.0,791.0,802.0,110555866,137908,38,805.0
2013-02-03,838.0,838.0,799.0,803.0,48463467,60383,17,799.0
2013-02-04,785.0,829.0,785.0,803.0,4654454,5798,6,800.0
2013-02-05,820.0,820.0,767.0,772.0,16588000,21500,7,767.0
2013-02-06,791.0,810.0,766.0,795.0,27569090,34682,16,810.0
2013-02-09,803.0,806.0,803.0,804.0,25736236,32000,13,803.0
2013-02-11,770.0,791.0,768.0,782.0,15222030,19457,6,790.0
2013-02-12,819.0,819.0,780.0,787.0,72467586,92102,26,781.0
2013-02-13,772.0,772.0,771.0,771.0,5937900,7700,2,771.0
2013-02-16,809.0,809.0,747.0,769.0,20186243,26235,16,747.0
2013-02-17,796.0,796.0,780.0,780.0,4492960,5760,3,780.0
2013-02-18,819.0,819.0,786.0,799.0,42134612,52738,17,786.0
2013-02-19,819.0,819.0,792.0,797.0,27338960,34318,22,800.0
2013-02-20,810.0,810.0,780.0,786.0,19418140,24715,17,810.0
2013-02-23,761.0,824.0,761.0,773.0,19321111,24996,12,783.0
2013-02-24,809.0,809.0,779.0,782.0,2721971,3481,8,779.0
2013-02-25,755.0,800.0,755.0,764.0,8763495,11469,10,800.0
2013-02-26,800.0,800.0,798.0,798.0,1512220,1895,3,798.0
2013-02-27,785.0,800.0,785.0,795.0,9543140,12004,5,800.0
2013-03-03,800.0,800.0,760.0,762.0,5121386,6719,6,764.0
2013-03-04,781.0,800.0,781.0,796.0,29615978,37200,26,800.0
2013-03-05,772.0,783.0,772.0,782.0,1647909,2106,3,783.0
2013-03-06,780.0,809.0,780.0,802.0,15709250,19580,14,808.0
2013-03-09,802.0,802.0,788.0,800.0,5841853,7306,12,800.0
2013-03-10,800.0,806.0,787.0,803.0,24697726,30749,19,805.0
2013-03-11,803.0,822.0,803.0,815.0,8151654,10000,7,815.0
2013-03-12,820.0,830.0,815.0,817.0,3333885,4080,10,830.0
2013-03-13,850.0,850.0,815.0,837.0,57014502,68118,48,843.0
2013-03-16,870.0,870.0,810.0,843.0,17850328,21179,12,810.0
2013-03-17,864.0,864.0,810.0,826.0,10738173,13001,18,826.0
2013-03-18,850.0,850.0,850.0,850.0,3400000,4000,2,850.0
2013-03-25,888.0,888.0,831.0,851.0,22129212,26004,25,877.0
2013-03-26,887.0,887.0,828.0,832.0,38016402,45708,18,829.0
2013-03-27,850.0,850.0,840.0,849.0,5598306,6594,15,849.0
2013-03-30,850.0,850.0,834.0,849.0,5348104,6296,14,849.0
2013-03-31,848.0,849.0,848.0,849.0,43628600,51400,20,849.0
2013-04-03,858.0,858.0,847.0,849.0,49214,58,2,847.0
