date,open,high,low,adjClose,value,volume,count,close
2001-04-17,3994.0,3994.0,3994.0,3994.0,375436,94,1,3994.0
2001-07-08,3500.0,3500.0,3500.0,3500.0,1750000,500,1,3500.0
2001-07-10,3675.0,3675.0,3675.0,3675.0,3675000,1000,2,3675.0
2001-07-11,3858.0,3858.0,3858.0,3858.0,3858000,1000,1,3858.0
2001-07-14,4050.0,4050.0,4050.0,4050.0,15880050,3921,16,4050.0
2001-07-15,4252.0,4252.0,4252.0,4252.0,4252000,1000,2,4252.0
2001-07-16,4464.0,4464.0,4464.0,4464.0,4464000,1000,1,4464.0
2001-07-21,4687.0,4687.0,4687.0,4687.0,5136952,1096,2,4687.0
2001-07-23,4921.0,4921.0,4921.0,4921.0,14763000,3000,7,4921.0
2001-07-24,5000.0,5000.0,4932.0,5000.0,18392800,3684,8,5000.0
2001-07-25,4921.0,4923.0,4921.0,4922.0,54083235,10990,13,4922.0
2001-07-28,4923.0,4923.0,4923.0,4923.0,1915047,389,2,4923.0
2001-07-30,5056.0,5056.0,4932.0,4934.0,13865944,2808,3,4934.0
2001-07-31,4936.0,4936.0,4935.0,4935.0,5226465,1059,8,4935.0
2001-08-01,4943.0,4944.0,4942.0,4942.0,6322520,1279,4,4942.0
2001-08-04,4942.0,4944.0,4942.0,4944.0,1502860,304,4,4944.0
2001-08-05,4944.0,4944.0,4944.0,4944.0,2313792,468,2,4944.0
2001-08-06,4945.0,4945.0,4945.0,4945.0,3243920,656,4,4945.0
2001-08-07,4947.0,4947.0,4946.0,4946.0,341295,69,2,4946.0
2001-08-08,4946.0,4946.0,4945.0,4945.0,6330552,1280,4,4945.0
2001-08-11,4945.0,4945.0,4921.0,4945.0,25776492,5220,11,4945.0
2001-08-12,4921.0,4923.0,4921.0,4922.0,5764131,1171,3,4922.0
2001-08-13,4922.0,4922.0,4922.0,4922.0,1077918,219,1,4922.0
2001-08-14,4922.0,4922.0,4922.0,4922.0,802286,163,2,4922.0
2001-08-15,4922.0,4923.0,4921.0,4921.0,7664002,1557,3,4921.0
2001-08-18,4922.0,4922.0,4922.0,4922.0,1151748,234,1,4922.0
2001-08-19,4923.0,4923.0,4923.0,4923.0,8073720,1640,3,4923.0
2001-08-20,4922.0,4923.0,4922.0,4923.0,2303730,468,2,4923.0
2001-08-21,4921.0,4922.0,4921.0,4922.0,4385331,891,4,4922.0
2001-08-25,4921.0,4921.0,4921.0,4921.0,8065519,1639,5,4921.0
2001-08-27,4921.0,4921.0,4921.0,4921.0,3459463,703,1,4921.0
2001-08-28,4921.0,4921.0,4921.0,4921.0,3001810,610,5,4921.0
2001-08-29,4921.0,4921.0,4921.0,4921.0,6914005,1405,4,4921.0
2001-09-02,4921.0,4923.0,4921.0,4921.0,6137913,1247,4,4921.0
2001-09-03,4900.0,5167.0,4900.0,5167.0,44983340,8902,8,5167.0
2001-09-04,5167.0,5425.0,5167.0,5425.0,27610698,5094,2,5425.0
2001-09-09,5417.0,5418.0,5417.0,5418.0,1181030,218,3,5418.0
2001-09-11,5415.0,5415.0,5411.0,5411.0,2533284,468,2,5411.0
2001-09-15,5410.0,5410.0,5410.0,5410.0,54100,10,1,5410.0
2001-09-16,5410.0,5410.0,5410.0,5410.0,54100,10,1,5410.0
2001-09-19,5410.0,5419.0,5410.0,5419.0,30579792,5651,13,5419.0
2001-09-23,5419.0,5419.0,5419.0,5419.0,54190,10,1,5419.0
2001-09-29,5384.0,5384.0,5382.0,5382.0,1232498,229,2,5382.0
2001-09-30,5380.0,5380.0,5380.0,5380.0,107600,20,2,5380.0
2001-10-02,5372.0,5373.0,5372.0,5373.0,5087294,947,2,5373.0
2001-10-03,5357.0,5357.0,5357.0,5357.0,241065,45,5,5357.0
2001-10-06,5346.0,5346.0,5346.0,5346.0,320760,60,5,5346.0
2001-10-23,5079.0,5079.0,5079.0,5079.0,726297,143,1,5079.0
2001-10-27,5051.0,5051.0,5051.0,5051.0,4732787,937,1,5051.0
2001-10-28,5038.0,5038.0,5038.0,5038.0,3541714,703,1,5038.0
2001-10-30,4913.0,4913.0,4907.0,4907.0,10663782,2171,5,4907.0
2001-11-04,4880.0,4884.0,4662.0,4662.0,32591540,6928,14,4662.0
2001-11-05,4700.0,4895.0,4660.0,4895.0,139613444,29447,63,4895.0
2001-11-06,4896.0,5002.0,4896.0,5002.0,31075860,6297,28,5002.0
2001-11-07,5004.0,5149.0,5004.0,5130.0,109096549,21363,33,5130.0
2001-11-10,5130.0,5131.0,5130.0,5131.0,67897107,13233,28,5131.0
2001-11-11,5131.0,5131.0,5131.0,5131.0,51310000,10000,16,5131.0
2001-11-12,5000.0,5000.0,5000.0,5000.0,16250000,3250,6,5000.0
2001-11-13,4899.0,4903.0,4850.0,4900.0,23606363,4827,9,4900.0
2001-11-14,4900.0,4900.0,4800.0,4800.0,7774300,1607,3,4800.0
2001-11-17,4650.0,4700.0,4650.0,4700.0,83081661,17742,33,4700.0
2001-11-18,4700.0,4733.0,4700.0,4733.0,22054169,4685,5,4733.0
2001-11-19,4750.0,4820.0,4740.0,4820.0,10059930,2109,5,4820.0
2001-11-20,5000.0,5000.0,4843.0,5000.0,29892291,6036,7,5000.0
2001-11-21,5000.0,5000.0,4900.0,4900.0,12829700,2580,5,4900.0
2001-11-24,4862.0,5145.0,4862.0,5000.0,1101754191,214771,20,5000.0
2001-11-25,5002.0,5250.0,5002.0,5250.0,51206733,10131,13,5250.0
2001-11-26,5261.0,5511.0,5250.0,5264.0,1123977679,204140,7,5264.0
2001-11-27,5266.0,5266.0,5110.0,5110.0,27487367,5303,9,5110.0
2001-11-28,5095.0,5100.0,5001.0,5100.0,23561603,4640,17,5100.0
2001-12-01,5099.0,5200.0,5099.0,5200.0,14243497,2766,4,5200.0
2001-12-02,5199.0,5199.0,5006.0,5006.0,71673890,14110,16,5006.0
2001-12-03,5004.0,5004.0,4998.0,4999.0,16106443,3220,7,4999.0
2001-12-04,4950.0,5050.0,4950.0,5050.0,37318229,7510,19,5050.0
2001-12-05,5051.0,5100.0,5051.0,5100.0,14378687,2837,5,5100.0
2001-12-08,5102.0,5102.0,5102.0,5102.0,4780574,937,1,5102.0
2001-12-09,5106.0,5106.0,5049.0,5050.0,23232882,4576,11,5050.0
2001-12-10,5050.0,5050.0,5050.0,5050.0,9463700,1874,4,5050.0
2001-12-11,5100.0,5100.0,5049.0,5049.0,29861356,5891,18,5049.0
2001-12-12,5044.0,5045.0,5000.0,5000.0,18165510,3619,8,5000.0
2001-12-15,4996.0,5005.0,4996.0,5000.0,91987621,18402,27,5000.0
2001-12-17,5002.0,5002.0,5001.0,5001.0,8832766,1766,2,5001.0
2001-12-18,5050.0,5227.0,5050.0,5227.0,71882481,13985,23,5227.0
2001-12-19,5248.0,5488.0,5248.0,5488.0,56996102,10396,12,5488.0
2001-12-22,5731.0,5762.0,5729.0,5762.0,76561836,13353,8,5762.0
2001-12-23,6050.0,6050.0,5780.0,6050.0,50266956,8340,15,6050.0
2001-12-24,6050.0,6075.0,6050.0,6075.0,78685150,13000,20,6075.0
2001-12-25,6100.0,6200.0,6076.0,6200.0,108040662,17571,28,6200.0
2001-12-26,6350.0,6350.0,6226.0,6350.0,163862378,25971,29,6350.0
2001-12-29,6350.0,6353.0,6350.0,6351.0,43660155,6874,11,6351.0
2001-12-30,6368.0,6400.0,6355.0,6400.0,83394909,13093,13,6400.0
2001-12-31,6509.0,6560.0,6400.0,6514.0,104100278,15979,20,6514.0
2002-01-01,6602.0,6660.0,6513.0,6650.0,94003145,14227,25,6650.0
2002-01-02,6650.0,6652.0,6600.0,6649.0,101222367,15221,16,6649.0
2002-01-05,6661.0,6662.0,6649.0,6650.0,115615663,17377,22,6650.0
2002-01-06,6649.0,6649.0,6648.0,6648.0,26594000,4000,4,6648.0
2002-01-07,6594.0,6594.0,6594.0,6594.0,989100,150,1,6594.0
2002-01-08,6430.0,6430.0,6430.0,6430.0,3215000,500,3,6430.0
2002-01-12,6351.0,6351.0,6270.0,6351.0,193862337,30643,37,6351.0
2002-01-13,6350.0,6350.0,6193.0,6193.0,31802748,5134,11,6193.0
2002-01-14,6200.0,6201.0,6190.0,6195.0,102599624,16565,21,6195.0
2002-01-15,6195.0,6196.0,6195.0,6195.0,38038110,6140,15,6195.0
2002-01-16,6195.0,6195.0,6177.0,6194.0,108242392,17487,22,6194.0
2002-01-19,6195.0,6195.0,6195.0,6195.0,9342060,1508,5,6195.0
2002-01-20,6200.0,6349.0,6197.0,6349.0,42753944,6825,9,6349.0
2002-01-21,6507.0,6507.0,6507.0,6507.0,56773575,8725,12,6507.0
2002-01-22,6669.0,6669.0,6590.0,6669.0,430831637,64614,22,6669.0
2002-01-23,6756.0,6835.0,6600.0,6600.0,209978400,31203,21,6600.0
2002-01-26,6610.0,6612.0,6610.0,6610.0,60879506,9210,11,6610.0
2002-01-27,6610.0,6610.0,6610.0,6610.0,16372970,2477,6,6610.0
2002-01-28,6450.0,6450.0,6450.0,6450.0,6450000,1000,1,6450.0
2002-01-29,6450.0,6450.0,6450.0,6450.0,6011400,932,4,6450.0
2002-01-30,6452.0,6457.0,6452.0,6456.0,45188846,7000,4,6456.0
2002-02-02,6500.0,6500.0,6456.0,6456.0,18070864,2794,14,6456.0
2002-02-04,6500.0,6500.0,6396.0,6460.0,85774490,13317,14,6460.0
2002-02-05,6460.0,6460.0,6458.0,6460.0,25838912,4000,8,6460.0
2002-02-06,6400.0,6447.0,6400.0,6447.0,34669049,5407,11,6447.0
2002-02-09,6448.0,6448.0,6448.0,6448.0,2579200,400,1,6448.0
2002-02-12,6300.0,6300.0,6300.0,6300.0,22050000,3500,9,6300.0
2002-02-13,6299.0,6300.0,6299.0,6300.0,132387263,21014,7,6300.0
2002-02-16,6300.0,6300.0,6250.0,6300.0,141103100,22437,8,6300.0
2002-02-18,6300.0,6300.0,6300.0,6300.0,39060000,6200,8,6300.0
2002-02-19,6301.0,6305.0,6300.0,6300.0,47992400,7617,12,6300.0
2002-02-20,6324.0,6326.0,6310.0,6310.0,38780310,6137,10,6310.0
2002-02-24,6445.0,6447.0,6300.0,6310.0,58122744,9160,11,6310.0
2002-02-25,6310.0,6311.0,6309.0,6310.0,187280540,29680,19,6310.0
2002-02-26,6310.0,6310.0,6310.0,6310.0,31550000,5000,4,6310.0
2002-02-27,6310.0,6310.0,6307.0,6310.0,82018000,13000,14,6310.0
2002-03-02,6321.0,6322.0,6320.0,6320.0,166993756,26422,14,6320.0
2002-03-05,6310.0,6310.0,6310.0,6310.0,4435930,703,1,6310.0
2002-03-06,6307.0,6308.0,6300.0,6300.0,3468965,550,3,6300.0
2002-03-09,6200.0,6200.0,6150.0,6150.0,37040000,6000,6,6150.0
2002-03-11,6001.0,6001.0,5999.0,6000.0,30030450,5005,12,6000.0
2002-03-12,6001.0,6011.0,6000.0,6011.0,40505164,6750,16,6011.0
