date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-08,6301.0,6301.0,6301.0,6301.0,11285091,1791,1,6301.0,6301.0
2001-04-09,6302.0,6302.0,6302.0,6302.0,5911276,938,2,6301.0,6302.0
2001-04-11,6303.0,6303.0,6303.0,6303.0,12606000,2000,2,6302.0,6303.0
2001-04-15,6321.0,6400.0,6321.0,6400.0,16689000,2620,4,6303.0,6400.0
2001-04-16,6400.0,6400.0,6399.0,6400.0,26719600,4175,5,6400.0,6400.0
2001-04-17,6400.0,6400.0,6400.0,6400.0,723200,113,2,6400.0,6400.0
2001-04-21,6500.0,6500.0,6500.0,6500.0,8125000,1250,1,6400.0,6500.0
2001-04-24,6502.0,6502.0,6502.0,6502.0,8127500,1250,1,6500.0,6502.0
2001-04-25,6503.0,6505.0,6503.0,6505.0,1788475,275,3,6502.0,6505.0
2001-04-28,6511.0,6520.0,6510.0,6520.0,18237167,2800,7,6505.0,6520.0
2001-05-01,6535.0,6620.0,6535.0,6620.0,26665000,4050,5,6520.0,6620.0
2001-05-02,6680.0,6680.0,6680.0,6680.0,41810120,6259,2,6620.0,6680.0
2001-05-30,5500.0,5500.0,5500.0,5500.0,15675000,2850,2,6680.0,5500.0
2001-06-20,5775.0,5775.0,5775.0,5775.0,14437500,2500,5,5500.0,5775.0
2001-06-23,5920.0,5920.0,5920.0,5920.0,18500000,3125,5,5775.0,5920.0
2001-06-25,6050.0,6056.0,6050.0,6055.0,17940775,2965,7,5920.0,6055.0
2001-06-26,6050.0,6050.0,6050.0,6050.0,3025000,500,4,6055.0,6050.0
2001-07-01,6058.0,6058.0,6057.0,6057.0,7572218,1250,3,6050.0,6057.0
2001-07-03,6201.0,6201.0,6057.0,6057.0,289758752,47734,16,6057.0,6057.0
2001-07-04,6058.0,6058.0,6058.0,6058.0,1211600,200,1,6057.0,6058.0
2001-07-08,6067.0,6067.0,6057.0,6057.0,14157739,2336,6,6058.0,6057.0
2001-07-09,6050.0,6050.0,6050.0,6050.0,60500000,10000,1,6057.0,6050.0
2001-07-10,6051.0,6051.0,6049.0,6050.0,144431650,23873,3,6050.0,6050.0
2001-07-15,6055.0,6057.0,5900.0,6057.0,40041853,6747,13,6050.0,6057.0
2001-07-16,6056.0,6056.0,6056.0,6056.0,2107488,348,3,6057.0,6056.0
2001-07-17,5900.0,6057.0,5900.0,5900.0,72082401,12182,11,6056.0,5900.0
2001-07-18,5900.0,5900.0,5900.0,5900.0,737500,125,1,5900.0,5900.0
2001-07-21,5900.0,5900.0,5900.0,5900.0,2950000,500,1,5900.0,5900.0
2001-07-22,5900.0,6057.0,5900.0,6057.0,23790900,3958,6,5900.0,6057.0
2001-07-24,6057.0,6057.0,6057.0,6057.0,9848682,1626,2,6057.0,6057.0
2001-07-25,6057.0,6057.0,6057.0,6057.0,24228000,4000,2,6057.0,6057.0
2001-07-28,6057.0,6057.0,6057.0,6057.0,1514250,250,1,6057.0,6057.0
2001-08-01,6114.0,6200.0,6114.0,6200.0,23182000,3750,5,6057.0,6200.0
2001-08-04,6200.0,6300.0,6200.0,6300.0,19437500,3125,9,6200.0,6300.0
2001-08-05,6306.0,6306.0,6306.0,6306.0,7882500,1250,2,6300.0,6306.0
2001-08-06,6370.0,6420.0,6325.0,6420.0,17280890,2700,7,6306.0,6420.0
2001-08-07,6419.0,6420.0,6373.0,6373.0,6636920,1036,4,6420.0,6373.0
2001-08-08,6419.0,6420.0,6419.0,6420.0,11965630,1864,4,6373.0,6420.0
2001-08-11,6420.0,6420.0,6420.0,6420.0,8025000,1250,2,6420.0,6420.0
2001-08-13,6515.0,6690.0,6515.0,6690.0,38078420,5718,5,6420.0,6690.0
2001-08-14,6750.0,6900.0,6750.0,6900.0,53417164,7818,6,6690.0,6900.0
2001-08-21,6900.0,6900.0,6787.0,6787.0,18322521,2683,4,6900.0,6787.0
2001-08-25,6785.0,6785.0,6770.0,6770.0,5085000,750,2,6787.0,6770.0
2001-08-26,6767.0,6767.0,6767.0,6767.0,1015050,150,1,6770.0,6767.0
