date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-26,1858.0,1860.0,1850.0,1860.0,19837940,10672,4,1858.0,1860.0
2001-03-27,1860.0,1870.0,1860.0,1870.0,31326480,16818,7,1860.0,1870.0
2001-03-31,1870.0,1870.0,1870.0,1870.0,14178340,7582,4,1870.0,1870.0
2001-04-10,1870.0,1870.0,1870.0,1870.0,1896180,1014,3,1870.0,1870.0
2001-04-15,1870.0,1905.0,1870.0,1905.0,36913690,19549,11,1870.0,1905.0
2001-04-16,1905.0,1905.0,1905.0,1905.0,60579000,31800,14,1905.0,1905.0
2001-04-18,1906.0,1906.0,1906.0,1906.0,1906000,1000,1,1905.0,1906.0
2001-04-21,1910.0,1910.0,1906.0,1906.0,13346000,7000,5,1906.0,1906.0
2001-04-23,1906.0,1906.0,1906.0,1906.0,2043232,1072,1,1906.0,1906.0
2001-04-28,1911.0,1911.0,1906.0,1906.0,12468576,6534,4,1906.0,1906.0
2001-04-30,1906.0,1906.0,1906.0,1906.0,3812000,2000,1,1906.0,1906.0
2001-05-05,1906.0,1906.0,1906.0,1906.0,190600,100,1,1906.0,1906.0
2001-05-06,1900.0,1900.0,1900.0,1900.0,9500000,5000,1,1906.0,1900.0
2001-05-08,1890.0,1890.0,1890.0,1890.0,5103000,2700,3,1900.0,1890.0
2001-05-13,1890.0,1900.0,1890.0,1900.0,121621454,64096,22,1890.0,1900.0
2001-05-15,1900.0,1900.0,1900.0,1900.0,7079400,3726,2,1900.0,1900.0
2001-05-19,1900.0,1900.0,1900.0,1900.0,27394200,14418,7,1900.0,1900.0
2001-05-21,1900.0,1900.0,1900.0,1900.0,114000,60,1,1900.0,1900.0
2001-05-27,1920.0,1920.0,1920.0,1920.0,49920000,26000,5,1900.0,1920.0
2001-06-13,1905.0,1905.0,1905.0,1905.0,9525000,5000,3,1920.0,1905.0
2001-06-19,1905.0,1905.0,1905.0,1905.0,6017895,3159,2,1905.0,1905.0
2001-07-08,1844.0,1844.0,1844.0,1844.0,5532000,3000,1,1905.0,1844.0
2001-07-23,1797.0,1844.0,1797.0,1844.0,31274710,17304,10,1844.0,1844.0
2001-07-24,1850.0,1850.0,1850.0,1850.0,2775000,1500,1,1844.0,1850.0
2001-07-25,1850.0,1850.0,1850.0,1850.0,13727000,7420,5,1850.0,1850.0
2001-07-29,1831.0,1850.0,1831.0,1850.0,11310277,6173,5,1850.0,1850.0
2001-07-30,1860.0,1860.0,1860.0,1860.0,2853240,1534,3,1850.0,1860.0
2001-07-31,1870.0,1870.0,1870.0,1870.0,1189320,636,1,1860.0,1870.0
2001-08-05,1877.0,1877.0,1876.0,1876.0,12262784,6534,2,1870.0,1876.0
2001-08-12,1915.0,1950.0,1910.0,1950.0,33692380,17506,9,1876.0,1950.0
2001-08-14,1950.0,1957.0,1950.0,1956.0,20595184,10548,6,1950.0,1956.0
2001-08-20,1958.0,1958.0,1957.0,1958.0,16972538,8669,5,1956.0,1958.0
2001-08-22,1960.0,1960.0,1960.0,1960.0,3920000,2000,1,1958.0,1960.0
2001-08-25,1960.0,2000.0,1960.0,2000.0,20858591,10500,3,1960.0,2000.0
2001-08-26,2000.0,2000.0,1999.0,2000.0,18659550,9334,4,2000.0,2000.0
2001-08-29,1998.0,1998.0,1998.0,1998.0,599400,300,1,2000.0,1998.0
2001-09-02,1910.0,2000.0,1906.0,2000.0,27465473,14130,9,1998.0,2000.0
2001-10-28,1979.0,2000.0,1979.0,2000.0,40743340,20500,15,2000.0,2000.0
2001-10-29,1999.0,2000.0,1997.0,2000.0,23988000,12000,5,2000.0,2000.0
2001-10-30,1999.0,1999.0,1999.0,1999.0,19990000,10000,1,2000.0,1999.0
2001-10-31,2000.0,2201.0,2000.0,2110.0,312838000,146304,42,1999.0,2110.0
2001-11-03,2200.0,2215.0,2200.0,2215.0,18757500,8500,9,2110.0,2215.0
2001-11-04,2325.0,2325.0,2324.0,2325.0,216657775,93187,37,2215.0,2325.0
2001-11-05,2325.0,2441.0,2325.0,2441.0,119045300,49200,22,2325.0,2441.0
2001-11-06,2441.0,2441.0,2441.0,2441.0,7323000,3000,2,2441.0,2441.0
2001-11-07,2441.0,2441.0,2441.0,2441.0,36615000,15000,13,2441.0,2441.0
2001-11-10,2460.0,2563.0,2460.0,2563.0,58385000,23000,13,2441.0,2563.0
2001-11-11,2565.0,2691.0,2565.0,2691.0,64388400,24300,17,2563.0,2691.0
2001-11-12,2750.0,2800.0,2700.0,2800.0,33790000,12200,7,2691.0,2800.0
2001-11-13,2800.0,2925.0,2800.0,2925.0,149383231,52264,20,2800.0,2925.0
2001-11-14,2925.0,2925.0,2925.0,2925.0,26304525,8993,3,2925.0,2925.0
2001-11-17,2941.0,2950.0,2920.0,2920.0,56439360,19210,14,2925.0,2920.0
2001-11-18,2919.0,3050.0,2860.0,3050.0,136949840,45806,24,2920.0,3050.0
2001-11-19,3050.0,3135.0,3050.0,3135.0,169855400,55034,18,3050.0,3135.0
2001-11-20,3135.0,3135.0,3100.0,3126.0,47542956,15206,8,3135.0,3126.0
2001-11-24,3100.0,3100.0,3100.0,3100.0,9455000,3050,3,3126.0,3100.0
2001-11-26,3000.0,3000.0,3000.0,3000.0,43122000,14374,6,3100.0,3000.0
2001-11-27,2900.0,2900.0,2900.0,2900.0,23200000,8000,5,3000.0,2900.0
2001-12-02,2810.0,2810.0,2800.0,2800.0,21050000,7500,5,2900.0,2800.0
