date,open,high,low,adjClose,value,volume,count,yesterday,close
2009-09-28,4500.0,4500.0,4500.0,4500.0,8347500000,1855000,126,1000.0,4500.0
2009-09-29,4725.0,4725.0,4725.0,4725.0,935550000,198000,50,4500.0,4725.0
2009-09-30,4961.0,4961.0,4961.0,4961.0,198440000,40000,4,4725.0,4961.0
2009-10-03,5209.0,5209.0,5209.0,5209.0,2604500000,500000,67,4961.0,5209.0
2009-10-04,5469.0,5469.0,5469.0,5469.0,2415055710,441590,90,5209.0,5469.0
2009-10-05,5742.0,5742.0,5742.0,5742.0,1831393674,318947,68,5469.0,5742.0
2009-10-06,6029.0,6029.0,6029.0,6029.0,1933789692,320748,78,5742.0,6029.0
2009-10-07,6330.0,6330.0,6330.0,6330.0,645027000,101900,23,6029.0,6330.0
2009-10-10,6327.0,6430.0,6014.0,6144.0,2176067857,354160,122,6330.0,6014.0
2009-10-11,5837.0,5837.0,5837.0,5837.0,776321000,133000,30,6144.0,5837.0
2009-10-12,5546.0,5546.0,5546.0,5546.0,5546000,1000,1,5837.0,5546.0
2009-10-13,5330.0,5338.0,5269.0,5288.0,3975529452,751796,281,5546.0,5269.0
2009-10-17,5200.0,5299.0,5200.0,5206.0,1054131500,202500,76,5288.0,5220.0
2009-10-18,4946.0,4947.0,4946.0,4946.0,212680000,43000,14,5206.0,4946.0
2009-10-19,4946.0,5180.0,4800.0,4990.0,548837260,109990,38,4946.0,5000.0
2009-10-20,4990.0,5239.0,4890.0,5076.0,1458127100,287250,88,4990.0,5239.0
2009-10-21,5299.0,5299.0,5090.0,5195.0,359512700,69200,26,5076.0,5122.0
2009-10-24,5000.0,5195.0,5000.0,5079.0,1013383480,199530,49,5195.0,5076.0
2009-10-25,5000.0,5070.0,5000.0,5047.0,366256340,72562,25,5079.0,5030.0
2009-10-26,5060.0,5299.0,5060.0,5160.0,722439000,140000,29,5047.0,5063.0
2009-10-27,5100.0,5100.0,5000.0,5021.0,1404293950,279700,79,5160.0,5020.0
2009-10-28,5006.0,5088.0,5005.0,5009.0,993751090,198398,47,5021.0,5005.0
2009-10-31,4760.0,5092.0,4760.0,4876.0,135227506,27733,12,5009.0,4996.0
2009-11-01,5000.0,5098.0,4700.0,4752.0,183450858,38601,20,4876.0,4700.0
2009-11-02,4949.0,4949.0,4700.0,4881.0,217601023,44577,13,4752.0,4700.0
2009-11-03,4639.0,5000.0,4639.0,4864.0,295731640,60798,19,4881.0,4900.0
2009-11-04,4949.0,5000.0,4800.0,4941.0,509201454,103046,27,4864.0,4810.0
2009-11-07,4899.0,4980.0,4899.0,4934.0,245202000,49700,11,4941.0,4941.0
2009-11-08,4934.0,4934.0,4690.0,4741.0,184891500,39000,11,4934.0,4701.0
2009-11-09,4891.0,4895.0,4849.0,4875.0,135513400,27800,14,4741.0,4849.0
2009-11-10,4754.0,4838.0,4754.0,4772.0,262434693,55000,13,4875.0,4755.0
2009-11-11,4832.0,4977.0,4800.0,4885.0,421313500,86250,23,4772.0,4800.0
2009-11-14,4700.0,4886.0,4700.0,4817.0,149314000,31000,9,4885.0,4750.0
2009-11-15,4899.0,4899.0,4577.0,4618.0,390199228,84500,29,4817.0,4577.0
2009-11-16,4846.0,4848.0,4799.0,4815.0,96300000,20000,9,4618.0,4838.0
2009-11-17,4813.0,4815.0,4813.0,4814.0,26476500,5500,4,4815.0,4815.0
2009-11-18,4749.0,4749.0,4650.0,4705.0,88916600,18900,8,4814.0,4650.0
2009-11-21,4718.0,4720.0,4560.0,4663.0,107621800,23080,11,4705.0,4690.0
2009-11-22,4688.0,4700.0,4663.0,4680.0,244481844,52240,15,4663.0,4666.0
2009-11-23,4666.0,4680.0,4650.0,4669.0,140082980,30000,8,4680.0,4650.0
2009-11-24,4669.0,4719.0,4440.0,4670.0,99371240,21280,5,4669.0,4440.0
2009-11-25,4848.0,4848.0,4836.0,4847.0,60942524,12574,4,4670.0,4836.0
2009-11-29,4829.0,4830.0,4829.0,4829.0,61075010,12647,3,4847.0,4830.0
2009-11-30,4780.0,4799.0,4600.0,4693.0,93850293,20000,7,4829.0,4600.0
2009-12-01,4698.0,4700.0,4698.0,4699.0,46993508,10000,4,4693.0,4700.0
2009-12-02,4679.0,4700.0,4679.0,4690.0,87959589,18753,7,4699.0,4700.0
2009-12-05,4835.0,4835.0,4458.0,4801.0,52808000,11000,3,4690.0,4458.0
2009-12-07,4798.0,4829.0,4798.0,4820.0,24101143,5000,3,4801.0,4829.0
2009-12-08,4824.0,4824.0,4824.0,4824.0,4824000,1000,1,4820.0,4824.0
2009-12-09,4797.0,4798.0,4583.0,4739.0,33172000,7000,4,4824.0,4583.0
2009-12-12,4789.0,4789.0,4504.0,4725.0,127563000,27000,9,4739.0,4504.0
2009-12-13,4768.0,4768.0,4768.0,4768.0,47680000,10000,1,4725.0,4768.0
2009-12-14,4698.0,4698.0,4698.0,4698.0,23490000,5000,1,4768.0,4698.0
2009-12-15,4697.0,4697.0,4697.0,4697.0,23485000,5000,1,4698.0,4697.0
2009-12-16,4693.0,4693.0,4693.0,4693.0,23465000,5000,1,4697.0,4693.0
2009-12-19,4459.0,4459.0,4459.0,4459.0,2229500,500,1,4693.0,4459.0
2009-12-20,4400.0,4449.0,4400.0,4402.0,46224500,10500,2,4459.0,4449.0
2009-12-21,4300.0,4300.0,4300.0,4300.0,25800000,6000,2,4402.0,4300.0
2009-12-22,4449.0,4449.0,4449.0,4449.0,17796000,4000,1,4300.0,4449.0
2009-12-23,4227.0,4227.0,4227.0,4227.0,21135000,5000,2,4449.0,4227.0
2009-12-30,4300.0,4300.0,4300.0,4300.0,8600000,2000,1,4227.0,4300.0
2010-01-02,4340.0,4340.0,4340.0,4340.0,4340000,1000,1,4300.0,4340.0
2010-01-03,4340.0,4340.0,4340.0,4340.0,8680000,2000,1,4340.0,4340.0
2010-01-04,4330.0,4330.0,4330.0,4330.0,4330000,1000,1,4340.0,4330.0
2010-01-05,4350.0,4350.0,4120.0,4312.0,5174000,1200,2,4330.0,4120.0
2010-01-06,4320.0,4320.0,4320.0,4320.0,9504000,2200,2,4312.0,4320.0
