date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-25,1400.0,1400.0,1400.0,1400.0,6300000,4500,1,1400.0,1400.0
2001-03-26,1400.0,1400.0,1400.0,1400.0,3843000,2745,1,1400.0,1400.0
2001-04-07,1400.0,1400.0,1400.0,1400.0,2800000,2000,1,1400.0,1400.0
2001-04-08,1400.0,1400.0,1400.0,1400.0,3312400,2366,2,1400.0,1400.0
2001-04-09,1400.0,1400.0,1400.0,1400.0,3687600,2634,1,1400.0,1400.0
2001-04-10,1399.0,1429.0,1399.0,1429.0,5621014,3982,9,1400.0,1429.0
2001-04-11,1431.0,1431.0,1431.0,1431.0,1206333,843,2,1429.0,1431.0
2001-04-14,1502.0,1502.0,1502.0,1502.0,3065582,2041,4,1431.0,1502.0
2001-04-15,1505.0,1505.0,1503.0,1503.0,13537675,9000,5,1502.0,1503.0
2001-04-16,1504.0,1507.0,1503.0,1503.0,6049823,4021,8,1503.0,1503.0
2001-04-17,1500.0,1500.0,1500.0,1500.0,693000,462,2,1503.0,1500.0
2001-04-18,1489.0,1489.0,1489.0,1489.0,1438374,966,1,1500.0,1489.0
2001-04-21,1489.0,1490.0,1480.0,1480.0,5939966,4000,3,1489.0,1480.0
2001-04-22,1480.0,1480.0,1420.0,1420.0,12591840,8808,8,1480.0,1420.0
2001-04-23,1479.0,1480.0,1479.0,1480.0,6946990,4694,3,1420.0,1480.0
2001-04-24,1490.0,1536.0,1490.0,1536.0,29997770,19992,17,1480.0,1536.0
2001-04-28,1600.0,1600.0,1600.0,1600.0,15072000,9420,8,1536.0,1600.0
2001-04-30,1800.0,1850.0,1800.0,1800.0,54145900,30013,16,1600.0,1800.0
2001-05-01,1800.0,1800.0,1800.0,1800.0,8190000,4550,3,1800.0,1800.0
2001-05-02,1890.0,1890.0,1890.0,1890.0,11094300,5870,10,1800.0,1890.0
2001-05-06,1984.0,1984.0,1896.0,1896.0,21243040,10740,3,1890.0,1896.0
2001-05-07,1984.0,1984.0,1984.0,1984.0,15197440,7660,3,1896.0,1984.0
2001-05-08,2083.0,2083.0,2083.0,2083.0,1645570,790,2,1984.0,2083.0
2001-05-09,2187.0,2187.0,2187.0,2187.0,12028500,5500,4,2083.0,2187.0
2001-05-12,2296.0,2296.0,2296.0,2296.0,55104000,24000,10,2187.0,2296.0
2001-05-13,2400.0,2400.0,2296.0,2400.0,46633672,19857,6,2296.0,2400.0
