date,open,high,low,adjClose,value,volume,count,close
2014-01-14,20000.0,20000.0,20000.0,20000.0,1860000000,93000,2,20000.0
2018-01-28,26250.0,26250.0,26250.0,24342.0,164220000,6256,1,26250.0
2018-01-30,36513.0,0.0,0.0,33860.0,228425328,6256,1,36513.0
2018-02-28,26264.0,26264.0,26264.0,26264.0,164307584,6256,4,26264.0
2018-03-03,28880.0,28888.0,28880.0,28882.0,79599328,2756,3,28888.0
2018-04-03,31770.0,31770.0,31770.0,31770.0,171875700,5410,10,31770.0
2018-04-30,31770.0,31770.0,31770.0,31770.0,11119500,350,2,31770.0
2018-05-07,34947.0,34947.0,34947.0,31771.0,1537668,44,1,34947.0
2018-05-09,34950.0,34950.0,34950.0,31946.0,192225000,5500,2,34950.0
2018-06-27,35140.0,35140.0,35140.0,32091.0,160027560,4554,1,35140.0
2018-08-11,36000.0,45000.0,36000.0,32260.0,252990000,5890,2,45000.0
2018-09-05,47000.0,47000.0,47000.0,32411.0,48269000,1027,2,47000.0
2018-09-12,47000.0,47000.0,47000.0,32996.0,188329000,4007,11,47000.0
2018-10-06,47000.0,47000.0,47000.0,33115.0,39950000,850,1,47000.0
2018-10-10,47000.0,47000.0,47000.0,33136.0,7050000,150,1,47000.0
2018-10-17,47000.0,47000.0,47000.0,33416.0,95034000,2022,2,47000.0
2019-07-31,37250.0,37250.0,37250.0,33141.0,558750000,15000,3,37250.0
2019-08-03,39899.0,39899.0,39899.0,33193.0,30802028,772,1,39899.0
2019-08-05,39915.0,39915.0,39915.0,34015.0,488080620,12228,3,39915.0
2019-08-14,40000.0,40000.0,40000.0,34023.0,5320000,133,3,40000.0
2019-08-19,39900.0,39900.0,39900.0,34061.0,25695600,644,2,39900.0
2019-10-07,35082.0,35082.0,35082.0,35082.0,4280004,122,2,35082.0
2019-12-11,36134.0,36134.0,36134.0,36134.0,67787384,1876,1,36134.0
2020-08-05,36188.0,36188.0,36188.0,35161.0,533773000,14750,2,36188.0
2020-11-10,36919.0,36919.0,36919.0,35161.0,5168660,140,1,36919.0
2021-01-30,36919.0,36919.0,36919.0,35162.0,13290840,360,2,36919.0
