date,open,high,low,adjClose,value,volume,count,close
2001-03-25,1504.0,1504.0,1504.0,1504.0,4244288,2822,5,1504.0
2001-03-26,1501.0,1502.0,1499.0,1502.0,39518812,26318,15,1502.0
2001-03-27,1502.0,1502.0,1489.0,1502.0,30170194,20147,17,1502.0
2001-03-28,1502.0,1502.0,1502.0,1502.0,13125978,8739,9,1502.0
2001-03-31,1502.0,1504.0,1502.0,1503.0,16540260,11000,3,1503.0
2001-04-03,1520.0,1520.0,1511.0,1520.0,13212638,8722,8,1520.0
2001-04-07,1520.0,1524.0,1520.0,1524.0,3090560,2028,2,1524.0
2001-04-08,1563.0,1600.0,1528.0,1600.0,68724726,43937,27,1600.0
2001-04-09,1600.0,1680.0,1600.0,1652.0,58423210,35269,24,1652.0
2001-04-10,1660.0,1701.0,1660.0,1700.0,52146704,31057,22,1700.0
2001-04-11,1700.0,1700.0,1700.0,1700.0,6800000,4000,4,1700.0
2001-04-14,1693.0,1693.0,1693.0,1693.0,16930,10,1,1693.0
2001-04-15,1678.0,1679.0,1678.0,1679.0,3172960,1890,3,1679.0
2001-04-16,1674.0,1674.0,1599.0,1599.0,12791843,7978,12,1599.0
2001-04-17,1570.0,1600.0,1570.0,1600.0,21524622,13579,15,1600.0
2001-04-18,1601.0,1625.0,1600.0,1625.0,31581274,19583,17,1625.0
2001-04-21,1625.0,1625.0,1602.0,1602.0,8473955,5271,4,1602.0
2001-04-22,1602.0,1628.0,1602.0,1628.0,79169019,49113,27,1628.0
2001-04-23,1650.0,1654.0,1630.0,1653.0,68955910,41895,16,1653.0
2001-04-24,1675.0,1678.0,1675.0,1675.0,65354000,39000,18,1675.0
2001-04-25,1675.0,1680.0,1675.0,1680.0,64188800,38256,30,1680.0
2001-04-28,1698.0,1750.0,1685.0,1740.0,207953651,120781,60,1740.0
2001-04-29,1738.0,1739.0,1710.0,1729.0,54386592,31524,25,1729.0
2001-04-30,1700.0,1700.0,1680.0,1680.0,63839460,37587,35,1680.0
2001-05-01,1697.0,1697.0,1680.0,1680.0,9159997,5434,7,1680.0
2001-05-02,1680.0,1680.0,1678.0,1680.0,17431779,10384,17,1680.0
2001-05-05,1679.0,1690.0,1679.0,1690.0,79578701,47236,25,1690.0
2001-05-06,1690.0,1691.0,1690.0,1690.0,57815435,34210,18,1690.0
2001-05-07,1691.0,1700.0,1691.0,1691.0,74951100,44265,31,1691.0
2001-05-08,1688.0,1691.0,1660.0,1691.0,24940700,14766,17,1691.0
2001-05-09,1690.0,1700.0,1671.0,1671.0,25266358,14998,9,1671.0
2001-05-12,1671.0,1672.0,1652.0,1669.0,57631108,34548,26,1669.0
2001-05-13,1670.0,1697.0,1670.0,1670.0,35744393,21248,15,1670.0
2001-05-15,1668.0,1692.0,1659.0,1692.0,65275367,39158,29,1692.0
2001-05-16,1689.0,1776.0,1689.0,1776.0,310174510,175826,64,1776.0
2001-05-19,1790.0,1829.0,1785.0,1804.0,76082957,42287,19,1804.0
2001-05-20,1804.0,1840.0,1800.0,1800.0,113836488,62411,40,1800.0
2001-05-21,1789.0,1800.0,1780.0,1780.0,79797242,44473,26,1780.0
2001-05-23,1798.0,1800.0,1780.0,1780.0,51088976,28457,21,1780.0
2001-05-26,1797.0,1818.0,1780.0,1815.0,104315997,57575,30,1815.0
2001-05-27,1817.0,1825.0,1817.0,1825.0,103757163,56946,26,1825.0
2001-05-28,1824.0,1824.0,1800.0,1800.0,62860924,34785,11,1800.0
2001-05-29,1785.0,1785.0,1713.0,1720.0,36810532,20855,11,1720.0
2001-05-30,1736.0,1801.0,1721.0,1800.0,147654529,82315,38,1800.0
2001-06-02,1799.0,1800.0,1770.0,1800.0,61793381,34545,23,1800.0
2001-06-03,1800.0,1820.0,1800.0,1820.0,82992344,45929,29,1820.0
2001-06-06,1820.0,1820.0,1800.0,1800.0,118247965,65521,32,1800.0
2001-06-09,1810.0,1850.0,1800.0,1850.0,335029396,184791,60,1850.0
2001-06-11,1850.0,1930.0,1850.0,1901.0,293870403,154364,64,1901.0
2001-06-12,1906.0,1921.0,1905.0,1920.0,59803592,31228,17,1920.0
2001-06-13,1949.0,2000.0,1949.0,1990.0,269144206,135924,69,1990.0
2001-06-16,1990.0,1999.0,1922.0,1968.0,22843856,11486,13,1968.0
2001-06-17,1900.0,1900.0,1870.0,1870.0,101591610,54154,25,1870.0
2001-06-18,1870.0,1870.0,1840.0,1865.0,79870172,42932,24,1865.0
2001-06-19,1865.0,1880.0,1864.0,1864.0,132613371,71078,24,1864.0
2001-06-20,1864.0,1900.0,1830.0,1900.0,104552637,55353,28,1900.0
2001-06-23,1945.0,1945.0,1911.0,1940.0,62703228,32444,21,1940.0
2001-06-24,1929.0,1935.0,1885.0,1885.0,91451729,48209,28,1885.0
2001-06-25,1885.0,1885.0,1851.0,1851.0,57341494,30747,20,1851.0
2001-06-26,1862.0,1880.0,1851.0,1878.0,79967156,42805,26,1878.0
2001-06-27,1862.0,1862.0,1800.0,1840.0,136468403,75537,49,1840.0
2001-06-30,1840.0,1840.0,1800.0,1820.0,111548175,61334,63,1820.0
2001-07-01,1820.0,1826.0,1805.0,1826.0,84061883,46230,29,1826.0
2001-07-02,1811.0,1830.0,1802.0,1825.0,66296083,36535,35,1825.0
2001-07-03,1824.0,1824.0,1750.0,1823.0,259343464,144187,66,1823.0
2001-08-05,1897.0,1936.0,1830.0,1850.0,81139000,43000,27,1850.0
2001-08-06,1820.0,1820.0,1779.0,1784.0,211665669,118365,71,1784.0
2001-08-07,1798.0,1830.0,1786.0,1810.0,132779851,73443,46,1810.0
2001-08-08,1829.0,1870.0,1810.0,1870.0,179999927,97349,53,1870.0
2001-08-11,1900.0,1930.0,1880.0,1920.0,196608513,102903,68,1920.0
2001-08-12,1924.0,1950.0,1923.0,1950.0,145927582,75664,53,1950.0
2001-08-13,1950.0,1952.0,1933.0,1950.0,155343419,79748,39,1950.0
2001-08-14,1950.0,1950.0,1900.0,1900.0,114986248,59818,22,1900.0
2001-08-15,1900.0,1908.0,1900.0,1908.0,66862860,35157,16,1908.0
2001-08-18,1909.0,1932.0,1909.0,1932.0,92903130,48452,23,1932.0
2001-08-19,1935.0,1960.0,1935.0,1950.0,219937165,112806,46,1950.0
2001-08-20,1952.0,1955.0,1936.0,1936.0,158765416,81372,31,1936.0
2001-08-21,1930.0,1931.0,1901.0,1920.0,73544585,38274,13,1920.0
2001-08-22,1920.0,1920.0,1891.0,1891.0,37586570,19770,10,1891.0
2001-08-25,1892.0,1916.0,1892.0,1915.0,58028175,30424,17,1915.0
2001-08-26,1902.0,1903.0,1901.0,1903.0,57236387,30089,14,1903.0
2001-08-27,1905.0,1905.0,1887.0,1890.0,57821002,30545,18,1890.0
