date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-25,2220.0,2220.0,2220.0,2220.0,11100000,5000,9,2220.0,2220.0
2001-04-03,2220.0,2220.0,2220.0,2220.0,2055720,926,3,2220.0,2220.0
2001-04-07,2220.0,2220.0,2220.0,2220.0,2220000,1000,2,2220.0,2220.0
2001-04-08,2220.0,2220.0,2220.0,2220.0,35520000,16000,13,2220.0,2220.0
2001-04-09,2220.0,2220.0,2220.0,2220.0,4440000,2000,1,2220.0,2220.0
2001-04-10,2221.0,2223.0,2221.0,2222.0,23323000,10500,10,2220.0,2222.0
2001-04-11,2222.0,2223.0,2222.0,2223.0,53305840,23990,11,2222.0,2223.0
2001-04-14,2223.0,2280.0,2223.0,2280.0,58979703,26115,13,2223.0,2280.0
2001-04-15,2280.0,2300.0,2280.0,2300.0,12527500,5453,11,2280.0,2300.0
2001-04-16,2320.0,2320.0,2320.0,2320.0,30726080,13244,13,2300.0,2320.0
2001-04-17,2394.0,2400.0,2320.0,2400.0,35780880,14971,6,2320.0,2400.0
2001-04-18,2400.0,2402.0,2400.0,2402.0,70079793,29193,16,2400.0,2402.0
2001-04-21,2420.0,2420.0,2400.0,2400.0,19155538,7969,14,2402.0,2400.0
2001-04-22,2400.0,2425.0,2390.0,2390.0,68431960,28540,15,2400.0,2390.0
2001-04-23,2390.0,2390.0,2350.0,2350.0,11756920,5000,2,2390.0,2350.0
2001-04-24,2350.0,2350.0,2350.0,2350.0,29931950,12737,11,2350.0,2350.0
2001-04-25,2351.0,2351.0,1675.0,2350.0,249627414,142745,496,2350.0,2350.0
2001-04-28,2349.0,2350.0,2349.0,2350.0,13579758,5780,9,2350.0,2350.0
2001-04-29,2348.0,2350.0,2348.0,2350.0,24500014,10430,10,2350.0,2350.0
2001-04-30,2350.0,2390.0,2350.0,2350.0,61062350,25695,15,2350.0,2350.0
2001-05-01,2348.0,2348.0,2300.0,2300.0,24047804,10437,9,2350.0,2300.0
2001-05-02,2300.0,2301.0,2298.0,2301.0,21033844,9146,13,2300.0,2301.0
2001-05-05,2300.0,2300.0,2300.0,2300.0,2300000,1000,1,2301.0,2300.0
2001-05-06,2296.0,2296.0,2288.0,2295.0,75453913,32902,21,2300.0,2295.0
2001-05-07,2280.0,2301.0,2280.0,2300.0,118102889,51381,32,2295.0,2300.0
2001-05-08,2300.0,2300.0,2300.0,2300.0,16960200,7374,11,2300.0,2300.0
2001-05-09,2369.0,2381.0,2310.0,2380.0,78813339,33321,20,2300.0,2380.0
2001-05-12,2380.0,2381.0,2380.0,2380.0,27589082,11592,9,2380.0,2380.0
2001-05-13,2380.0,2381.0,2380.0,2380.0,119990306,50416,22,2380.0,2380.0
2001-05-15,2380.0,2499.0,2380.0,2438.0,97605120,39684,17,2380.0,2438.0
2001-05-16,2436.0,2438.0,2399.0,2437.0,52880590,21930,17,2438.0,2437.0
2001-05-19,2437.0,2437.0,2400.0,2400.0,28129053,11669,12,2437.0,2400.0
2001-05-20,2398.0,2400.0,2350.0,2400.0,84758096,35778,36,2400.0,2400.0
2001-05-21,2380.0,2390.0,2350.0,2389.0,33543530,14117,13,2400.0,2389.0
2001-05-23,2300.0,2380.0,2300.0,2378.0,49931406,20985,11,2389.0,2378.0
2001-05-26,2300.0,2376.0,2300.0,2335.0,82251348,35328,31,2378.0,2335.0
2001-06-17,1650.0,1900.0,1650.0,1650.0,26392000,15980,9,2335.0,1650.0
2001-06-18,1732.0,1732.0,1650.0,1667.0,5343618,3099,4,1650.0,1667.0
2001-06-19,1668.0,1671.0,1668.0,1671.0,31101700,18640,11,1667.0,1671.0
2001-06-20,1676.0,1676.0,1675.0,1675.0,3351800,2000,4,1671.0,1675.0
2001-06-23,1705.0,1742.0,1700.0,1742.0,10945675,6356,10,1675.0,1742.0
2001-06-25,1829.0,1829.0,1829.0,1829.0,21527330,11770,15,1742.0,1829.0
2001-06-26,1831.0,1860.0,1830.0,1860.0,11132022,6062,12,1829.0,1860.0
2001-06-27,1863.0,1863.0,1859.0,1860.0,21512581,11560,12,1860.0,1860.0
2001-06-30,1864.0,1864.0,1864.0,1864.0,21588848,11582,9,1860.0,1864.0
2001-07-01,1865.0,1866.0,1772.0,1772.0,25782690,14322,11,1864.0,1772.0
2001-07-02,1797.0,1797.0,1797.0,1797.0,3594000,2000,1,1772.0,1797.0
2001-07-03,1800.0,1804.0,1800.0,1801.0,75210476,41740,16,1797.0,1801.0
2001-07-04,1802.0,1890.0,1801.0,1802.0,30437484,16584,6,1801.0,1802.0
2001-07-07,1801.0,1803.0,1712.0,1803.0,22021945,12510,9,1802.0,1803.0
2001-07-08,1802.0,1802.0,1791.0,1792.0,21421460,11942,14,1803.0,1792.0
2001-07-09,1722.0,1723.0,1722.0,1722.0,11468076,6658,8,1792.0,1722.0
2001-07-10,1721.0,1723.0,1721.0,1722.0,44636696,25924,18,1722.0,1722.0
2001-07-11,1724.0,1727.0,1722.0,1722.0,39000929,22627,10,1722.0,1722.0
2001-07-15,1722.0,1722.0,1720.0,1720.0,5074476,2948,4,1722.0,1720.0
2001-07-16,1720.0,1721.0,1719.0,1719.0,18441366,10723,10,1720.0,1719.0
2001-07-17,1718.0,1719.0,1717.0,1718.0,17615449,10255,13,1719.0,1718.0
2001-07-18,1718.0,1719.0,1718.0,1719.0,3951177,2299,2,1718.0,1719.0
2001-07-22,1750.0,1750.0,1750.0,1750.0,11865000,6780,6,1719.0,1750.0
2001-07-23,1750.0,1750.0,1750.0,1750.0,1697500,970,1,1750.0,1750.0
2001-07-24,1821.0,1821.0,1819.0,1820.0,255057678,140147,69,1750.0,1820.0
2001-07-25,1880.0,1880.0,1880.0,1880.0,3654720,1944,3,1820.0,1880.0
