date,open,high,low,adjClose,value,volume,count,yesterday,close
2005-08-17,1800.0,1800.0,1800.0,1800.0,8730000000,4850000,3013,0.0,1800.0
2005-08-20,1890.0,1890.0,1890.0,1890.0,4725000000,2500000,1324,1800.0,1890.0
2005-08-21,1984.0,1984.0,1984.0,1984.0,992000000,500000,358,1890.0,1984.0
2005-08-22,2083.0,2083.0,2083.0,2083.0,1041500000,500000,288,1984.0,2083.0
2005-08-23,2187.0,2187.0,2187.0,2187.0,610719750,279250,169,2083.0,2187.0
2005-08-24,2296.0,2296.0,2296.0,2296.0,462368480,201380,165,2187.0,2296.0
2005-08-27,2410.0,2410.0,2410.0,2410.0,638534320,264952,195,2296.0,2410.0
2005-08-28,2530.0,2530.0,2530.0,2530.0,708384820,279994,154,2410.0,2530.0
2005-08-29,2656.0,2656.0,2656.0,2656.0,123174656,46376,43,2530.0,2656.0
2005-08-30,2788.0,2788.0,2788.0,2788.0,1961497400,703550,516,2656.0,2788.0
2005-08-31,2927.0,2927.0,2927.0,2927.0,202226430,69090,68,2788.0,2927.0
2005-09-03,3073.0,3073.0,3073.0,3073.0,261708972,85164,73,2927.0,3073.0
2005-09-04,3226.0,3226.0,3226.0,3226.0,728463060,225810,161,3073.0,3226.0
2005-09-05,3387.0,3387.0,3387.0,3387.0,685640571,202433,202,3226.0,3387.0
2005-09-06,3556.0,3556.0,3556.0,3556.0,16570202572,4659787,2532,3387.0,3556.0
2005-09-25,3733.0,3733.0,1372.0,3468.0,6979347361,2012333,796,3556.0,3468.0
2005-09-26,3641.0,3641.0,3641.0,3641.0,4885927079,1341919,593,3468.0,3641.0
2005-09-27,3823.0,3823.0,3823.0,3823.0,1224178122,320214,191,3641.0,3823.0
2005-09-28,4014.0,4014.0,4014.0,4014.0,522851598,130257,60,3823.0,4014.0
2005-10-01,4214.0,4214.0,4204.0,4204.0,160174040,38010,25,4014.0,4204.0
2005-10-02,4414.0,4414.0,4414.0,4414.0,201477030,45645,27,4204.0,4414.0
2005-10-03,4634.0,4634.0,4634.0,4634.0,1521110500,328250,147,4414.0,4634.0
2005-10-04,4865.0,4865.0,4865.0,4865.0,1499981665,308321,149,4634.0,4865.0
2005-10-05,5108.0,5108.0,5108.0,5108.0,5635993528,1103366,366,4865.0,5108.0
2005-10-08,5363.0,5363.0,4950.0,5296.0,19310429282,3645636,1333,5108.0,5296.0
2005-10-09,5276.0,5296.0,5034.0,5065.0,5684733726,1122350,465,5296.0,5065.0
2005-10-10,5000.0,5030.0,4812.0,4916.0,2965149624,603052,275,5065.0,4916.0
2005-11-26,6995.0,7999.0,6000.0,6625.0,13830622101,2087418,858,4916.0,6625.0
2005-11-27,6956.0,6956.0,6493.0,6833.0,13177720399,1928595,612,6625.0,6833.0
2005-11-29,6697.0,6697.0,6697.0,6697.0,451417982,67406,24,6833.0,6697.0
2005-11-30,6564.0,6697.0,6564.0,6593.0,14124919750,2142384,518,6697.0,6593.0
2005-12-03,6606.0,6899.0,6462.0,6565.0,3391512025,516548,228,6593.0,6565.0
2005-12-04,6237.0,6241.0,6237.0,6237.0,1397999862,224126,84,6565.0,6237.0
2005-12-05,5926.0,6056.0,5926.0,6056.0,137988210,23285,10,6237.0,6056.0
2005-12-06,5754.0,5754.0,5754.0,5754.0,294190512,51128,17,6056.0,5754.0
2005-12-10,5467.0,5467.0,5467.0,5467.0,238361200,43600,14,5754.0,5467.0
2005-12-11,5194.0,5740.0,5194.0,5235.0,7132236039,1362355,421,5467.0,5235.0
2005-12-12,5251.0,5266.0,5031.0,5176.0,828784840,160093,78,5235.0,5176.0
2005-12-13,4965.0,5148.0,4918.0,4929.0,1544249336,313249,124,5176.0,4929.0
2005-12-14,5106.0,5175.0,4920.0,5159.0,1697461463,328973,112,4929.0,5159.0
2005-12-17,5362.0,5362.0,4902.0,5077.0,1747124291,344061,134,5159.0,5077.0
2005-12-18,5000.0,5096.0,4824.0,4852.0,1429573353,294603,110,5077.0,4852.0
2005-12-19,4950.0,5000.0,4611.0,4783.0,2884899405,603101,204,4852.0,4783.0
2005-12-20,4700.0,4700.0,4544.0,4560.0,1620260611,355272,158,4783.0,4560.0
2005-12-21,4533.0,4678.0,4533.0,4589.0,694256284,151286,65,4560.0,4589.0
2005-12-24,4658.0,4818.0,4658.0,4775.0,1023315518,214286,93,4589.0,4775.0
2005-12-25,4802.0,4888.0,4537.0,4635.0,2340277400,504822,135,4775.0,4635.0
2005-12-26,4635.0,4767.0,4603.0,4635.0,1697950628,366328,97,4635.0,4635.0
2005-12-27,4648.0,4700.0,4635.0,4664.0,230691665,49455,29,4635.0,4664.0
2005-12-28,4673.0,4750.0,4672.0,4707.0,660592248,140335,66,4664.0,4707.0
2005-12-31,4749.0,4800.0,4698.0,4737.0,554350989,117013,40,4707.0,4737.0
2006-01-01,4737.0,4900.0,4737.0,4838.0,965142020,199458,65,4737.0,4838.0
2006-01-02,4762.0,4950.0,4761.0,4909.0,1205983018,245631,57,4838.0,4909.0
2006-01-03,4889.0,4950.0,4820.0,4940.0,1179602695,238764,60,4909.0,4940.0
2006-01-04,4860.0,4940.0,4839.0,4908.0,511273537,104164,38,4940.0,4908.0
2006-01-07,4709.0,4831.0,4709.0,4831.0,73417065,15580,13,4908.0,4831.0
2006-01-08,4608.0,4829.0,4601.0,4691.0,364043455,77592,30,4831.0,4691.0
2006-01-09,4691.0,4795.0,4691.0,4764.0,265428315,55708,18,4691.0,4764.0
2006-01-10,4618.0,4734.0,4618.0,4732.0,137039150,29025,9,4764.0,4732.0
2006-01-14,4610.0,4610.0,4496.0,4521.0,424111235,93790,33,4732.0,4521.0
2006-01-15,4468.0,4468.0,4295.0,4337.0,312790850,72120,40,4521.0,4337.0
2006-01-16,4302.0,4302.0,4161.0,4208.0,302652580,71910,26,4337.0,4208.0
2006-01-17,4303.0,4394.0,4221.0,4361.0,344216479,78918,34,4208.0,4361.0
2006-01-18,4411.0,4411.0,4361.0,4392.0,205906445,46876,25,4361.0,4392.0
2006-01-21,4337.0,4374.0,4184.0,4374.0,19113192,4510,9,4392.0,4374.0
2006-01-22,4195.0,4341.0,4192.0,4341.0,35945410,8510,6,4374.0,4341.0
2006-01-23,4125.0,4196.0,4124.0,4196.0,109552544,26560,20,4341.0,4196.0
2006-01-24,4120.0,4124.0,4030.0,4090.0,197392099,48252,35,4196.0,4090.0
2006-01-25,4110.0,4140.0,4005.0,4096.0,67029870,16322,8,4090.0,4096.0
2006-01-28,4096.0,4096.0,4011.0,4095.0,826681355,201865,25,4096.0,4095.0
2006-01-29,4095.0,4266.0,4071.0,4125.0,236196059,57251,36,4095.0,4125.0
2006-01-30,4100.0,4331.0,4100.0,4279.0,9615088416,2318972,135,4125.0,4279.0
2006-01-31,4280.0,4280.0,4066.0,4114.0,9388218949,2240160,101,4279.0,4114.0
2006-02-01,4100.0,4235.0,4080.0,4172.0,337908506,80983,48,4114.0,4172.0
2006-02-04,4200.0,4200.0,4014.0,4098.0,193103755,47110,28,4172.0,4098.0
2006-02-05,3895.0,4040.0,3894.0,3899.0,1510575434,387396,122,4098.0,3899.0
2006-02-06,3894.0,3894.0,3760.0,3846.0,368059605,95682,48,3899.0,3846.0
2006-02-07,3803.0,3859.0,3800.0,3837.0,154574834,40282,33,3846.0,3837.0
2006-02-12,3750.0,3751.0,3646.0,3684.0,300266048,81484,25,3837.0,3684.0
2006-02-13,3511.0,3855.0,3500.0,3540.0,323597591,91392,33,3684.0,3540.0
2006-02-14,3470.0,3529.0,3470.0,3529.0,20855290,6010,4,3540.0,3529.0
2006-02-15,3459.0,3599.0,3459.0,3508.0,499263457,142283,45,3529.0,3508.0
2006-02-18,3578.0,3578.0,3578.0,3578.0,143120000,40000,13,3508.0,3578.0
2006-02-19,3649.0,3649.0,3649.0,3649.0,155275897,42553,9,3578.0,3649.0
2006-02-20,3721.0,3721.0,3719.0,3719.0,145141306,39006,11,3649.0,3719.0
2006-02-21,3793.0,3793.0,3719.0,3761.0,334187420,88850,48,3719.0,3761.0
2006-02-22,3686.0,3691.0,3686.0,3688.0,178441748,48381,18,3761.0,3688.0
2006-02-25,3650.0,3750.0,3615.0,3643.0,292402240,80250,28,3688.0,3643.0
2006-02-26,3715.0,3715.0,3620.0,3692.0,238237116,64514,20,3643.0,3692.0
2006-02-27,3765.0,3765.0,3765.0,3765.0,227078445,60313,27,3692.0,3765.0
2006-02-28,3840.0,3840.0,3750.0,3806.0,1031825149,271049,92,3765.0,3806.0
2006-03-01,3810.0,3882.0,3753.0,3854.0,450982655,116994,38,3806.0,3854.0
2006-03-04,3844.0,3844.0,3777.0,3777.0,188857688,50002,11,3854.0,3777.0
2006-03-05,3702.0,3749.0,3702.0,3744.0,78057930,21005,19,3777.0,3744.0
2006-03-06,3670.0,3678.0,3670.0,3678.0,129622780,35310,16,3744.0,3678.0
2006-03-07,3740.0,3751.0,3740.0,3750.0,258343625,68875,23,3678.0,3750.0
2006-03-08,3710.0,3721.0,3700.0,3721.0,98886390,26675,15,3750.0,3721.0
2006-03-18,3647.0,3715.0,3647.0,3715.0,10314396,2828,4,3721.0,3715.0
2006-03-25,3641.0,3740.0,3641.0,3645.0,853750417,234197,75,3715.0,3645.0
2006-03-26,3717.0,3717.0,3717.0,3717.0,186593400,50200,13,3645.0,3717.0
2006-03-27,3740.0,3740.0,3646.0,3698.0,103675563,28090,19,3717.0,3698.0
2006-03-28,3625.0,3682.0,3625.0,3682.0,31604320,8710,5,3698.0,3682.0
2006-04-04,3609.0,3681.0,3609.0,3681.0,1119510,310,2,3682.0,3681.0
2006-04-05,3608.0,3639.0,3608.0,3639.0,81216390,22510,4,3681.0,3639.0
2006-04-08,3572.0,3577.0,3567.0,3572.0,246334033,68948,24,3639.0,3572.0
2006-04-09,3537.0,3556.0,3522.0,3556.0,61924235,17510,12,3572.0,3556.0
2006-04-10,3503.0,3627.0,3503.0,3618.0,338790810,93640,43,3556.0,3618.0
2006-04-11,3580.0,3600.0,3546.0,3577.0,89140050,25086,22,3618.0,3577.0
2006-04-12,3596.0,3648.0,3590.0,3624.0,531491634,146632,48,3577.0,3624.0
2006-04-15,3624.0,3696.0,3624.0,3663.0,223161810,60920,19,3624.0,3663.0
2006-04-17,3736.0,3736.0,3699.0,3735.0,1186386910,317595,85,3663.0,3735.0
2006-04-18,3661.0,3680.0,3661.0,3668.0,574491180,156510,19,3735.0,3668.0
2006-04-19,3741.0,3741.0,3741.0,3741.0,155999700,41700,16,3668.0,3741.0
2006-04-22,3815.0,3815.0,3775.0,3775.0,70615250,18510,9,3741.0,3775.0
2006-04-23,3850.0,3850.0,3850.0,3850.0,354126850,91981,32,3775.0,3850.0
2006-04-24,3927.0,3927.0,3927.0,3927.0,158949252,40476,17,3850.0,3927.0
2006-04-25,4005.0,4005.0,3973.0,3973.0,95246590,23782,13,3927.0,3973.0
2006-04-26,4052.0,4052.0,4052.0,4052.0,178413612,44031,18,3973.0,4052.0
2006-04-29,4133.0,4133.0,4133.0,4133.0,174090226,42122,18,4052.0,4133.0
2006-04-30,4215.0,4215.0,4197.0,4214.0,1664872200,395020,170,4133.0,4214.0
2006-05-01,4298.0,4298.0,4298.0,4298.0,739221616,171992,49,4214.0,4298.0
2006-05-02,4383.0,4383.0,4383.0,4383.0,306810000,70000,26,4298.0,4383.0
2006-05-03,4470.0,4470.0,4470.0,4470.0,295632390,66137,29,4383.0,4470.0
2006-05-06,4559.0,4559.0,4514.0,4514.0,91225140,20010,6,4470.0,4514.0
2006-05-07,4604.0,4604.0,4604.0,4604.0,184160000,40000,16,4514.0,4604.0
2006-05-08,4696.0,4696.0,4604.0,4691.0,3864949988,823817,233,4604.0,4691.0
2006-05-09,4784.0,4784.0,4701.0,4783.0,1860520235,388941,140,4691.0,4783.0
2006-05-10,4878.0,4878.0,4878.0,4878.0,346333122,70999,31,4783.0,4878.0
2006-05-13,4975.0,4975.0,4975.0,4975.0,233825000,47000,22,4878.0,4975.0
2006-05-14,5074.0,5074.0,5069.0,5073.0,5170323888,1019026,388,4975.0,5073.0
2006-05-15,4972.0,5174.0,4972.0,5064.0,8736960690,1725062,478,5073.0,5064.0
2006-05-16,4963.0,4964.0,4963.0,4963.0,1213901170,244590,93,5064.0,4963.0
2006-05-17,4864.0,4864.0,4864.0,4864.0,218490880,44920,15,4963.0,4864.0
2006-05-20,4767.0,4767.0,4767.0,4767.0,243803448,51144,10,4864.0,4767.0
2006-05-21,4672.0,4672.0,4672.0,4672.0,296555200,63475,15,4767.0,4672.0
2006-05-22,4579.0,4580.0,4579.0,4580.0,180302714,39376,13,4672.0,4580.0
2006-05-23,4489.0,4556.0,4489.0,4556.0,47180060,10510,3,4580.0,4556.0
2006-05-24,4465.0,4637.0,4465.0,4476.0,6067568423,1355483,420,4556.0,4476.0
2006-05-27,4565.0,4565.0,4516.0,4516.0,82639705,18103,9,4476.0,4516.0
2006-05-28,4606.0,4606.0,4433.0,4551.0,1669073168,366678,167,4516.0,4551.0
2006-05-29,4480.0,4633.0,4460.0,4564.0,669109301,146585,74,4551.0,4564.0
2006-05-30,4473.0,4630.0,4473.0,4511.0,1952450045,432814,147,4564.0,4511.0
2006-05-31,4550.0,4599.0,4487.0,4515.0,539407669,119468,63,4511.0,4515.0
2006-06-03,4480.0,4481.0,4426.0,4442.0,520567451,117169,40,4515.0,4442.0
2006-06-06,4440.0,4500.0,4440.0,4451.0,308229088,69245,29,4442.0,4451.0
