date,open,high,low,adjClose,value,volume,count,close
2014-01-07,2950.0,2950.0,2950.0,2950.0,49909575000,16918500,14964,2950.0
2014-01-08,3097.0,3097.0,3097.0,3097.0,306655649,99017,67,3097.0
2014-01-11,3251.0,3251.0,3251.0,3251.0,52094024,16024,50,3251.0
2014-01-12,3413.0,3413.0,3413.0,3413.0,10842903046,3176942,957,3413.0
2014-01-13,3583.0,3583.0,3583.0,3583.0,7268534711,2028617,466,3583.0
2014-01-14,3762.0,3762.0,3762.0,3762.0,7731564588,2055174,499,3762.0
2014-01-15,3950.0,3950.0,3950.0,3950.0,4825564900,1221662,344,3950.0
2014-01-18,4147.0,4147.0,4147.0,4147.0,199255056,48048,97,4147.0
2014-01-20,4354.0,4354.0,4354.0,4354.0,21142418794,4855861,2717,4354.0
2014-01-21,4551.0,4571.0,4350.0,4527.0,91286678248,20166650,15151,4450.0
2014-01-22,4398.0,4398.0,4301.0,4328.0,7280184063,1682297,1277,4301.0
2014-01-25,4112.0,4200.0,4112.0,4113.0,14003745357,3404752,2130,4112.0
2014-01-26,3908.0,4090.0,3908.0,3931.0,18721143521,4762502,4465,3908.0
2014-01-27,3861.0,4127.0,3861.0,4100.0,13389508993,3266118,2289,4127.0
2014-01-28,4305.0,4305.0,4305.0,4305.0,1014283830,235606,162,4305.0
2014-01-29,4520.0,4520.0,4520.0,4520.0,687501040,152102,127,4520.0
2014-02-01,4746.0,4746.0,4746.0,4746.0,507589446,106951,135,4746.0
2014-02-02,4983.0,4983.0,4550.0,4958.0,35560282756,7172115,2492,4983.0
2014-02-03,5100.0,5205.0,4958.0,5154.0,42561982327,8258704,3332,5205.0
2014-02-04,5411.0,5411.0,5411.0,5411.0,1849360758,341778,139,5411.0
2014-02-05,5681.0,5681.0,5411.0,5658.0,75814730649,13399443,5837,5500.0
2014-02-08,5376.0,5376.0,5376.0,5376.0,1834382592,341217,137,5376.0
2014-02-09,5108.0,5290.0,5108.0,5131.0,43363279058,8450466,9416,5108.0
2014-02-10,5171.0,5387.0,5010.0,5238.0,24425948041,4663073,3117,5139.0
2014-02-12,5000.0,5080.0,4977.0,4985.0,3686874485,739551,449,4977.0
2014-02-23,5625.0,5894.0,5511.0,5752.0,17203295343,2990619,1635,5750.0
2014-02-24,5800.0,6039.0,5751.0,5958.0,19068761925,3200587,1749,6039.0
2014-02-25,6110.0,6255.0,6030.0,6243.0,21404664636,3428795,1420,6255.0
2014-02-26,6350.0,6555.0,6302.0,6515.0,11397479598,1749364,938,6555.0
2014-03-01,6840.0,6840.0,6840.0,6840.0,2355449760,344364,147,6840.0
2014-03-02,7182.0,7182.0,7182.0,7182.0,1352104866,188263,124,7182.0
2014-03-03,7541.0,7541.0,7541.0,7541.0,29576088558,3922038,1468,7541.0
2014-03-04,7164.0,7918.0,7164.0,7551.0,67061712018,8881633,4405,7562.0
2014-03-05,7680.0,7928.0,7670.0,7886.0,19580838895,2482958,1496,7885.0
2014-03-08,7980.0,8180.0,7492.0,7734.0,15571276789,2013377,1289,7492.0
2014-03-09,7348.0,7348.0,7348.0,7348.0,797706228,108561,49,7348.0
2014-03-10,6981.0,6981.0,6981.0,6981.0,178950954,25634,27,6981.0
2014-03-11,6632.0,6632.0,6632.0,6632.0,226641968,34174,20,6632.0
2014-03-12,6301.0,6696.0,6301.0,6394.0,26472949848,4140197,2205,6403.0
2014-03-15,6598.0,6713.0,6502.0,6679.0,5485748111,821353,522,6713.0
2014-03-16,7012.0,7012.0,6700.0,6990.0,17449096729,2496413,1808,7012.0
2014-03-17,7229.0,7339.0,7050.0,7293.0,7595503932,1041456,692,7339.0
2014-03-18,7400.0,7657.0,6929.0,7183.0,27382307515,3812215,1875,6929.0
2014-03-19,6824.0,6997.0,6824.0,6839.0,17607411771,2574459,1765,6824.0
2014-03-25,6840.0,6840.0,6498.0,6534.0,13116465418,2007317,1053,6498.0
2014-03-26,6375.0,6860.0,6375.0,6805.0,12216675011,1795198,930,6860.0
2014-03-29,6950.0,6992.0,6465.0,6637.0,9461833827,1425531,924,6481.0
2014-03-30,6401.0,6930.0,6401.0,6801.0,9093228862,1337016,814,6890.0
2014-03-31,6880.0,6910.0,6550.0,6661.0,13632290799,2046709,1145,6600.0
2014-04-05,6661.0,6661.0,6336.0,6422.0,10864802123,1691696,1448,6440.0
2014-04-06,6391.0,6399.0,6101.0,6163.0,11632703748,1887629,1314,6130.0
2014-04-07,6100.0,6471.0,6031.0,6428.0,13579406877,2112450,1163,6471.0
2014-04-08,6570.0,6598.0,6206.0,6351.0,9448123839,1487585,977,6255.0
2014-04-09,6380.0,6380.0,6100.0,6170.0,4500783748,729484,541,6180.0
2014-04-12,6104.0,6122.0,5862.0,5899.0,7555368646,1280867,824,5862.0
2014-04-13,5680.0,6100.0,5605.0,5726.0,4705173560,821720,479,5605.0
2014-04-14,5510.0,5900.0,5440.0,5522.0,9710084799,1758494,850,5440.0
2014-04-15,5510.0,5798.0,5450.0,5715.0,18573152587,3249870,1651,5798.0
2014-04-16,5880.0,6000.0,5800.0,5997.0,10329654279,1722596,671,6000.0
2014-04-19,6081.0,6200.0,5698.0,5799.0,6117643992,1054989,665,5720.0
2014-04-20,5999.0,6088.0,5900.0,6066.0,3860330049,636336,402,6088.0
2014-04-21,6369.0,6369.0,6250.0,6365.0,4604622778,723435,313,6369.0
2014-04-22,6683.0,6683.0,6502.0,6659.0,24224835455,3637873,1692,6683.0
2014-04-23,6800.0,6899.0,6510.0,6772.0,13054657020,1927606,1024,6700.0
2014-04-26,6801.0,7110.0,6801.0,7083.0,10251420258,1447292,863,7110.0
2014-04-27,7300.0,7300.0,6750.0,7001.0,14749621340,2106904,1386,6880.0
2014-04-28,6949.0,7020.0,6785.0,6899.0,6303091064,913602,580,6830.0
2014-04-29,6900.0,7050.0,6770.0,6920.0,5330944832,770360,476,6800.0
2014-04-30,6910.0,7110.0,6688.0,6953.0,6995302318,1006058,515,6900.0
2014-05-03,6949.0,7050.0,6750.0,6898.0,3258526637,472375,348,6780.0
2014-05-04,6700.0,6701.0,6554.0,6587.0,3572256153,542337,302,6650.0
2014-05-05,6420.0,6916.0,6420.0,6862.0,6750075839,983759,506,6800.0
2014-05-06,7000.0,7050.0,6773.0,6926.0,2351949538,339576,257,6800.0
2014-05-07,6650.0,6948.0,6650.0,6842.0,2594036184,379156,311,6828.0
2014-05-10,6949.0,6949.0,6500.0,6609.0,2814291100,425856,250,6582.0
2014-05-11,6560.0,6850.0,6505.0,6757.0,2394494999,354382,277,6776.0
2014-05-12,6864.0,6864.0,6503.0,6687.0,2282663140,341367,226,6532.0
2014-05-14,6512.0,6680.0,6400.0,6487.0,3006346351,463467,313,6450.0
2014-05-17,6321.0,6329.0,6170.0,6227.0,2422087326,388964,301,6249.0
2014-05-18,6180.0,6430.0,6180.0,6318.0,2716469364,429941,312,6379.0
2014-05-19,6430.0,6430.0,6060.0,6189.0,4271760282,690219,404,6163.0
2014-05-20,6120.0,6498.0,6120.0,6458.0,5977526556,925607,421,6498.0
2014-05-21,6650.0,6750.0,6520.0,6652.0,4931478697,741380,402,6531.0
2014-05-24,6512.0,6650.0,6320.0,6511.0,3560400822,546794,278,6355.0
2014-05-25,6500.0,6500.0,6201.0,6335.0,1780642361,281069,177,6400.0
2014-05-26,6301.0,6639.0,6301.0,6500.0,7610833905,1170954,696,6364.0
2014-06-07,6400.0,6600.0,6400.0,6481.0,2477288384,382225,254,6437.0
2014-06-08,6404.0,6410.0,6170.0,6226.0,1423985961,228721,186,6189.0
2014-06-09,6363.0,6363.0,6100.0,6154.0,733549625,119193,103,6121.0
2014-06-10,6199.0,6199.0,5900.0,5939.0,996946391,167855,139,5920.0
2014-06-11,5851.0,5851.0,5683.0,5751.0,1345456514,233950,204,5790.0
2014-06-14,5680.0,5680.0,5464.0,5479.0,1473436366,268919,195,5464.0
2014-06-15,5590.0,5590.0,5206.0,5215.0,2496697314,478790,355,5300.0
2014-06-16,5388.0,5475.0,5388.0,5470.0,1808958008,330709,118,5475.0
2014-06-17,5743.0,5743.0,5481.0,5724.0,3759918134,656844,281,5743.0
2014-06-18,5743.0,6000.0,5560.0,5894.0,2029005711,344256,195,5970.0
2014-06-21,5811.0,6098.0,5750.0,5859.0,1768436152,301853,225,5809.0
2014-06-22,5740.0,5790.0,5662.0,5698.0,853857466,149860,110,5700.0
2014-06-23,5601.0,5789.0,5550.0,5600.0,574638981,102609,83,5600.0
2014-06-24,5501.0,5880.0,5421.0,5749.0,3035879706,528033,197,5880.0
2014-06-25,5900.0,6036.0,5756.0,5984.0,2537897163,424106,231,5975.0
2014-06-28,5750.0,5750.0,5685.0,5696.0,753798235,132341,53,5685.0
2014-06-29,5416.0,5580.0,5412.0,5415.0,1492959811,275700,122,5412.0
2014-06-30,5310.0,5670.0,5242.0,5476.0,1459953265,266591,105,5598.0
2014-07-01,5521.0,5749.0,5521.0,5722.0,2608202085,455847,136,5749.0
2014-07-02,5802.0,6008.0,5802.0,6000.0,2667883644,444618,153,6008.0
2014-07-05,6202.0,6300.0,6202.0,6296.0,1320117314,209680,69,6300.0
2014-07-06,6500.0,6500.0,5982.0,6098.0,2357075988,386509,188,5982.0
2014-07-07,5900.0,6390.0,5861.0,6248.0,2583769384,413551,239,6340.0
2014-07-08,6390.0,6560.0,6390.0,6548.0,5004081760,764217,229,6560.0
2014-07-09,6610.0,6755.0,6321.0,6506.0,2486494429,382186,203,6700.0
2014-07-12,6251.0,6700.0,6251.0,6453.0,1051267533,162922,105,6277.0
2014-07-13,6390.0,6390.0,6135.0,6214.0,1149384479,184953,119,6200.0
2014-07-14,6215.0,6400.0,6214.0,6312.0,344124990,54522,72,6300.0
2014-07-15,6400.0,6451.0,6130.0,6216.0,961459712,154677,132,6161.0
2014-07-16,6219.0,6350.0,6076.0,6127.0,9506896789,1551516,419,6160.0
2014-07-20,6010.0,6300.0,6010.0,6210.0,1979975379,318826,186,6150.0
2014-07-21,6100.0,6520.0,6100.0,6450.0,7258060441,1125354,429,6520.0
2014-07-22,6601.0,6772.0,6601.0,6757.0,8423666266,1246621,449,6772.0
2014-07-23,6772.0,6989.0,6650.0,6844.0,7487790330,1094050,353,6670.0
2014-07-26,6700.0,6700.0,6502.0,6513.0,3481332600,534518,205,6502.0
2014-07-27,6400.0,6600.0,6400.0,6488.0,955762173,147323,99,6500.0
2014-07-28,6501.0,6700.0,6501.0,6612.0,1435596104,217114,162,6610.0
2014-08-02,6600.0,6798.0,6420.0,6603.0,1302091265,197209,132,6590.0
2014-08-03,6520.0,6598.0,6390.0,6490.0,1314962983,202611,113,6580.0
2014-08-04,6669.0,6670.0,6481.0,6527.0,655924534,100499,69,6540.0
2014-08-05,6400.0,6500.0,6253.0,6371.0,914854506,143596,116,6359.0
2014-08-06,6300.0,6300.0,6110.0,6183.0,2284097380,369440,206,6205.0
2014-08-09,6205.0,6440.0,6201.0,6326.0,2745398790,434018,140,6280.0
2014-08-10,6131.0,6300.0,6131.0,6248.0,638430146,102177,91,6260.0
2014-08-11,6221.0,6451.0,6221.0,6312.0,931850191,147640,100,6389.0
2014-08-12,6480.0,6480.0,6156.0,6243.0,486045983,77854,69,6200.0
2014-08-13,6151.0,6253.0,6151.0,6167.0,975542664,158186,125,6179.0
2014-08-16,6167.0,6360.0,6167.0,6212.0,889951088,143255,116,6170.0
2014-08-17,6301.0,6301.0,6160.0,6171.0,776993732,125910,99,6201.0
2014-08-18,6160.0,6210.0,6160.0,6181.0,955432059,154575,79,6200.0
2014-08-19,6172.0,6200.0,6161.0,6168.0,627985095,101816,82,6162.0
2014-08-20,6159.0,6159.0,6106.0,6137.0,488205342,79551,70,6130.0
2014-08-23,6149.0,6250.0,6051.0,6128.0,789602804,128851,110,6100.0
2014-08-24,6096.0,6240.0,6060.0,6116.0,1445582414,236370,92,6100.0
2014-08-25,6225.0,6400.0,6130.0,6277.0,1838626023,292933,127,6363.0
2014-08-26,6275.0,6434.0,6200.0,6282.0,930527513,148127,92,6200.0
2014-08-27,6200.0,6240.0,6166.0,6197.0,1087039599,175404,68,6200.0
2014-08-30,6150.0,6200.0,6000.0,6053.0,990880268,163699,83,6120.0
2014-08-31,5910.0,6196.0,5910.0,6106.0,893557059,146332,81,6196.0
2014-09-01,6010.0,6100.0,6010.0,6087.0,388502715,63824,63,6068.0
2014-09-02,6070.0,6150.0,5990.0,6024.0,791314172,131354,129,6001.0
2014-09-03,6002.0,6030.0,5890.0,5929.0,1383329264,233326,180,5922.0
2014-09-06,5921.0,6000.0,5832.0,5861.0,795160361,135666,78,5841.0
2014-09-07,5801.0,5899.0,5751.0,5818.0,518093864,89055,70,5899.0
2014-09-08,5999.0,5999.0,5900.0,5929.0,268324900,45254,53,5950.0
2014-09-09,5815.0,6199.0,5801.0,6011.0,1350241710,224644,155,6190.0
2014-09-10,6062.0,6196.0,5920.0,6038.0,1305152102,216157,103,6000.0
2014-09-13,5842.0,5980.0,5737.0,5848.0,625316738,106930,65,5740.0
2014-09-14,5774.0,5774.0,5601.0,5681.0,813102833,143124,80,5650.0
2014-09-15,5570.0,5900.0,5570.0,5716.0,926766280,162145,61,5770.0
2014-09-16,5600.0,5760.0,5600.0,5723.0,198239409,34641,41,5760.0
2014-09-17,5658.0,5801.0,5658.0,5745.0,376888310,65599,52,5693.0
2014-09-20,5690.0,5725.0,5600.0,5668.0,325957125,57513,57,5715.0
2014-09-21,5870.0,5951.0,5870.0,5946.0,1444990948,243016,97,5951.0
2014-09-22,6027.0,6243.0,6027.0,6241.0,4363570265,699210,628,6243.0
2014-09-23,6553.0,6553.0,6553.0,6553.0,8105635055,1236935,237,6553.0
2014-09-24,6600.0,6749.0,6410.0,6614.0,6603182734,998297,383,6521.0
2014-09-27,6412.0,6519.0,6290.0,6452.0,1649604153,255667,162,6460.0
2014-09-28,6453.0,6543.0,6315.0,6409.0,2424162739,378243,124,6401.0
2014-09-29,6213.0,6590.0,6213.0,6463.0,1499156383,231976,154,6410.0
2014-09-30,6362.0,6589.0,6361.0,6533.0,1338739382,204914,94,6470.0
2014-10-01,6501.0,6588.0,6501.0,6531.0,1592834818,243870,103,6533.0
2014-10-04,6508.0,6519.0,6401.0,6494.0,1053659493,162239,70,6494.0
2014-10-06,6500.0,6590.0,6495.0,6502.0,640487381,98505,64,6503.0
2014-10-07,6503.0,6540.0,6390.0,6512.0,2116137491,324981,73,6511.0
2014-10-08,6411.0,6520.0,6411.0,6506.0,1724225560,265039,72,6506.0
2014-10-11,6520.0,6520.0,6357.0,6398.0,1153832268,180332,35,6402.0
2014-10-12,6355.0,6427.0,6202.0,6350.0,523866045,82501,62,6427.0
2014-10-14,6495.0,6667.0,6450.0,6620.0,1544538936,233315,114,6667.0
2014-10-15,6668.0,6951.0,6668.0,6878.0,3652485089,531020,222,6745.0
2014-10-18,6880.0,7200.0,6878.0,7077.0,3180848688,449478,191,7006.0
2014-10-19,6922.0,7100.0,6850.0,6908.0,1745124530,252619,140,6867.0
2014-10-20,6950.0,7253.0,6950.0,7142.0,4745818257,664451,184,7051.0
2014-10-21,6870.0,7150.0,6785.0,7001.0,3420950830,488655,150,6904.0
2014-10-22,6900.0,6902.0,6651.0,6745.0,2252450946,333953,79,6732.0
2014-10-25,6691.0,7060.0,6691.0,6965.0,1527697621,219348,105,6901.0
2014-10-26,6900.0,6960.0,6710.0,6855.0,1029520639,150191,58,6710.0
2014-10-27,6710.0,7000.0,6710.0,6867.0,741522081,107991,46,6840.0
2014-10-28,6800.0,6867.0,6660.0,6732.0,454081661,67455,39,6699.0
2014-10-29,6849.0,6849.0,6690.0,6721.0,1404844900,209017,54,6700.0
2014-11-01,6720.0,6950.0,6690.0,6839.0,1871464235,273643,112,6751.0
2014-11-02,6830.0,6830.0,6715.0,6763.0,820629158,121333,71,6811.0
2014-11-05,6835.0,7097.0,6835.0,7016.0,2261461368,322350,145,7000.0
2014-11-08,7089.0,7089.0,6900.0,6979.0,1150449300,164847,94,6900.0
2014-11-09,6900.0,6900.0,6750.0,6850.0,531542308,77595,67,6898.0
2014-11-10,6800.0,6999.0,6800.0,6911.0,1975694805,285858,83,6835.0
2014-11-11,6898.0,7200.0,6810.0,7068.0,3097036853,438207,141,7000.0
2014-11-12,7254.0,7300.0,6900.0,7108.0,1919503624,270064,138,6900.0
2014-11-15,7125.0,7125.0,6886.0,6952.0,700120151,100701,62,7030.0
2014-11-16,7000.0,7000.0,6835.0,6891.0,844553699,122556,91,6930.0
2014-11-17,6987.0,6987.0,6802.0,6913.0,762929188,110355,49,6948.0
2014-11-18,6900.0,7070.0,6850.0,6964.0,1361511577,195503,102,6950.0
2014-11-19,6900.0,7000.0,6900.0,6901.0,1028485600,149042,59,6900.0
2014-11-22,6901.0,6997.0,6801.0,6887.0,246607032,35809,24,6918.0
2014-11-23,6900.0,7100.0,6900.0,7027.0,1537017840,218744,102,6990.0
2014-11-24,7222.0,7358.0,7199.0,7291.0,3494217911,479255,186,7300.0
2014-11-25,7001.0,7268.0,6927.0,6963.0,503228145,72271,56,6927.0
2014-11-26,6999.0,7200.0,6999.0,7187.0,1274677734,177364,98,7199.0
