date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-10-01,2120.0,2399.0,2120.0,2164.0,267750650628,123705384,17984,666.0,2204.0
2011-10-02,2200.0,2204.0,2165.0,2189.0,23435424573,10707741,2348,2164.0,2193.0
2011-10-03,2172.0,2185.0,2165.0,2176.0,24687730403,11344709,2981,2189.0,2180.0
2011-10-04,2176.0,2176.0,2149.0,2151.0,27741803484,12894858,1446,2176.0,2150.0
2011-10-05,2153.0,2157.0,2150.0,2152.0,14853364924,6900699,497,2151.0,2151.0
2011-10-08,2081.0,2170.0,2081.0,2154.0,24225705910,11245514,722,2152.0,2160.0
2011-10-09,2156.0,2158.0,2154.0,2156.0,12746826980,5913321,896,2154.0,2154.0
2011-10-10,2153.0,2155.0,2130.0,2143.0,15610184193,7283766,521,2156.0,2135.0
2011-10-11,2130.0,2144.0,2106.0,2131.0,39339498219,18460427,1155,2143.0,2130.0
2011-10-12,2131.0,2134.0,2106.0,2126.0,15528827340,7303349,498,2131.0,2121.0
2011-10-15,2128.0,2128.0,2060.0,2081.0,11403175914,5480721,440,2126.0,2080.0
2011-10-16,2043.0,2098.0,2043.0,2063.0,28891459999,14006236,944,2081.0,2052.0
2011-10-17,2050.0,2078.0,2045.0,2050.0,11534603577,5626625,539,2063.0,2059.0
2011-10-18,2060.0,2060.0,2050.0,2050.0,6167762791,3008523,225,2050.0,2050.0
2011-10-19,2050.0,2068.0,2050.0,2053.0,11902150329,5796637,259,2050.0,2059.0
2011-10-22,2052.0,2070.0,2050.0,2069.0,113971109009,55081993,228,2053.0,2059.0
2011-10-23,2051.0,2070.0,2050.0,2069.0,72091639540,34843802,246,2069.0,2050.0
2011-10-24,2055.0,2060.0,2052.0,2055.0,5396394243,2626308,155,2069.0,2055.0
2011-10-25,2060.0,2068.0,2060.0,2061.0,2445389572,1186275,123,2055.0,2061.0
2011-10-26,2070.0,2079.0,2057.0,2059.0,2204460998,1070881,83,2061.0,2059.0
2011-10-29,2080.0,2080.0,2060.0,2062.0,3376298733,1637533,132,2059.0,2065.0
2011-10-30,2065.0,2074.0,2065.0,2065.0,1200693453,581317,69,2062.0,2066.0
2011-10-31,2085.0,2135.0,2067.0,2090.0,1714175972,820012,62,2065.0,2135.0
2011-11-01,2140.0,2194.0,2112.0,2184.0,5690775925,2606040,169,2090.0,2194.0
2011-11-02,2202.0,2289.0,2202.0,2228.0,9812741905,4403625,268,2184.0,2205.0
2011-11-05,2230.0,2235.0,2229.0,2230.0,6860753745,3076484,306,2228.0,2230.0
2011-11-06,2230.0,2231.0,2150.0,2208.0,19837499636,8985185,659,2230.0,2190.0
2011-11-08,2208.0,2235.0,2160.0,2195.0,9179981363,4182451,254,2208.0,2160.0
2011-11-09,2180.0,2200.0,2160.0,2196.0,12952102080,5898473,404,2195.0,2200.0
2011-11-12,2234.0,2234.0,2200.0,2210.0,112674897242,50988048,167,2196.0,2210.0
2011-11-13,2220.0,2220.0,2199.0,2209.0,9830392880,4450959,325,2210.0,2212.0
2011-11-14,2230.0,2230.0,2209.0,2209.0,2071879312,937766,101,2209.0,2209.0
2011-11-16,2209.0,2220.0,2207.0,2210.0,2335593025,1056675,89,2209.0,2209.0
2011-11-19,2210.0,2250.0,2210.0,2231.0,12909992822,5785779,317,2210.0,2250.0
2011-11-20,2236.0,2280.0,2231.0,2243.0,14147445428,6307083,448,2231.0,2240.0
2011-11-21,2243.0,2247.0,2233.0,2242.0,6483041761,2891510,127,2243.0,2243.0
2011-11-22,2230.0,2238.0,2180.0,2198.0,8026898894,3652221,380,2242.0,2208.0
2011-11-23,2150.0,2186.0,2150.0,2150.0,3855310897,1793111,134,2198.0,2150.0
2011-11-26,2143.0,2180.0,2139.0,2166.0,19171603150,8850751,397,2150.0,2140.0
2011-11-27,2140.0,2190.0,2140.0,2183.0,63785957590,29214687,135,2166.0,2140.0
2011-11-28,2101.0,2200.0,2101.0,2195.0,54968042845,25037175,185,2183.0,2155.0
2011-11-29,2169.0,2180.0,2160.0,2170.0,1871135122,862420,41,2195.0,2165.0
2011-11-30,2169.0,2169.0,2093.0,2136.0,610386003,285805,24,2170.0,2093.0
2011-12-03,2150.0,2150.0,2137.0,2141.0,656187250,306503,25,2136.0,2137.0
2011-12-04,2141.0,2173.0,2140.0,2157.0,2296728532,1064873,99,2141.0,2165.0
2011-12-07,2179.0,2179.0,2150.0,2169.0,19763941722,9110278,56,2157.0,2178.0
2011-12-10,2180.0,2190.0,2147.0,2169.0,4513562625,2080467,135,2169.0,2160.0
2011-12-11,2165.0,2165.0,2080.0,2125.0,2959952214,1392697,142,2169.0,2080.0
2011-12-12,2080.0,2148.0,2069.0,2115.0,1296288935,612821,63,2125.0,2148.0
2011-12-13,2150.0,2150.0,2071.0,2113.0,2168947675,1026378,73,2115.0,2100.0
2011-12-14,2130.0,2130.0,2070.0,2084.0,3354172809,1609799,102,2113.0,2080.0
2011-12-17,2100.0,2100.0,2080.0,2097.0,1743665156,831552,94,2084.0,2080.0
2011-12-18,2090.0,2100.0,2070.0,2096.0,3592489133,1714242,117,2097.0,2090.0
2011-12-19,2090.0,2146.0,2075.0,2081.0,2818797430,1354265,140,2096.0,2090.0
2011-12-20,2080.0,2091.0,2010.0,2084.0,1642662700,788314,142,2081.0,2077.0
2011-12-21,2096.0,2096.0,2070.0,2080.0,4264039487,2050261,189,2084.0,2077.0
2011-12-24,2096.0,2100.0,2040.0,2087.0,2246710205,1076406,207,2080.0,2080.0
2011-12-25,2099.0,2099.0,2040.0,2081.0,1737790802,835215,74,2087.0,2079.0
2011-12-26,2084.0,2097.0,2040.0,2078.0,5779371034,2781239,269,2081.0,2090.0
2011-12-27,2099.0,2100.0,2070.0,2087.0,1416039105,678359,88,2078.0,2073.0
2011-12-28,2090.0,2090.0,2043.0,2077.0,1476444940,711010,119,2087.0,2070.0
2011-12-31,2098.0,2100.0,2065.0,2084.0,1888328776,906160,67,2077.0,2065.0
2012-01-01,2062.0,2063.0,1980.0,2028.0,6937110080,3420830,181,2084.0,2030.0
2012-01-02,2040.0,2050.0,1993.0,2024.0,6582158876,3252140,247,2028.0,2047.0
2012-01-03,2048.0,2064.0,2030.0,2056.0,472759905,229975,45,2024.0,2060.0
2012-01-04,2070.0,2090.0,2030.0,2080.0,2099815048,1009350,85,2056.0,2034.0
2012-01-07,2060.0,2088.0,2050.0,2058.0,7985806036,3880375,158,2080.0,2080.0
2012-01-08,2080.0,2090.0,2077.0,2081.0,3671834600,1764197,97,2058.0,2084.0
2012-01-09,2090.0,2090.0,2041.0,2080.0,3714774720,1786074,189,2081.0,2078.0
2012-01-10,2079.0,2089.0,2011.0,2078.0,1988669178,956858,103,2080.0,2089.0
2012-01-11,2089.0,2100.0,2085.0,2096.0,1319163934,629294,78,2078.0,2095.0
2012-01-15,2099.0,2180.0,2082.0,2136.0,2855358108,1336782,79,2096.0,2164.0
2012-01-16,2180.0,2199.0,2100.0,2158.0,2311904772,1071534,89,2136.0,2150.0
2012-01-17,2168.0,2169.0,2080.0,2138.0,2413116011,1128787,96,2158.0,2138.0
2012-01-18,2159.0,2160.0,2109.0,2130.0,2144689166,1006876,64,2138.0,2148.0
2012-01-21,2170.0,2188.0,2140.0,2168.0,505841384,233304,42,2130.0,2150.0
