date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-09,2426.0,2426.0,2426.0,2426.0,6183874,2549,3,2426.0,2426.0
2001-04-23,2425.0,2429.0,2425.0,2429.0,32007849,13194,8,2426.0,2429.0
2001-04-24,2550.0,2550.0,2550.0,2550.0,6375000,2500,1,2429.0,2550.0
2001-04-25,2610.0,2677.0,2610.0,2677.0,3089380,1158,3,2550.0,2677.0
2001-04-28,2730.0,2732.0,2730.0,2732.0,6809220,2494,3,2677.0,2732.0
2001-04-29,2731.0,2731.0,2731.0,2731.0,20963156,7676,3,2732.0,2731.0
2001-04-30,2731.0,2731.0,2600.0,2601.0,76396414,29125,20,2731.0,2601.0
2001-05-01,2601.0,2601.0,2601.0,2601.0,12261114,4714,5,2601.0,2601.0
2001-05-02,2620.0,2620.0,2620.0,2620.0,2620000,1000,1,2601.0,2620.0
2001-05-05,2580.0,2580.0,2580.0,2580.0,6450000,2500,1,2620.0,2580.0
2001-05-06,2580.0,2580.0,2580.0,2580.0,20382000,7900,2,2580.0,2580.0
2001-05-07,2579.0,2580.0,2579.0,2580.0,5159616,2000,2,2580.0,2580.0
2001-05-08,2580.0,2580.0,2580.0,2580.0,5761140,2233,4,2580.0,2580.0
2001-05-09,2586.0,2590.0,2586.0,2590.0,24060410,9299,5,2580.0,2590.0
2001-05-12,2593.0,2719.0,2593.0,2603.0,104638259,40281,28,2590.0,2603.0
2001-05-13,2604.0,2733.0,2604.0,2733.0,17694726,6506,2,2603.0,2733.0
2001-05-15,2733.0,2735.0,2733.0,2735.0,7294011,2667,2,2733.0,2735.0
2001-05-16,2736.0,2736.0,2736.0,2736.0,1233936,451,1,2735.0,2736.0
2001-05-20,2786.0,2872.0,2786.0,2788.0,18883678,6623,7,2736.0,2788.0
2001-05-21,2900.0,2900.0,2900.0,2900.0,14500000,5000,1,2788.0,2900.0
2001-05-23,2950.0,2950.0,2793.0,2793.0,5072700,1759,4,2900.0,2793.0
2001-05-26,2794.0,2794.0,2790.0,2790.0,4680040,1676,2,2793.0,2790.0
2001-05-27,2791.0,2791.0,2790.0,2790.0,23022200,8250,13,2790.0,2790.0
2001-05-28,2790.0,2792.0,2790.0,2792.0,7820332,2802,7,2790.0,2792.0
2001-05-29,2801.0,2802.0,2801.0,2802.0,32654139,11658,21,2792.0,2802.0
2001-05-30,2807.0,2807.0,2807.0,2807.0,2096829,747,1,2802.0,2807.0
2001-06-02,2813.0,2814.0,2813.0,2814.0,2397392,852,5,2807.0,2814.0
2001-06-06,2817.0,2817.0,2816.0,2816.0,4551756,1616,3,2814.0,2816.0
2001-06-09,2800.0,2816.0,2800.0,2816.0,9134200,3250,9,2816.0,2816.0
2001-06-11,2816.0,2816.0,2781.0,2781.0,17310700,6167,11,2816.0,2781.0
2001-06-12,2781.0,2781.0,2781.0,2781.0,5562000,2000,1,2781.0,2781.0
2001-06-13,2781.0,2781.0,2779.0,2779.0,11673800,4200,6,2781.0,2779.0
2001-06-17,2777.0,2780.0,2777.0,2780.0,11118341,4000,4,2779.0,2780.0
2001-06-18,2770.0,2780.0,2700.0,2780.0,21478476,7757,8,2780.0,2780.0
2001-06-19,2780.0,2800.0,2780.0,2800.0,29548540,10593,8,2780.0,2800.0
2001-06-20,2816.0,2817.0,2816.0,2816.0,11266000,4000,4,2800.0,2816.0
2001-06-23,2816.0,2850.0,2816.0,2816.0,63084616,22206,25,2816.0,2816.0
2001-06-24,2816.0,2816.0,2816.0,2816.0,13460480,4780,4,2816.0,2816.0
2001-06-25,2815.0,2816.0,2815.0,2816.0,6193800,2200,3,2816.0,2816.0
2001-06-26,2816.0,2850.0,2816.0,2816.0,18372000,6500,6,2816.0,2816.0
2001-06-27,2816.0,2816.0,2816.0,2816.0,20396288,7243,8,2816.0,2816.0
2001-06-30,2900.0,2900.0,2900.0,2900.0,18623800,6422,4,2816.0,2900.0
2001-07-01,2950.0,2951.0,2950.0,2951.0,39178428,13278,6,2900.0,2951.0
2001-07-02,2956.0,2956.0,2956.0,2956.0,3615188,1223,1,2951.0,2956.0
2001-07-03,2965.0,2965.0,2965.0,2965.0,50805275,17135,13,2956.0,2965.0
2001-07-09,3054.0,3054.0,3054.0,3054.0,1911804,626,1,2965.0,3054.0
2001-07-10,3200.0,3206.0,3200.0,3206.0,21536664,6720,12,3054.0,3206.0
2001-07-11,3211.0,3366.0,3211.0,3366.0,24069160,7210,30,3206.0,3366.0
2001-08-19,2700.0,2721.0,2700.0,2720.0,34931484,12845,9,3366.0,2720.0
2001-08-20,2856.0,2856.0,2856.0,2856.0,4335408,1518,1,2720.0,2856.0
2001-08-22,2998.0,2998.0,2998.0,2998.0,1499000,500,1,2856.0,2998.0
2001-08-25,3147.0,3147.0,3147.0,3147.0,94410000,30000,15,2998.0,3147.0
2001-08-26,3139.0,3147.0,3001.0,3001.0,71296939,23126,10,3147.0,3001.0
2001-08-28,3001.0,3001.0,3000.0,3000.0,73968048,24648,17,3001.0,3000.0
2001-08-29,3000.0,3000.0,3000.0,3000.0,12600000,4200,11,3000.0,3000.0
2001-09-01,3000.0,3000.0,3000.0,3000.0,1875000,625,3,3000.0,3000.0
2001-09-02,3002.0,3002.0,3001.0,3001.0,22347215,7445,9,3000.0,3001.0
2001-09-03,3001.0,3001.0,3000.0,3000.0,11839128,3946,14,3001.0,3000.0
2001-09-05,3001.0,3001.0,3000.0,3000.0,19840515,6613,17,3000.0,3000.0
2001-09-08,3000.0,3000.0,3000.0,3000.0,10632000,3544,5,3000.0,3000.0
2001-09-09,3000.0,3010.0,3000.0,3010.0,25579000,8513,12,3000.0,3010.0
2001-09-10,3010.0,3011.0,3010.0,3011.0,59778727,19857,27,3010.0,3011.0
2001-09-11,3012.0,3012.0,3012.0,3012.0,7530000,2500,5,3011.0,3012.0
2001-09-12,3060.0,3060.0,3060.0,3060.0,4590000,1500,2,3012.0,3060.0
2001-09-15,2999.0,3060.0,2999.0,3060.0,31508963,10500,12,3060.0,3060.0
2001-09-16,3060.0,3060.0,3060.0,3060.0,44755560,14626,13,3060.0,3060.0
2001-09-17,3061.0,3061.0,3061.0,3061.0,6122000,2000,4,3060.0,3061.0
2001-09-18,3061.0,3061.0,3060.0,3061.0,50792234,16594,14,3061.0,3061.0
2001-09-22,2910.0,3010.0,2908.0,3010.0,20258880,6891,12,3061.0,3010.0
2001-09-23,3011.0,3011.0,3010.0,3010.0,6279946,2086,6,3010.0,3010.0
2001-09-24,3009.0,3009.0,3009.0,3009.0,11494380,3820,5,3010.0,3009.0
2001-09-26,3003.0,3003.0,3003.0,3003.0,300300,100,2,3009.0,3003.0
2001-09-29,3002.0,3004.0,3000.0,3000.0,28132400,9370,11,3003.0,3000.0
2001-09-30,3000.0,3020.0,3000.0,3020.0,5777000,1921,3,3000.0,3020.0
2001-10-02,3010.0,3010.0,3010.0,3010.0,1652490,549,1,3020.0,3010.0
2001-10-07,2950.0,3010.0,2902.0,3010.0,33699229,11291,10,3010.0,3010.0
2001-10-08,3000.0,3000.0,2917.0,2917.0,11255110,3830,3,3010.0,2917.0
2001-10-10,2900.0,3060.0,2900.0,2900.0,63069870,21614,23,2917.0,2900.0
2001-10-14,2900.0,2900.0,2900.0,2900.0,5800000,2000,2,2900.0,2900.0
2001-10-17,2960.0,2960.0,2960.0,2960.0,14800000,5000,1,2900.0,2960.0
2001-10-22,2905.0,2905.0,2905.0,2905.0,4650905,1601,1,2960.0,2905.0
2001-10-23,2907.0,2907.0,2904.0,2904.0,35393821,12181,11,2905.0,2904.0
2001-10-29,2917.0,2917.0,2916.0,2917.0,57093168,19573,8,2904.0,2917.0
2001-10-30,2970.0,2970.0,2970.0,2970.0,4455000,1500,1,2917.0,2970.0
2001-10-31,2970.0,3000.0,2970.0,3000.0,9979080,3334,3,2970.0,3000.0
2001-11-03,2924.0,2924.0,2924.0,2924.0,6599468,2257,2,3000.0,2924.0
2001-11-04,2950.0,2950.0,2925.0,2926.0,6956395,2361,3,2924.0,2926.0
2001-11-05,3000.0,3030.0,3000.0,3030.0,12675000,4205,2,2926.0,3030.0
2001-11-07,3000.0,3060.0,3000.0,3060.0,23195200,7638,8,3030.0,3060.0
2001-11-10,3159.0,3160.0,3158.0,3160.0,34116700,10800,6,3060.0,3160.0
2001-11-11,3162.0,3162.0,3162.0,3162.0,14229000,4500,21,3160.0,3162.0
2001-11-12,3163.0,3170.0,3163.0,3170.0,18053600,5700,22,3162.0,3170.0
2001-11-13,3170.0,3250.0,3170.0,3200.0,61345000,19200,20,3170.0,3200.0
2001-11-14,3220.0,3300.0,3220.0,3224.0,29630220,9105,14,3200.0,3224.0
2001-11-17,3204.0,3204.0,3204.0,3204.0,4806000,1500,2,3224.0,3204.0
2001-11-19,3301.0,3600.0,3301.0,3600.0,17005700,4865,2,3204.0,3600.0
2001-11-20,3780.0,3780.0,3553.0,3780.0,43866514,11630,6,3600.0,3780.0
2001-11-21,3780.0,3950.0,3780.0,3950.0,109698680,28431,15,3780.0,3950.0
2001-11-24,3950.0,4000.0,3950.0,3953.0,66492695,16809,13,3950.0,3953.0
2001-11-26,3961.0,3961.0,3961.0,3961.0,1980500,500,1,3953.0,3961.0
2001-11-28,3992.0,3993.0,3990.0,3993.0,16361152,4100,5,3961.0,3993.0
2001-12-01,3997.0,4001.0,3996.0,4001.0,21544562,5387,8,3993.0,4001.0
2001-12-02,4005.0,4005.0,4005.0,4005.0,20061045,5009,4,4001.0,4005.0
2001-12-04,4011.0,4017.0,4007.0,4015.0,175708131,43795,19,4005.0,4015.0
2001-12-05,4017.0,4017.0,4016.0,4017.0,12319919,3067,7,4015.0,4017.0
