date,open,high,low,adjClose,value,volume,count,close
2012-03-12,1500.0,2500.0,1500.0,1918.0,2217065422,1155676,604,1900.0
2012-03-14,1823.0,1823.0,1823.0,1823.0,1823000,1000,1,1823.0
2012-03-17,1732.0,1732.0,1732.0,1732.0,1732000,1000,1,1732.0
2012-03-18,1646.0,1646.0,1646.0,1646.0,1646000,1000,1,1646.0
2012-03-24,1564.0,1725.0,1564.0,1567.0,391222791,249595,182,1564.0
2012-03-25,1489.0,1600.0,1489.0,1489.0,196454564,131933,74,1489.0
2012-03-26,1563.0,1563.0,1563.0,1563.0,46111626,29502,17,1563.0
2012-03-27,1563.0,1563.0,1563.0,1563.0,46890000,30000,12,1563.0
2012-03-28,1563.0,1563.0,1563.0,1563.0,54705000,35000,14,1563.0
2012-04-02,1563.0,1563.0,1561.0,1562.0,24988500,16000,9,1561.0
2012-04-03,1562.0,1639.0,1560.0,1565.0,105663390,67510,44,1639.0
2012-04-04,1565.0,1565.0,1565.0,1565.0,62600000,40000,16,1565.0
2012-04-07,1565.0,1565.0,1565.0,1565.0,18446655,11787,3,1565.0
2012-04-08,1565.0,1565.0,1564.0,1565.0,162325060,103724,33,1565.0
2012-04-09,1565.0,1565.0,1565.0,1565.0,88582130,56602,13,1565.0
2012-04-10,1565.0,1565.0,1565.0,1565.0,37153100,23740,3,1565.0
2012-04-11,1565.0,1565.0,1565.0,1565.0,93900000,60000,8,1565.0
2012-04-14,1565.0,1565.0,1560.0,1564.0,86000830,55000,14,1560.0
2012-04-15,1565.0,1565.0,1565.0,1565.0,71990000,46000,5,1565.0
2012-04-16,1565.0,1565.0,1565.0,1565.0,11017600,7040,2,1565.0
2012-04-17,1565.0,1565.0,1565.0,1565.0,23475000,15000,2,1565.0
2012-04-18,1565.0,1566.0,1565.0,1565.0,40427607,25828,5,1565.0
2012-04-21,1565.0,1565.0,1565.0,1565.0,42347335,27059,6,1565.0
2012-04-22,1565.0,1565.0,1565.0,1565.0,24044660,15364,3,1565.0
2012-04-23,1565.0,1565.0,1560.0,1564.0,37134400,23740,3,1560.0
2012-04-24,1565.0,1565.0,1565.0,1565.0,47776320,30528,7,1565.0
2012-05-01,1565.0,1565.0,1565.0,1565.0,55443255,35427,6,1565.0
2012-05-02,1565.0,1565.0,1565.0,1565.0,40283100,25740,4,1565.0
2012-05-05,1565.0,1566.0,1565.0,1566.0,12776085,8161,2,1566.0
2012-05-07,1565.0,1565.0,1565.0,1565.0,6322600,4040,1,1565.0
2012-05-08,1565.0,1565.0,1565.0,1565.0,6322600,4040,1,1565.0
2012-05-12,1565.0,1565.0,1565.0,1565.0,10621655,6787,1,1565.0
2012-05-13,1565.0,1565.0,1565.0,1565.0,18780000,12000,2,1565.0
2012-05-16,1565.0,1565.0,1565.0,1565.0,6324165,4041,1,1565.0
2012-05-21,1565.0,1565.0,1565.0,1565.0,37153100,23740,3,1565.0
2012-05-22,1565.0,1565.0,1565.0,1565.0,18448220,11788,3,1565.0
2012-05-26,1565.0,1565.0,1565.0,1565.0,10621655,6787,1,1565.0
2012-05-27,1565.0,1565.0,1565.0,1565.0,73223220,46788,8,1565.0
2012-05-28,1565.0,1565.0,1565.0,1565.0,31300000,20000,2,1565.0
2012-05-29,1565.0,1565.0,1565.0,1565.0,17069455,10907,3,1565.0
2012-05-30,1565.0,1565.0,1565.0,1565.0,26271655,16787,2,1565.0
2012-06-02,1565.0,1565.0,1565.0,1565.0,31749155,20287,6,1565.0
2012-06-05,1565.0,1565.0,1565.0,1565.0,26605000,17000,2,1565.0
