date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-09-08,600.0,600.0,600.0,600.0,7566000,12610,1,340.0,600.0
2014-09-15,413.0,413.0,410.0,413.0,5246320,12710,3,600.0,410.0
2014-09-17,410.0,410.0,410.0,410.0,205000,500,1,413.0,410.0
2014-09-20,410.0,410.0,410.0,410.0,1025000,2500,1,410.0,410.0
2014-09-21,412.0,412.0,412.0,412.0,1025880,2490,1,410.0,412.0
2014-09-24,410.0,410.0,410.0,410.0,82000,200,1,412.0,410.0
2014-10-04,410.0,410.0,410.0,410.0,20500,50,1,410.0,410.0
2014-10-06,410.0,410.0,410.0,410.0,82000000,200000,1,410.0,410.0
2014-10-07,410.0,410.0,410.0,410.0,39626500,96650,1,410.0,410.0
2014-10-11,410.0,599.0,410.0,416.0,128989401,309999,3,410.0,599.0
2014-10-18,705.0,705.0,705.0,705.0,8890050,12610,1,416.0,705.0
2014-10-21,705.0,705.0,705.0,705.0,25380000,36000,2,705.0,705.0
2014-10-22,600.0,610.0,600.0,602.0,156620000,260000,6,705.0,600.0
2014-10-28,510.0,510.0,510.0,510.0,25500000,50000,1,602.0,510.0
2014-10-29,472.0,472.0,451.0,470.0,7521000,16000,3,510.0,451.0
2014-11-12,460.0,670.0,460.0,462.0,18661300,40390,2,470.0,670.0
2014-11-23,500.0,500.0,500.0,500.0,31805000,63610,5,462.0,500.0
2014-11-24,500.0,500.0,500.0,500.0,25000000,50000,2,500.0,500.0
2014-11-25,730.0,730.0,730.0,730.0,978200,1340,1,500.0,730.0
2014-12-09,510.0,550.0,510.0,521.0,7085500,13610,2,730.0,550.0
2014-12-15,450.0,550.0,450.0,454.0,106483500,234790,4,521.0,550.0
2014-12-16,430.0,430.0,425.0,428.0,64250000,150000,2,454.0,425.0
2014-12-20,450.0,450.0,450.0,450.0,22500000,50000,1,428.0,450.0
2014-12-27,432.0,490.0,432.0,434.0,226090000,521000,3,450.0,490.0
2014-12-28,490.0,490.0,490.0,490.0,13378470,27303,2,434.0,490.0
2014-12-31,430.0,431.0,430.0,430.0,9031000,21000,2,490.0,431.0
2015-01-03,450.0,450.0,450.0,450.0,5400000,12000,1,430.0,450.0
2015-01-10,435.0,435.0,417.0,417.0,110705580,265210,4,450.0,417.0
2015-01-11,450.0,450.0,450.0,450.0,274500,610,1,417.0,450.0
2015-01-13,413.0,413.0,413.0,413.0,20650000,50000,1,450.0,413.0
2015-01-20,415.0,415.0,410.0,413.0,35785740,86597,6,413.0,410.0
2015-01-26,410.0,410.0,410.0,410.0,20500000,50000,1,413.0,410.0
2015-02-09,367.0,367.0,367.0,367.0,4771000,13000,1,410.0,367.0
2015-04-12,370.0,370.0,370.0,370.0,6105000,16500,1,367.0,370.0
2015-10-10,364.0,364.0,363.0,363.0,109000000,300000,2,353.0,363.0
2015-10-28,450.0,450.0,450.0,450.0,22500000,50000,1,363.0,450.0
2015-11-30,400.0,400.0,400.0,400.0,41200000,103000,4,450.0,400.0
2015-12-08,420.0,420.0,400.0,418.0,44719200,106948,2,400.0,400.0
2015-12-20,401.0,401.0,401.0,401.0,9223000,23000,1,418.0,401.0
2016-01-05,450.0,450.0,450.0,450.0,2059200,4576,1,401.0,450.0
2016-01-18,450.0,450.0,450.0,450.0,1001250,2225,1,450.0,450.0
2016-02-08,435.0,450.0,435.0,444.0,15359550,34599,2,450.0,450.0
