date,open,high,low,adjClose,value,volume,count,close
2013-10-20,1250.0,1250.0,1250.0,1250.0,2820810000,2256648,25,1250.0
2013-11-11,1250.0,1250.0,1250.0,1250.0,68135000,54508,17,1250.0
2013-11-12,1250.0,1250.0,1250.0,1250.0,825000,660,1,1250.0
2013-11-30,1250.0,1250.0,1250.0,1250.0,56575000,45260,18,1250.0
2013-12-11,1250.0,1250.0,1250.0,1250.0,11820000,9456,3,1250.0
2013-12-25,1250.0,1250.0,1250.0,1250.0,7425000,5940,4,1250.0
2013-12-30,1250.0,1300.0,1250.0,1252.0,18797308,15014,7,1252.0
2014-01-04,1330.0,1330.0,1250.0,1278.0,2877670,2251,2,1250.0
2014-01-05,1300.0,1300.0,1300.0,1300.0,3125200,2404,1,1300.0
2014-01-13,1250.0,1650.0,1250.0,1271.0,50608000,39804,23,1500.0
2014-01-21,1260.0,1500.0,1250.0,1258.0,41268786,32796,10,1500.0
2014-01-29,1250.0,1271.0,1250.0,1255.0,9121865,7267,3,1271.0
2014-02-01,1500.0,1500.0,1500.0,1500.0,5196000,3464,1,1500.0
2014-02-02,1280.0,1280.0,1280.0,1280.0,7040000,5500,1,1280.0
2014-02-03,1271.0,1271.0,1271.0,1271.0,2684352,2112,2,1271.0
2014-02-08,1282.0,1282.0,1271.0,1273.0,5378868,4224,4,1271.0
2014-02-18,1280.0,1500.0,1251.0,1277.0,36000490,28183,12,1291.0
2014-02-23,1350.0,1350.0,1300.0,1331.0,15378000,11550,3,1300.0
2014-03-02,1291.0,1331.0,1272.0,1282.0,22186920,17300,14,1292.0
2014-03-04,1292.0,1292.0,1292.0,1292.0,1193808,924,1,1292.0
2014-03-05,1292.0,1292.0,1292.0,1292.0,5969040,4620,2,1292.0
2014-03-09,1292.0,1292.0,1292.0,1292.0,6992304,5412,4,1292.0
2014-03-10,1293.0,1293.0,1293.0,1293.0,10240560,7920,1,1293.0
2014-03-11,1292.0,1292.0,1292.0,1292.0,8540120,6610,1,1292.0
2014-03-18,1292.0,1292.0,1272.0,1284.0,12063128,9394,5,1272.0
2014-03-30,1300.0,1300.0,1300.0,1300.0,21450000,16500,2,1300.0
2014-04-05,1301.0,1301.0,1301.0,1301.0,2335295,1795,1,1301.0
2014-04-06,1300.0,1300.0,1300.0,1300.0,14248000,10960,6,1300.0
2014-04-08,1300.0,1301.0,1300.0,1300.0,29338409,22568,5,1300.0
2014-04-09,1291.0,1291.0,1251.0,1265.0,2003916,1584,3,1251.0
2014-04-12,1251.0,1251.0,1240.0,1250.0,70882321,56689,6,1240.0
2014-04-13,1240.0,1240.0,1240.0,1240.0,1299520,1048,1,1240.0
2014-04-14,1240.0,1240.0,1240.0,1240.0,1101120,888,2,1240.0
2014-04-16,1240.0,1240.0,1240.0,1240.0,5237760,4224,1,1240.0
2014-04-19,1240.0,1240.0,1240.0,1240.0,1582240,1276,2,1240.0
2014-04-20,1240.0,1240.0,1240.0,1240.0,19832560,15994,6,1240.0
2014-04-21,1240.0,1240.0,1240.0,1240.0,5250160,4234,2,1240.0
2014-04-26,1239.0,1239.0,1239.0,1239.0,981288,792,1,1239.0
2014-04-29,1301.0,1301.0,1241.0,1249.0,6570983,5263,4,1241.0
2014-04-30,1241.0,1241.0,1241.0,1241.0,1087116,876,1,1241.0
2014-05-04,1243.0,1243.0,1243.0,1243.0,5250432,4224,2,1243.0
2014-05-05,1331.0,1331.0,1331.0,1331.0,527076,396,1,1331.0
2014-05-06,1390.0,1498.0,1390.0,1470.0,32170224,21891,4,1498.0
2014-05-07,1500.0,1500.0,1331.0,1490.0,129543940,86946,12,1331.0
2014-05-10,2000.0,2000.0,1450.0,1963.0,113185725,57664,8,1450.0
2014-05-12,2000.0,2399.0,1800.0,2315.0,158806062,68611,9,2399.0
2014-05-24,2510.0,2550.0,2100.0,2494.0,201665710,80875,15,2100.0
2014-05-25,2510.0,2510.0,2001.0,2036.0,2688148,1320,2,2001.0
2014-05-26,2030.0,2500.0,1999.0,2363.0,125342604,53054,19,2500.0
2014-06-10,2000.0,2000.0,1740.0,1756.0,15806160,9000,4,1740.0
2014-06-11,1751.0,1751.0,1488.0,1671.0,18042900,10800,3,1488.0
2014-06-14,1488.0,1488.0,1488.0,1488.0,19162464,12878,6,1488.0
2014-06-15,1488.0,1488.0,1488.0,1488.0,6380544,4288,3,1488.0
2014-06-16,1488.0,1488.0,1488.0,1488.0,3584592,2409,2,1488.0
2014-06-17,1488.0,1488.0,1488.0,1488.0,2258784,1518,2,1488.0
2014-06-21,1488.0,1488.0,1488.0,1488.0,1276704,858,1,1488.0
2014-06-22,1488.0,1488.0,1488.0,1488.0,2160576,1452,1,1488.0
2014-06-23,1488.0,1488.0,1488.0,1488.0,4664880,3135,2,1488.0
2014-06-25,1488.0,1488.0,1488.0,1488.0,19641600,13200,1,1488.0
2014-06-29,1352.0,1352.0,1352.0,1352.0,17981600,13300,2,1352.0
2014-06-30,1750.0,1750.0,1750.0,1750.0,42959000,24548,2,1750.0
2014-07-05,1352.0,1352.0,1352.0,1352.0,4461600,3300,1,1352.0
2014-07-06,1352.0,1352.0,1352.0,1352.0,3390816,2508,2,1352.0
2014-07-12,1360.0,1360.0,1350.0,1355.0,21181747,15635,6,1350.0
