date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-11-19,1510.0,1540.0,1500.0,1511.0,6913295373,4575633,516,1000.0,1521.0
2012-11-20,1515.0,1529.0,1509.0,1514.0,1286253341,849800,333,1511.0,1511.0
2012-11-21,1519.0,1530.0,1514.0,1516.0,478193293,315399,122,1514.0,1515.0
2012-11-26,1510.0,1518.0,1490.0,1508.0,998432240,662251,199,1516.0,1511.0
2012-11-27,1509.0,1509.0,1500.0,1507.0,913487517,606169,120,1508.0,1508.0
2012-11-28,1507.0,1508.0,1506.0,1507.0,1071887593,711061,154,1507.0,1507.0
2012-12-01,1500.0,1510.0,1441.0,1491.0,1388915555,931310,576,1507.0,1501.0
2012-12-02,1479.0,1508.0,1455.0,1489.0,312905865,210214,49,1491.0,1455.0
2012-12-03,1500.0,1551.0,1490.0,1529.0,824032254,538789,132,1489.0,1550.0
2012-12-04,1500.0,1500.0,1489.0,1493.0,249156900,166931,105,1529.0,1500.0
2012-12-05,1500.0,1510.0,1500.0,1508.0,4012962500,2661975,1497,1493.0,1500.0
2012-12-08,1500.0,1539.0,1480.0,1494.0,82578950,55264,32,1508.0,1480.0
2012-12-09,1430.0,1430.0,1430.0,1430.0,41271230,28861,3,1494.0,1430.0
2012-12-10,1370.0,1372.0,1366.0,1369.0,104834668,76576,36,1430.0,1372.0
2012-12-11,1311.0,1355.0,1311.0,1325.0,88088879,66501,20,1369.0,1355.0
2012-12-12,1259.0,1299.0,1259.0,1259.0,62982216,50024,14,1325.0,1299.0
2012-12-15,1259.0,1259.0,1259.0,1259.0,11577764,9196,12,1259.0,1259.0
2012-12-16,1259.0,1259.0,1259.0,1259.0,33228787,26393,32,1259.0,1259.0
2012-12-17,1250.0,1254.0,1250.0,1250.0,255021700,204012,177,1259.0,1254.0
2012-12-18,1251.0,1251.0,1251.0,1251.0,56725344,45344,17,1250.0,1251.0
2012-12-19,1252.0,1313.0,1251.0,1251.0,40711301217,32542786,22,1251.0,1251.0
2012-12-22,1189.0,1251.0,1189.0,1251.0,7799643590,6235408,12,1251.0,1251.0
2012-12-23,1301.0,1313.0,1301.0,1309.0,23752175,18139,5,1251.0,1313.0
2012-12-24,1374.0,1374.0,1374.0,1374.0,46428834,33791,10,1309.0,1374.0
2012-12-25,1442.0,1442.0,1442.0,1442.0,30282000,21000,3,1374.0,1442.0
2012-12-26,1514.0,1514.0,1514.0,1514.0,14759986,9749,3,1442.0,1514.0
2012-12-29,1589.0,1589.0,1516.0,1518.0,306517228,201943,130,1514.0,1516.0
2012-12-30,1518.0,1522.0,1518.0,1520.0,523766109,344614,230,1518.0,1522.0
2012-12-31,1510.0,1510.0,1510.0,1510.0,48587270,32177,41,1520.0,1510.0
2013-01-01,1510.0,1510.0,1510.0,1510.0,59074220,39122,35,1510.0,1510.0
2013-01-02,1513.0,1513.0,1450.0,1511.0,247089600,163524,47,1510.0,1450.0
2013-01-06,1509.0,1509.0,1509.0,1509.0,5281500,3500,4,1511.0,1509.0
2013-01-07,1500.0,1500.0,1434.0,1434.0,28695000,20010,9,1509.0,1434.0
2013-01-08,1363.0,1363.0,1363.0,1363.0,27260000,20000,5,1434.0,1363.0
2013-01-09,1297.0,1297.0,1295.0,1295.0,179265410,138398,27,1363.0,1295.0
2013-01-14,1236.0,1359.0,1236.0,1254.0,26910489,21453,13,1295.0,1359.0
2013-01-15,1301.0,1301.0,1301.0,1301.0,1561200,1200,10,1254.0,1301.0
2013-01-16,1241.0,1290.0,1241.0,1249.0,66188281,52994,15,1301.0,1251.0
2013-01-19,1311.0,1311.0,1311.0,1311.0,2538096,1936,2,1249.0,1311.0
2013-01-20,1376.0,1376.0,1376.0,1376.0,18303552,13302,14,1311.0,1376.0
2013-01-21,1444.0,1444.0,1444.0,1444.0,109062432,75528,65,1376.0,1444.0
2013-01-22,1490.0,1490.0,1490.0,1490.0,22350000,15000,6,1444.0,1490.0
2013-01-23,1450.0,1500.0,1450.0,1485.0,88109670,59339,11,1490.0,1499.0
2013-01-26,1500.0,1525.0,1500.0,1521.0,1049308680,689939,99,1485.0,1523.0
2013-01-30,1445.0,1445.0,1445.0,1445.0,433500,300,1,1521.0,1445.0
2013-02-02,1373.0,1373.0,1373.0,1373.0,7469120,5440,2,1445.0,1373.0
2013-02-03,1305.0,1305.0,1305.0,1305.0,15855750,12150,5,1373.0,1305.0
2013-02-04,1240.0,1240.0,1240.0,1240.0,992000,800,1,1305.0,1240.0
2013-02-05,1230.0,1250.0,1230.0,1244.0,370284690,297555,55,1240.0,1230.0
2013-02-06,1182.0,1200.0,1182.0,1183.0,49018350,41425,21,1244.0,1182.0
2013-02-09,1131.0,1241.0,1131.0,1155.0,27439739,23759,7,1183.0,1241.0
2013-02-11,1167.0,1168.0,1156.0,1162.0,50414643,43378,12,1155.0,1168.0
2013-02-12,1220.0,1220.0,1220.0,1220.0,35475160,29078,4,1162.0,1220.0
2013-02-13,1281.0,1281.0,1281.0,1281.0,12917604,10084,2,1220.0,1281.0
2013-02-17,1345.0,1345.0,1345.0,1345.0,180558180,134244,17,1281.0,1345.0
2013-02-18,1412.0,1412.0,1412.0,1412.0,47506740,33645,9,1345.0,1412.0
2013-02-19,1482.0,1482.0,1482.0,1482.0,1627468674,1098157,118,1412.0,1482.0
2013-02-20,1500.0,1500.0,1408.0,1468.0,457547252,311586,76,1482.0,1410.0
2013-02-23,1475.0,1480.0,1420.0,1464.0,86175580,58871,13,1468.0,1420.0
2013-02-24,1450.0,1500.0,1450.0,1491.0,284949171,191115,32,1464.0,1499.0
2013-02-25,1465.0,1500.0,1465.0,1494.0,301619020,201918,81,1491.0,1500.0
2013-02-26,1510.0,1518.0,1510.0,1517.0,1816766471,1197403,245,1494.0,1518.0
2013-02-27,1499.0,1499.0,1445.0,1458.0,35426086,24300,6,1517.0,1451.0
2013-03-02,1386.0,1386.0,1386.0,1386.0,8837136,6376,2,1458.0,1386.0
2013-03-03,1400.0,1455.0,1400.0,1440.0,58358015,40517,6,1386.0,1455.0
2013-03-05,1368.0,1368.0,1368.0,1368.0,2190168,1601,1,1440.0,1368.0
2013-03-06,1400.0,1436.0,1400.0,1408.0,82187882,58378,14,1368.0,1436.0
2013-03-10,1470.0,1478.0,1450.0,1470.0,62483000,42500,8,1408.0,1450.0
2013-03-11,1450.0,1450.0,1450.0,1450.0,28685350,19783,4,1470.0,1450.0
2013-03-12,1450.0,1452.0,1450.0,1450.0,285507450,196881,22,1450.0,1450.0
2013-03-13,1449.0,1450.0,1449.0,1450.0,225616525,155598,18,1450.0,1450.0
2013-03-18,1378.0,1378.8,1378.8,1378.0,4700358,3411,1,1450.0,1378.0
2013-03-26,1370.0,1370.0,1370.0,1370.0,3968890,2897,1,1378.0,1370.0
2013-03-27,1430.0,1438.0,1430.0,1432.0,10949780,7646,3,1370.0,1438.0
2013-03-30,1446.0,1452.0,1446.0,1448.0,53352548,36849,5,1432.0,1452.0
2013-04-03,1422.0,1422.0,1422.0,1422.0,38647116,27178,3,1448.0,1422.0
2013-04-06,1493.0,1493.0,1493.0,1493.0,8138343,5451,1,1422.0,1493.0
2013-04-07,1550.0,1550.0,1550.0,1550.0,46500000,30000,10,1493.0,1550.0
2013-04-08,1473.0,1475.0,1473.0,1474.0,8545362,5797,4,1550.0,1474.0
2013-04-09,1477.0,1477.0,1474.0,1476.0,37636000,25500,6,1474.0,1474.0
2013-04-13,1528.0,1528.0,1449.0,1506.0,10439468,6932,5,1476.0,1449.0
2013-04-15,1500.0,1500.0,1449.0,1467.0,47494416,32384,9,1506.0,1452.0
2013-04-16,1401.0,1401.0,1394.0,1395.0,79408920,56920,18,1467.0,1394.0
2013-04-17,1394.0,1464.0,1393.0,1423.0,209598418,147325,38,1395.0,1464.0
2013-04-20,1479.0,1494.0,1479.0,1489.0,243001018,163223,30,1423.0,1494.0
2013-04-21,1450.0,1450.0,1450.0,1450.0,19809900,13662,4,1489.0,1450.0
2013-04-22,1450.0,1451.0,1450.0,1450.0,41663791,28731,10,1450.0,1450.0
2013-04-23,1490.0,1494.0,1378.0,1486.0,116514344,78432,14,1450.0,1494.0
2013-04-24,1500.0,1500.0,1414.0,1492.0,181430932,121607,66,1486.0,1497.0
2013-04-27,1470.0,1490.0,1470.0,1487.0,6805250,4575,3,1492.0,1490.0
2013-04-28,1489.0,1498.0,1420.0,1486.0,67966586,45724,14,1487.0,1494.0
2013-04-29,1490.0,1490.0,1461.0,1487.0,414289283,278579,146,1486.0,1461.0
2013-04-30,1480.0,1500.0,1480.0,1491.0,18625200,12490,2,1487.0,1500.0
2013-05-01,1460.0,1482.0,1452.0,1463.0,1044291472,713777,88,1491.0,1482.0
2013-05-04,1470.0,1500.0,1455.0,1481.0,390734992,263833,102,1463.0,1455.0
2013-05-05,1480.0,1496.0,1450.0,1469.0,334476854,227767,95,1481.0,1450.0
2013-05-06,1460.0,1500.0,1460.0,1497.0,112879500,75413,10,1469.0,1500.0
2013-05-07,1431.0,1480.0,1431.0,1444.0,38853633,26913,12,1497.0,1480.0
2013-05-08,1380.0,1500.0,1380.0,1417.0,308997720,218078,62,1444.0,1500.0
