date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-08,1000.0,1000.0,1000.0,1000.0,548000,548,1,1000.0,1000.0
2001-04-28,1000.0,1000.0,1000.0,1000.0,84670000,84670,68,1000.0,1000.0
2001-04-29,1000.0,1000.0,1000.0,1000.0,67078000,67078,22,1000.0,1000.0
2001-04-30,1000.0,1000.0,1000.0,1000.0,280000,280,1,1000.0,1000.0
2001-05-01,1000.0,1000.0,1000.0,1000.0,5642000,5642,2,1000.0,1000.0
2001-05-06,1000.0,1000.0,1000.0,1000.0,1500000,1500,1,1000.0,1000.0
2001-05-09,1000.0,1000.0,1000.0,1000.0,5000000,5000,2,1000.0,1000.0
2001-05-12,1000.0,1000.0,1000.0,1000.0,24674000,24674,8,1000.0,1000.0
2001-05-16,1000.0,1000.0,1000.0,1000.0,20000000,20000,12,1000.0,1000.0
2001-05-19,1000.0,1000.0,1000.0,1000.0,2700000,2700,2,1000.0,1000.0
2001-05-21,1000.0,1000.0,1000.0,1000.0,12324000,12324,7,1000.0,1000.0
2001-05-23,1010.0,1010.0,1010.0,1010.0,26925590,26659,9,1000.0,1010.0
2001-05-26,1010.0,1010.0,1010.0,1010.0,163620,162,1,1010.0,1010.0
2001-05-28,1010.0,1010.0,1010.0,1010.0,3151200,3120,5,1010.0,1010.0
2001-05-29,1010.0,1010.0,1010.0,1010.0,295930,293,1,1010.0,1010.0
2001-05-30,1010.0,1010.0,1010.0,1010.0,3181500,3150,5,1010.0,1010.0
2001-06-02,1010.0,1010.0,1010.0,1010.0,12038190,11919,5,1010.0,1010.0
2001-06-03,1010.0,1010.0,1010.0,1010.0,13211810,13081,4,1010.0,1010.0
2001-06-06,1010.0,1010.0,1009.0,1010.0,11105474,10996,10,1010.0,1010.0
2001-06-09,1010.0,1010.0,1000.0,1010.0,26282330,26053,9,1010.0,1010.0
2001-10-09,1000.0,1000.0,1000.0,1000.0,1000000,1000,3,1010.0,1000.0
2001-10-20,1000.0,1010.0,1000.0,1010.0,35709000,35609,18,1000.0,1010.0
2001-10-21,1020.0,1020.0,1000.0,1000.0,12220400,12020,4,1010.0,1000.0
2001-10-22,1000.0,1001.0,1000.0,1000.0,35059360,35039,13,1000.0,1000.0
2001-10-23,1010.0,1010.0,1010.0,1010.0,48679980,48198,17,1000.0,1010.0
2001-10-24,1011.0,1013.0,1010.0,1010.0,9041446294,8943086,34,1010.0,1010.0
2001-10-27,1020.0,1020.0,1020.0,1020.0,2182800,2140,2,1010.0,1020.0
2001-10-28,1030.0,1030.0,1030.0,1030.0,1174200,1140,2,1020.0,1030.0
2001-10-30,1040.0,1040.0,1040.0,1040.0,3459040,3326,7,1030.0,1040.0
2001-10-31,1050.0,1050.0,1050.0,1050.0,1050000,1000,2,1040.0,1050.0
2001-11-03,1060.0,1060.0,1060.0,1060.0,2240840,2114,2,1050.0,1060.0
2001-11-04,1070.0,1070.0,1070.0,1070.0,1070000,1000,3,1060.0,1070.0
2001-11-05,1080.0,1080.0,1080.0,1080.0,1080000,1000,2,1070.0,1080.0
2001-11-06,1090.0,1090.0,1090.0,1090.0,1090000,1000,3,1080.0,1090.0
2001-11-10,1100.0,1100.0,1090.0,1090.0,113378060,103224,29,1090.0,1090.0
2001-11-11,1090.0,1090.0,1085.0,1090.0,25451190,23364,8,1090.0,1090.0
2001-11-12,1090.0,1090.0,1090.0,1090.0,490500,450,1,1090.0,1090.0
2001-11-13,1092.0,1093.0,1090.0,1090.0,12872023,11800,8,1090.0,1090.0
2001-11-19,1090.0,1091.0,1085.0,1085.0,7043735,6475,8,1090.0,1085.0
2001-12-01,1085.0,1085.0,1085.0,1085.0,5683230,5238,2,1085.0,1085.0
2001-12-02,1080.0,1085.0,1080.0,1085.0,2445845,2257,5,1085.0,1085.0
2001-12-03,1084.0,1084.0,1084.0,1084.0,1626000,1500,1,1085.0,1084.0
2001-12-04,1085.0,1085.0,1085.0,1085.0,15449315,14239,3,1084.0,1085.0
2001-12-05,1085.0,1085.0,1083.0,1085.0,128843387,118762,19,1085.0,1085.0
2001-12-12,1085.0,1085.0,1080.0,1080.0,580060,536,2,1085.0,1080.0
2001-12-15,1080.0,1085.0,1080.0,1085.0,61148850,56499,13,1080.0,1085.0
2001-12-17,1084.0,1085.0,1084.0,1085.0,433734,400,3,1085.0,1085.0
2001-12-18,1082.0,1082.0,1082.0,1082.0,119020,110,1,1085.0,1082.0
2001-12-19,1080.0,1080.0,1080.0,1080.0,5400000,5000,1,1082.0,1080.0
2001-12-22,1079.0,1080.0,1079.0,1079.0,10951950,10150,4,1080.0,1079.0
2001-12-23,1076.0,1078.0,1076.0,1078.0,25871614,24000,7,1079.0,1078.0
2001-12-25,1073.0,1085.0,1070.0,1085.0,189181108,175000,58,1078.0,1085.0
2001-12-26,1085.0,1094.0,1085.0,1094.0,321327626,294879,51,1085.0,1094.0
2001-12-30,1104.0,1104.0,1104.0,1104.0,2208000,2000,1,1094.0,1104.0
2001-12-31,1115.0,1115.0,1115.0,1115.0,3813300,3420,3,1104.0,1115.0
2002-01-01,1126.0,1126.0,1126.0,1126.0,34060374,30249,13,1115.0,1126.0
2002-01-02,1137.0,1137.0,1137.0,1137.0,1732788,1524,2,1126.0,1137.0
2002-01-06,1148.0,1148.0,1148.0,1148.0,1606052,1399,4,1137.0,1148.0
2002-01-07,1159.0,1159.0,1159.0,1159.0,1159000,1000,1,1148.0,1159.0
2002-01-12,1170.0,1170.0,1170.0,1170.0,1170000,1000,1,1159.0,1170.0
2002-01-15,1181.0,1181.0,1181.0,1181.0,1181000,1000,1,1170.0,1181.0
2002-01-16,1192.0,1192.0,1192.0,1192.0,1192000,1000,2,1181.0,1192.0
2002-01-19,1203.0,1203.0,1203.0,1203.0,1203000,1000,2,1192.0,1203.0
2002-01-20,1215.0,1215.0,1215.0,1215.0,607500,500,2,1203.0,1215.0
2002-01-21,1227.0,1227.0,1227.0,1227.0,1227000,1000,2,1215.0,1227.0
2002-01-22,1239.0,1239.0,1239.0,1239.0,1239000,1000,2,1227.0,1239.0
2002-01-23,1251.0,1251.0,1251.0,1251.0,55669500,44500,15,1239.0,1251.0
2002-01-26,1263.0,1263.0,1263.0,1263.0,1263000,1000,1,1251.0,1263.0
2002-01-27,1275.0,1275.0,1275.0,1275.0,6375000,5000,8,1263.0,1275.0
2002-01-28,1287.0,1287.0,1287.0,1287.0,52540488,40824,12,1275.0,1287.0
2002-01-29,1299.0,1299.0,1299.0,1299.0,32397060,24940,7,1287.0,1299.0
2002-01-30,1311.0,1311.0,1311.0,1311.0,1473564,1124,2,1299.0,1311.0
2002-02-02,1324.0,1324.0,1324.0,1324.0,1324000,1000,1,1311.0,1324.0
2002-02-05,1337.0,1337.0,1337.0,1337.0,133700,100,1,1324.0,1337.0
2002-02-06,1350.0,1350.0,1350.0,1350.0,135000,100,1,1337.0,1350.0
2002-02-09,1363.0,1363.0,1363.0,1363.0,204450,150,1,1350.0,1363.0
2002-02-10,1376.0,1376.0,1376.0,1376.0,8049600,5850,3,1363.0,1376.0
2002-12-29,1100.0,1100.0,1100.0,1100.0,1100000,1000,1,1376.0,1100.0
2003-01-19,1051.0,1051.0,1050.0,1050.0,3152000,3000,3,1100.0,1050.0
2003-01-20,1000.0,1000.0,1000.0,1000.0,3000000,3000,3,1050.0,1000.0
2003-01-25,950.0,1000.0,950.0,1000.0,77821750,81865,25,1000.0,1000.0
2003-01-29,950.0,1000.0,950.0,1000.0,39212350,41000,14,1000.0,1000.0
2003-02-02,990.0,990.0,990.0,990.0,19800,20,1,1000.0,990.0
2003-02-03,986.0,986.0,986.0,986.0,7304288,7408,4,990.0,986.0
2003-02-04,950.0,950.0,940.0,950.0,79667700,83966,17,986.0,950.0
2003-02-05,904.0,904.0,903.0,903.0,19897672,22024,10,950.0,903.0
2003-02-08,900.0,947.0,900.0,947.0,34723380,38216,12,903.0,947.0
2003-02-09,950.0,950.0,903.0,903.0,12724550,13889,2,947.0,903.0
2003-02-10,904.0,904.0,903.0,903.0,5160836,5715,2,903.0,903.0
2003-02-18,948.0,948.0,948.0,948.0,1896000,2000,1,903.0,948.0
2003-02-19,910.0,910.0,910.0,910.0,2039310,2241,1,948.0,910.0
2003-02-23,910.0,910.0,910.0,910.0,910000,1000,1,910.0,910.0
2003-02-24,910.0,910.0,910.0,910.0,105560,116,1,910.0,910.0
2003-02-25,910.0,910.0,910.0,910.0,910000,1000,1,910.0,910.0
2003-02-26,943.0,944.0,943.0,944.0,7614492,8068,8,910.0,944.0
2003-03-01,944.0,946.0,944.0,946.0,2834000,3000,2,944.0,946.0
2003-03-02,947.0,947.0,947.0,947.0,1079580,1140,1,946.0,947.0
2003-03-03,950.0,990.0,950.0,990.0,2170000,2200,2,947.0,990.0
2003-03-05,990.0,990.0,990.0,990.0,59400,60,2,990.0,990.0
2003-03-09,984.0,990.0,984.0,990.0,15799344,16000,11,990.0,990.0
2003-03-10,1000.0,1000.0,990.0,990.0,4967360,5000,2,990.0,990.0
2003-03-12,999.0,999.0,999.0,999.0,662005332,662668,1,990.0,999.0
2003-03-18,960.0,960.0,960.0,960.0,298560,311,1,999.0,960.0
2003-03-30,999.0,1000.0,999.0,999.0,14987736,15000,5,960.0,999.0
2003-03-31,961.0,961.0,960.0,960.0,14116200,14695,6,999.0,960.0
2003-04-05,950.0,1000.0,950.0,999.0,5060850,5275,3,960.0,999.0
2003-04-06,999.0,1000.0,999.0,1000.0,1063000,1064,2,999.0,1000.0
2003-04-07,954.0,1000.0,954.0,1000.0,7767050,8000,4,1000.0,1000.0
2003-04-08,1000.0,1000.0,1000.0,1000.0,1000000,1000,1,1000.0,1000.0
2003-04-09,1000.0,1000.0,999.0,999.0,5495040,5500,2,1000.0,999.0
2003-04-12,999.0,1000.0,999.0,1000.0,1099000,1100,3,999.0,1000.0
2003-04-13,1000.0,1000.0,1000.0,1000.0,1000000,1000,1,1000.0,1000.0
2003-04-14,954.0,1000.0,954.0,1000.0,3151270,3255,3,1000.0,1000.0
2003-04-15,999.0,1000.0,999.0,1000.0,19992024,20000,7,1000.0,1000.0
2003-04-16,1000.0,1000.0,1000.0,1000.0,1000000,1000,1,1000.0,1000.0
2003-04-20,999.0,1000.0,953.0,999.0,18809790,19497,14,1000.0,999.0
2003-04-26,999.0,1000.0,999.0,1000.0,3399884,3400,3,999.0,1000.0
2003-04-28,1000.0,1000.0,1000.0,1000.0,10000000,10000,3,1000.0,1000.0
2003-04-29,1000.0,1000.0,1000.0,1000.0,36891000,36891,22,1000.0,1000.0
2003-05-04,1001.0,1001.0,1001.0,1001.0,13082069,13069,10,1000.0,1001.0
2003-05-05,1004.0,1028.0,1003.0,1028.0,34620800,34372,7,1001.0,1028.0
2003-05-06,1079.0,1079.0,1079.0,1079.0,5395000,5000,1,1028.0,1079.0
2003-05-07,1132.0,1132.0,1132.0,1132.0,7215368,6374,3,1079.0,1132.0
2003-05-12,1130.0,1130.0,1129.0,1130.0,4653210,4119,4,1132.0,1130.0
2003-05-13,1135.0,1135.0,1135.0,1135.0,4540000,4000,2,1130.0,1135.0
2003-05-14,1133.0,1140.0,1133.0,1140.0,2482605,2185,6,1135.0,1140.0
2003-05-17,1141.0,1141.0,1141.0,1141.0,992670,870,1,1140.0,1141.0
2003-05-18,1140.0,1150.0,1140.0,1150.0,6850000,6000,4,1141.0,1150.0
2003-05-21,1188.0,1188.0,1188.0,1188.0,4752000,4000,1,1150.0,1188.0
2003-05-24,1129.0,1247.0,1129.0,1247.0,15036560,12294,4,1188.0,1247.0
2003-05-25,1250.0,1250.0,1250.0,1250.0,1250000,1000,1,1247.0,1250.0
2003-05-26,1250.0,1250.0,1250.0,1250.0,145000,116,1,1250.0,1250.0
2003-05-27,1250.0,1250.0,1250.0,1250.0,2355000,1884,1,1250.0,1250.0
2003-05-28,1250.0,1250.0,1250.0,1250.0,5145000,4116,1,1250.0,1250.0
2003-05-31,1188.0,1250.0,1188.0,1250.0,2438000,2000,2,1250.0,1250.0
2003-06-01,1250.0,1250.0,1250.0,1250.0,1250000,1000,1,1250.0,1250.0
2005-08-30,1001.0,1200.0,1001.0,1005.0,384289805,382000,40,1250.0,1005.0
2005-08-31,1055.0,1055.0,1055.0,1055.0,42200000,40000,14,1005.0,1055.0
2005-09-03,1107.0,1107.0,1107.0,1107.0,45387000,41000,7,1055.0,1107.0
2005-09-04,1162.0,1162.0,1060.0,1161.0,482498194,439908,49,1107.0,1161.0
2005-09-05,1219.0,1219.0,1208.0,1208.0,40209590,33000,13,1161.0,1208.0
2005-09-06,1268.0,1268.0,1219.0,1264.0,64642199,51110,37,1208.0,1264.0
2005-09-07,1327.0,1327.0,1327.0,1327.0,145046408,109304,27,1264.0,1327.0
2005-09-10,1393.0,1393.0,1331.0,1385.0,79332853,57277,26,1327.0,1385.0
2005-09-11,1385.0,1386.0,1326.0,1373.0,21993699,16204,15,1385.0,1373.0
2005-09-12,1305.0,1361.0,1305.0,1361.0,8477840,6496,4,1373.0,1361.0
2005-09-18,1293.0,1361.0,1293.0,1361.0,26540,20,2,1361.0,1361.0
2005-09-19,1293.0,1361.0,1293.0,1361.0,111878,86,2,1361.0,1361.0
2005-09-25,1293.0,1360.0,1293.0,1360.0,2599600,2010,2,1361.0,1360.0
2005-09-28,1292.0,1357.0,1292.0,1357.0,6473570,5010,6,1360.0,1357.0
2005-10-01,1290.0,1354.0,1290.0,1354.0,6463540,5010,6,1357.0,1354.0
2005-10-05,1287.0,1352.0,1287.0,1352.0,4985201,3873,2,1354.0,1352.0
2005-10-30,1285.0,1351.0,1285.0,1351.0,1002960,780,2,1352.0,1351.0
