date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-03-06,1000.0,1000.0,1000.0,1000.0,26700000,26700,1,999.0,1000.0
2016-04-12,1010.0,1010.0,1010.0,1010.0,292900000,290000,1,1000.0,1010.0
2016-04-27,1010.0,1010.0,1010.0,1010.0,394950400,391040,1,1010.0,1010.0
2016-07-10,1010.0,1010.0,1010.0,1010.0,101000,100,1,1010.0,1010.0
2016-07-23,1000.0,1010.0,1000.0,1000.0,3300139120,3300000,4,1010.0,1010.0
2016-07-24,1000.0,1000.0,1000.0,1000.0,11000,11,2,1000.0,1000.0
2016-08-07,1000.0,1000.0,1000.0,1000.0,1110000,1110,2,1000.0,1000.0
2016-08-15,990.0,990.0,990.0,990.0,990000,1000,1,1000.0,990.0
2016-09-10,1000.0,1000.0,1000.0,1000.0,10000,10,1,990.0,1000.0
2016-12-04,995.0,995.0,995.0,995.0,49750000,50000,1,1000.0,995.0
2017-03-07,700.0,700.0,700.0,700.0,19899600,28428,2,995.0,700.0
2017-03-15,770.0,770.0,770.0,770.0,241780,314,1,700.0,770.0
2017-04-04,701.0,702.0,693.0,697.0,62947102,90314,16,770.0,693.0
2017-04-10,755.0,760.0,755.0,756.0,4160000,5500,2,697.0,760.0
2017-04-12,831.0,831.0,831.0,831.0,17035500,20500,3,756.0,831.0
2017-04-15,914.0,914.0,914.0,914.0,38862366,42519,7,831.0,914.0
2017-04-16,1005.0,1005.0,1005.0,1005.0,48742500,48500,3,914.0,1005.0
2017-04-17,1030.0,1048.0,905.0,950.0,30128100,31700,13,1005.0,1048.0
2017-04-18,856.0,929.0,855.0,882.0,99346840,112808,18,950.0,855.0
2017-04-19,955.0,955.0,900.0,942.0,12250000,13000,3,882.0,900.0
2017-04-22,848.0,988.0,848.0,868.0,110787422,127608,13,942.0,988.0
2017-04-23,952.0,953.0,942.0,951.0,28537419,30001,7,868.0,949.0
2017-04-26,951.0,962.0,951.0,954.0,2920670,3060,3,951.0,961.0
2017-04-29,859.0,900.0,859.0,873.0,13090000,15000,3,954.0,900.0
2017-05-20,786.0,789.0,786.0,787.0,19802211,25162,4,873.0,788.0
2017-05-21,787.0,787.0,787.0,787.0,7319100,9300,1,787.0,787.0
2017-05-22,865.0,865.0,865.0,865.0,43250000,50000,5,787.0,865.0
2017-05-24,830.0,830.0,830.0,830.0,107656810,129707,20,865.0,830.0
2017-05-27,879.0,913.0,879.0,899.0,113865381,126701,31,830.0,913.0
2017-05-28,979.0,979.0,900.0,929.0,89013727,95791,21,899.0,900.0
2017-05-30,940.0,1021.0,940.0,996.0,89695641,90061,37,929.0,1021.0
2017-05-31,1021.0,1095.0,1020.0,1047.0,166212567,158754,32,996.0,1095.0
2017-06-03,1145.0,1151.0,1143.0,1146.0,30412984,26534,11,1047.0,1151.0
2017-06-07,1260.0,1260.0,1260.0,1260.0,128837520,102252,11,1146.0,1260.0
2017-06-10,1136.0,1300.0,1136.0,1180.0,82609260,70028,26,1260.0,1210.0
2017-06-12,1278.0,1298.0,1278.0,1295.0,131169273,101314,35,1180.0,1297.0
2017-06-13,1424.0,1424.0,1201.0,1322.0,140761872,106444,28,1295.0,1250.0
2017-06-14,1251.0,1370.0,1251.0,1280.0,20993256,16406,7,1322.0,1370.0
2017-06-18,1355.0,1408.0,1355.0,1405.0,88217272,62809,19,1280.0,1408.0
2017-06-19,1422.0,1545.0,1422.0,1539.0,163128090,106020,32,1405.0,1545.0
2017-06-20,1692.0,1692.0,1401.0,1433.0,112411618,78427,24,1539.0,1470.0
