date,open,high,low,adjClose,value,volume,count,yesterday,close
2005-01-31,1400.0,1400.0,1400.0,1400.0,2721600000,1944000,1868,0.0,1400.0
2005-02-02,1470.0,1470.0,1470.0,1470.0,1176000000,800000,687,1400.0,1470.0
2005-02-13,1543.0,1543.0,1397.0,1438.0,36814320924,26061418,2008,1470.0,1438.0
2005-02-14,1400.0,1430.0,1397.0,1404.0,4248772129,3026287,573,1438.0,1404.0
2005-02-15,1400.0,1400.0,1334.0,1341.0,5058289374,3776138,460,1404.0,1341.0
2005-02-16,1347.0,1397.0,1339.0,1384.0,5975183770,4314856,759,1341.0,1384.0
2005-02-21,1392.0,1397.0,1337.0,1374.0,4621407409,3372989,598,1384.0,1374.0
2005-02-22,1381.0,1390.0,1350.0,1369.0,7156733576,5227192,651,1374.0,1369.0
2005-02-23,1385.0,1386.0,1363.0,1377.0,5098468929,3700381,465,1369.0,1377.0
2005-02-26,1380.0,1420.0,1380.0,1397.0,15671500637,11140268,475,1377.0,1397.0
2005-02-27,1466.0,1466.0,1444.0,1465.0,32304137060,22036528,466,1397.0,1465.0
2005-02-28,1538.0,1538.0,1471.0,1500.0,5468417104,3644507,680,1465.0,1500.0
2005-03-01,1500.0,1500.0,1425.0,1433.0,8924764086,6217108,930,1500.0,1433.0
2005-03-07,1400.0,1400.0,1354.0,1364.0,1007801347,738591,170,1433.0,1364.0
2005-03-08,1400.0,1400.0,1355.0,1356.0,2701935385,1991616,272,1364.0,1356.0
2005-03-09,1351.0,1358.0,1331.0,1354.0,3063227956,2260929,269,1356.0,1354.0
2005-03-12,1347.0,1351.0,1301.0,1319.0,2450920671,1857883,281,1354.0,1319.0
2005-03-13,1319.0,1360.0,1300.0,1325.0,2592856707,1955918,296,1319.0,1325.0
2005-03-14,1356.0,1391.0,1356.0,1382.0,960726488,693318,225,1325.0,1382.0
2005-03-15,1400.0,1423.0,1400.0,1419.0,1259266832,887435,242,1382.0,1419.0
2005-03-16,1422.0,1450.0,1410.0,1436.0,18491370534,12949792,286,1419.0,1436.0
2005-03-26,1429.0,1479.0,1410.0,1443.0,1186167865,821695,157,1436.0,1443.0
2005-03-27,1455.0,1481.0,1450.0,1458.0,799110056,544891,145,1443.0,1458.0
2005-03-28,1474.0,1500.0,1473.0,1476.0,674753403,452605,158,1458.0,1476.0
2005-03-29,1499.0,1527.0,1474.0,1488.0,893383889,598749,149,1476.0,1488.0
2005-03-30,1494.0,1510.0,1489.0,1493.0,762835847,509407,156,1488.0,1493.0
2005-04-03,1515.0,1516.0,1472.0,1493.0,834309449,558374,153,1493.0,1493.0
2005-04-04,1487.0,1487.0,1419.0,1462.0,763838519,527677,176,1493.0,1462.0
2005-04-05,1454.0,1480.0,1443.0,1464.0,903777147,616907,183,1462.0,1464.0
2005-04-06,1470.0,1486.0,1451.0,1467.0,898979448,611617,185,1464.0,1467.0
2005-04-10,1463.0,1490.0,1455.0,1473.0,858959021,581849,168,1467.0,1473.0
2005-04-11,1466.0,1530.0,1452.0,1483.0,3019384575,2035032,402,1473.0,1483.0
2005-04-12,1500.0,1520.0,1480.0,1499.0,2938678741,1959842,332,1483.0,1499.0
2005-04-13,1499.0,1520.0,1490.0,1502.0,2020819378,1345083,253,1499.0,1502.0
2005-04-16,1501.0,1519.0,1480.0,1499.0,3616545393,2411919,401,1502.0,1499.0
2005-04-17,1494.0,1495.0,1460.0,1469.0,1842931576,1253999,279,1499.0,1469.0
2005-04-18,1471.0,1497.0,1456.0,1473.0,2587780463,1756208,317,1469.0,1473.0
2005-04-19,1474.0,1490.0,1460.0,1474.0,4538118791,3078350,394,1473.0,1474.0
2005-04-20,1460.0,1479.0,1450.0,1464.0,2386242425,1629161,306,1474.0,1464.0
2005-04-23,1469.0,1469.0,1450.0,1451.0,1455170567,1002754,149,1464.0,1451.0
2005-04-24,1451.0,1470.0,1439.0,1451.0,3136757969,2160267,264,1451.0,1451.0
2005-04-25,1453.0,1469.0,1451.0,1453.0,1723780637,1186297,265,1451.0,1453.0
2005-04-27,1450.0,1490.0,1450.0,1458.0,1893617896,1298582,281,1453.0,1458.0
2005-04-30,1470.0,1470.0,1458.0,1459.0,3802004989,2605396,363,1458.0,1459.0
2005-05-01,1460.0,1460.0,1459.0,1459.0,3193101528,2188395,294,1459.0,1459.0
2005-05-02,1451.0,1465.0,1440.0,1459.0,3196477149,2190508,314,1459.0,1459.0
2005-05-03,1459.0,1460.0,1459.0,1460.0,3851910552,2639928,404,1459.0,1460.0
2005-05-04,1460.0,1467.0,1460.0,1460.0,1457696902,998272,173,1460.0,1460.0
2005-05-07,1460.0,1461.0,1459.0,1460.0,1451218183,993947,132,1460.0,1460.0
2005-05-08,1458.0,1461.0,1387.0,1441.0,2396296508,1662177,245,1460.0,1441.0
2005-05-09,1444.0,1445.0,1400.0,1402.0,2214618875,1578570,230,1441.0,1402.0
2005-05-10,1400.0,1434.0,1400.0,1403.0,1689203769,1203961,234,1402.0,1403.0
2005-05-11,1401.0,1450.0,1401.0,1406.0,1716704894,1220377,227,1403.0,1406.0
2005-05-14,1406.0,1427.0,1402.0,1406.0,1456062332,1035079,144,1406.0,1406.0
2005-05-15,1406.0,1413.0,1400.0,1406.0,1496488643,1064133,174,1406.0,1406.0
2005-05-16,1406.0,1665.0,1406.0,1406.0,18569951079,11365274,260,1406.0,1406.0
2005-05-17,1406.0,1407.0,1406.0,1406.0,2656463161,1889340,427,1406.0,1406.0
2005-05-18,1407.0,1418.0,1406.0,1406.0,2213312686,1573925,292,1406.0,1406.0
2005-05-21,1407.0,1410.0,1406.0,1406.0,3508347470,2495003,337,1406.0,1406.0
2005-05-22,1406.0,1408.0,1405.0,1406.0,2633887699,1873074,401,1406.0,1406.0
2005-05-23,1406.0,1414.0,1406.0,1406.0,2171042487,1543976,311,1406.0,1406.0
2005-05-24,1406.0,1428.0,1406.0,1406.0,2209836471,1571418,338,1406.0,1406.0
2005-05-25,1408.0,1415.0,1406.0,1406.0,1717310484,1221065,288,1406.0,1406.0
2005-05-28,1406.0,1407.0,1406.0,1406.0,2774163718,1973042,289,1406.0,1406.0
2005-05-29,1408.0,1409.0,1405.0,1406.0,1581296706,1124458,249,1406.0,1406.0
2005-05-30,1404.0,1410.0,1404.0,1406.0,1619713906,1151937,246,1406.0,1406.0
2005-05-31,1408.0,1410.0,1406.0,1406.0,1019070174,724728,224,1406.0,1406.0
2005-06-01,1406.0,1420.0,1406.0,1406.0,1276362798,907351,171,1406.0,1406.0
2005-06-06,1406.0,1425.0,1406.0,1406.0,936798455,666055,136,1406.0,1406.0
2005-06-07,1406.0,1412.0,1406.0,1406.0,1277191606,908140,188,1406.0,1406.0
2005-06-08,1407.0,1410.0,1406.0,1406.0,1483691854,1055147,187,1406.0,1406.0
2005-06-11,1406.0,1416.0,1400.0,1406.0,2353523121,1673684,272,1406.0,1406.0
2005-06-12,1407.0,1414.0,1405.0,1406.0,1752774268,1246549,224,1406.0,1406.0
2005-06-13,1400.0,1407.0,1400.0,1405.0,2372804017,1687973,228,1406.0,1405.0
2005-06-14,1407.0,1417.0,1406.0,1406.0,2618738298,1862356,270,1405.0,1406.0
2005-06-15,1406.0,1427.0,1400.0,1406.0,1774736432,1261450,246,1406.0,1406.0
2005-06-18,1406.0,1409.0,1406.0,1406.0,1442045777,1025587,197,1406.0,1406.0
2005-06-19,1406.0,1417.0,1406.0,1406.0,1388624114,987453,188,1406.0,1406.0
2005-06-20,1404.0,1450.0,1390.0,1399.0,2009522506,1439549,132,1406.0,1399.0
2005-06-21,1399.0,1431.0,1390.0,1395.0,1331235117,954153,138,1399.0,1395.0
2005-06-22,1399.0,1432.0,1380.0,1396.0,1494566670,1070285,142,1395.0,1396.0
2005-06-25,1327.0,1449.0,1327.0,1398.0,38950267440,26956458,238,1396.0,1398.0
2005-06-26,1399.0,1407.0,1390.0,1399.0,2184016207,1560933,252,1398.0,1399.0
2005-06-27,1400.0,1405.0,1397.0,1399.0,1847669342,1320487,197,1399.0,1399.0
2005-06-28,1399.0,1404.0,1399.0,1400.0,1837341225,1311610,287,1399.0,1400.0
2005-06-29,1400.0,1404.0,1350.0,1400.0,10485953386,7736538,159,1400.0,1400.0
2005-07-02,1390.0,1405.0,1390.0,1400.0,1771245604,1264397,332,1400.0,1400.0
2005-07-03,1400.0,1402.0,1400.0,1400.0,2611691584,1865448,386,1400.0,1400.0
2005-07-04,1400.0,1401.0,1398.0,1400.0,3559268839,2542295,489,1400.0,1400.0
2005-07-05,1400.0,1401.0,1397.0,1399.0,1570461946,1121784,238,1400.0,1399.0
2005-07-06,1399.0,1404.0,1399.0,1401.0,1824964765,1302044,322,1399.0,1401.0
2005-07-09,1401.0,1405.0,1401.0,1401.0,1645112565,1173550,299,1401.0,1401.0
2005-07-11,1390.0,1400.0,1351.0,1363.0,932199384,686940,163,1401.0,1363.0
2005-07-12,1380.0,1380.0,1295.0,1364.0,1113939614,816524,227,1363.0,1364.0
2005-07-13,1362.0,1379.0,1362.0,1364.0,911619515,667742,185,1364.0,1364.0
2005-07-16,1362.0,1375.0,1357.0,1364.0,1531903500,1122281,303,1364.0,1364.0
2005-07-17,1350.0,1380.0,1340.0,1365.0,1449777516,1062062,282,1364.0,1365.0
2005-07-18,1365.0,1367.0,1360.0,1365.0,1349084963,988258,245,1365.0,1365.0
2005-07-19,1365.0,1366.0,1353.0,1364.0,1850842821,1356298,327,1365.0,1364.0
2005-07-20,1365.0,1366.0,1358.0,1364.0,1106988202,811034,213,1364.0,1364.0
2005-07-23,1369.0,1369.0,1365.0,1365.0,1103394221,808173,225,1364.0,1365.0
2005-07-24,1366.0,1367.0,1364.0,1365.0,1343014914,983803,262,1365.0,1365.0
2005-07-25,1365.0,1365.0,1298.0,1350.0,2144663546,1598194,300,1365.0,1350.0
2005-07-26,1340.0,1379.0,1330.0,1365.0,2046219480,1499055,457,1350.0,1365.0
2005-09-04,1148.0,1160.0,1114.0,1137.0,888253115,780563,194,1365.0,1137.0
2005-09-05,1101.0,1150.0,1100.0,1130.0,1474810933,1303992,264,1137.0,1130.0
2005-09-06,1135.0,1143.0,1100.0,1128.0,1243274204,1101362,253,1130.0,1128.0
2005-09-07,1100.0,1130.0,1098.0,1123.0,769863130,685131,127,1128.0,1123.0
2005-09-10,1100.0,1125.0,1100.0,1123.0,1069285852,951538,121,1123.0,1123.0
2005-09-11,1067.0,1125.0,1067.0,1122.0,1093334953,973703,137,1123.0,1122.0
2005-09-12,1122.0,1123.0,1119.0,1121.0,1040883186,927832,138,1122.0,1121.0
2005-09-13,1121.0,1122.0,1120.0,1120.0,994385765,887099,144,1121.0,1120.0
2005-09-14,1120.0,1121.0,1120.0,1120.0,1302820560,1163231,168,1120.0,1120.0
2005-09-17,1120.0,1121.0,1117.0,1119.0,989260796,883328,137,1120.0,1119.0
2005-09-18,1118.0,1119.0,1118.0,1118.0,1054424079,943127,123,1119.0,1118.0
2005-09-19,1118.0,1119.0,1110.0,1117.0,1234216262,1104124,166,1118.0,1117.0
2005-09-21,1116.0,1117.0,1062.0,1114.0,1306377620,1172010,159,1117.0,1114.0
2005-09-24,1100.0,1100.0,1059.0,1096.0,1241706189,1132241,164,1114.0,1096.0
2005-09-25,1090.0,1097.0,1042.0,1091.0,1330014537,1217968,165,1096.0,1091.0
2005-09-26,1090.0,1092.0,1039.0,1075.0,3807057523,3520740,232,1091.0,1075.0
2005-09-27,1075.0,1076.0,1030.0,1068.0,1535781398,1437431,232,1075.0,1068.0
2005-09-28,1067.0,1068.0,1057.0,1066.0,1362703090,1277414,195,1068.0,1066.0
2005-10-01,1066.0,1067.0,1066.0,1066.0,1224028352,1148241,101,1066.0,1066.0
2005-10-02,1066.0,1067.0,1066.0,1066.0,694358815,651365,109,1066.0,1066.0
2005-10-03,1066.0,1067.0,1066.0,1066.0,644766770,604845,93,1066.0,1066.0
2005-10-04,1066.0,1067.0,1066.0,1066.0,823113007,772138,130,1066.0,1066.0
2005-10-05,1066.0,1067.0,1066.0,1066.0,668536302,627143,97,1066.0,1066.0
2005-10-08,1066.0,1067.0,1066.0,1066.0,545870868,512046,83,1066.0,1066.0
2005-10-09,1066.0,1067.0,1066.0,1066.0,698481589,655209,115,1066.0,1066.0
2005-10-10,1066.0,1067.0,1066.0,1066.0,663223130,622157,101,1066.0,1066.0
2005-10-11,1066.0,1067.0,1066.0,1066.0,522550928,490187,86,1066.0,1066.0
2005-10-12,1066.0,1067.0,1066.0,1066.0,752498460,705905,105,1066.0,1066.0
2005-10-15,1066.0,1067.0,1066.0,1066.0,480988597,451206,85,1066.0,1066.0
2005-10-16,1066.0,1067.0,1066.0,1066.0,509302776,477758,92,1066.0,1066.0
2005-10-17,1066.0,1067.0,1065.0,1066.0,807448316,757455,116,1066.0,1066.0
2005-10-18,1065.0,1067.0,1065.0,1066.0,581929637,545892,85,1066.0,1066.0
2005-10-19,1076.0,1076.0,1071.0,1071.0,459658542,427192,73,1066.0,1071.0
2005-10-22,1081.0,1082.0,1075.0,1075.0,472764272,438034,69,1071.0,1075.0
2005-10-23,1082.0,1086.0,1079.0,1079.0,395586557,364928,65,1075.0,1079.0
2005-10-24,1090.0,1091.0,1082.0,1082.0,459287029,421327,55,1079.0,1082.0
2005-10-26,1092.0,1093.0,1085.0,1085.0,269970984,247221,50,1082.0,1085.0
2005-10-29,1095.0,1096.0,1090.0,1090.0,450264390,411197,72,1085.0,1090.0
2005-10-30,1100.0,1101.0,1095.0,1095.0,458006269,416363,72,1090.0,1095.0
2005-10-31,1105.0,1106.0,1103.0,1103.0,762941960,690419,112,1095.0,1103.0
2005-11-01,1113.0,1114.0,1107.0,1107.0,436001530,391735,87,1103.0,1107.0
2005-11-02,1117.0,1118.0,1112.0,1112.0,479686420,429410,75,1107.0,1112.0
2005-11-05,1122.0,1123.0,1116.0,1116.0,399295666,355845,65,1112.0,1116.0
2005-11-06,1123.0,1124.0,1119.0,1119.0,487311415,433936,79,1116.0,1119.0
2005-11-07,1125.0,1126.0,1121.0,1121.0,421048685,374244,59,1119.0,1121.0
2005-11-08,1126.0,1126.0,1122.0,1122.0,315303606,280021,53,1121.0,1122.0
2005-11-09,1126.0,1127.0,1123.0,1123.0,398686102,354072,50,1122.0,1123.0
2005-11-12,1133.0,1134.0,1127.0,1127.0,362844151,320247,48,1123.0,1127.0
2005-11-13,1132.0,1133.0,1129.0,1129.0,387915567,342680,58,1127.0,1129.0
2005-11-14,1135.0,1136.0,1130.0,1130.0,260238331,229273,36,1129.0,1130.0
2005-11-15,1135.0,1136.0,1131.0,1131.0,360340905,317477,59,1130.0,1131.0
2005-11-16,1136.0,1136.0,1133.0,1133.0,428601410,377290,60,1131.0,1133.0
2005-11-19,1140.0,1141.0,1135.0,1135.0,325934810,285899,48,1133.0,1135.0
2005-11-20,1140.0,1140.0,1137.0,1137.0,390965250,342952,58,1135.0,1137.0
2005-11-21,1140.0,1141.0,1138.0,1138.0,588915102,516585,81,1137.0,1138.0
2005-11-22,1140.0,1141.0,1139.0,1139.0,509500047,446884,76,1138.0,1139.0
2005-11-23,1145.0,1146.0,1141.0,1141.0,379040088,331030,59,1139.0,1141.0
2005-11-26,1146.0,1161.0,1144.0,1144.0,443203648,386203,67,1141.0,1144.0
2005-11-27,1155.0,1190.0,1149.0,1149.0,392487474,339494,76,1144.0,1149.0
2005-11-29,1148.0,1154.0,1148.0,1149.0,337007282,292336,69,1149.0,1149.0
2005-11-30,1155.0,1156.0,1149.0,1149.0,190187239,164649,39,1149.0,1149.0
2005-12-03,1155.0,1156.0,1150.0,1150.0,359083631,310873,63,1149.0,1150.0
2005-12-04,1155.0,1156.0,1151.0,1151.0,541765497,469023,92,1150.0,1151.0
2005-12-05,1156.0,1160.0,1152.0,1152.0,544372768,470887,88,1151.0,1152.0
2005-12-06,1157.0,1160.0,1154.0,1154.0,839591953,725444,387,1152.0,1154.0
2005-12-10,1160.0,1161.0,1156.0,1156.0,675537404,582328,249,1154.0,1156.0
