date,open,high,low,adjClose,value,volume,count,close
2009-05-18,1205.0,1241.0,1200.0,1204.0,737313616800,612322042,1632,1201.0
2009-05-19,1240.0,1240.0,1240.0,1240.0,181017205080,145981617,3938,1240.0
2009-05-20,1256.0,1277.0,1255.0,1271.0,131954707643,103791602,5598,1277.0
2009-05-23,1290.0,1290.0,1256.0,1269.0,17314104651,13641791,1129,1257.0
2009-05-24,1269.0,1269.0,1231.0,1256.0,158824644494,126463300,6182,1260.0
2009-05-25,1257.0,1273.0,1255.0,1256.0,36845487356,29336312,1377,1255.0
2009-05-26,1250.0,1263.0,1249.0,1256.0,27565253218,21938798,1210,1260.0
2009-05-27,1260.0,1271.0,1259.0,1264.0,6640717956,5252030,447,1261.0
2009-05-30,1269.0,1273.0,1261.0,1267.0,11265636962,8891604,547,1267.0
2009-05-31,1263.0,1268.0,1260.0,1261.0,31510197955,24984387,1246,1260.0
2009-06-01,1257.0,1257.0,1232.0,1240.0,19544283445,15759128,1705,1240.0
2009-06-02,1234.0,1245.0,1234.0,1240.0,20942873001,16889158,1450,1242.0
2009-06-03,1242.0,1255.0,1240.0,1245.0,4644912535,3728915,307,1241.0
2009-06-06,1240.0,1243.0,1234.0,1240.0,17268863877,13926707,2085,1236.0
2009-06-07,1234.0,1241.0,1234.0,1240.0,21417889521,17274139,2752,1240.0
2009-06-08,1238.0,1241.0,1232.0,1240.0,18921635318,15259974,2628,1240.0
2009-06-09,1240.0,1241.0,1230.0,1239.0,26513593630,21397315,3405,1240.0
2009-06-10,1239.0,1244.0,1239.0,1240.0,17009085917,13715539,2347,1241.0
2009-06-13,1239.0,1241.0,1205.0,1234.0,13146819975,10650085,2445,1211.0
2009-06-14,1217.0,1221.0,1197.0,1216.0,14197132074,11675966,2000,1197.0
2009-06-15,1200.0,1203.0,1181.0,1200.0,27931304118,23280888,3847,1182.0
2009-06-16,1182.0,1182.0,1164.0,1171.0,4037212099,3465616,516,1164.0
2009-06-17,1164.0,1173.0,1164.0,1169.0,2089729052,1792116,231,1168.0
2009-06-20,1170.0,1189.0,1165.0,1169.0,2844444431,2434055,369,1171.0
2009-06-21,1170.0,1175.0,1170.0,1169.0,1321956988,1129370,175,1170.0
2009-06-22,1173.0,1193.0,1172.0,1171.0,694842579,586908,68,1189.0
2009-06-23,1181.0,1196.0,1181.0,1176.0,1386576976,1167837,99,1190.0
2009-06-24,1199.0,1211.0,1199.0,1188.0,1871316772,1549201,89,1211.0
2009-06-27,1222.0,1223.0,1221.0,1202.0,2034796954,1663798,88,1223.0
2009-06-28,1238.0,1238.0,1235.0,1238.0,9206639525,7436760,964,1238.0
2009-06-29,1238.0,1260.0,1223.0,1241.0,6869097560,5535261,1058,1241.0
2009-06-30,1250.0,1260.0,1239.0,1250.0,4022206818,3210263,579,1245.0
2009-07-01,1245.0,1259.0,1238.0,1250.0,2224321320,1780855,121,1238.0
2009-07-04,1238.0,1249.0,1230.0,1240.0,10100199357,8148131,848,1240.0
2009-07-05,1231.0,1252.0,1230.0,1247.0,8316427732,6667604,775,1248.0
2009-07-07,1250.0,1251.0,1248.0,1248.0,2062950282,1650729,308,1250.0
2009-07-11,1250.0,1268.0,1250.0,1259.0,8726471950,6932980,1183,1268.0
2009-07-12,1260.0,1267.0,1259.0,1262.0,5984268689,4740895,649,1265.0
2009-07-14,1270.0,1299.0,1270.0,1285.0,25433088973,19794781,1105,1297.0
2009-07-15,1290.0,1310.0,1290.0,1296.0,40469848218,31224484,816,1305.0
2009-07-18,1303.0,1310.0,1280.0,1295.0,57967278497,44745489,2282,1288.0
