date,open,high,low,adjClose,value,volume,count,close
2020-09-30,1290.0,1290.0,1290.0,1290.0,55420980,42962,2,1290.0
2020-10-03,1350.0,1350.0,1350.0,1290.0,50832900,37654,1,1350.0
2020-10-05,1350.0,1350.0,1350.0,1290.0,285817950,211717,6,1350.0
2020-10-06,1350.0,1350.0,1350.0,1290.0,374269950,277237,15,1350.0
2020-10-07,1350.0,1350.0,1350.0,1290.0,143775000,106500,6,1350.0
2020-10-10,1350.0,1350.0,1350.0,1290.0,545611950,404157,10,1350.0
2020-10-11,1350.0,1350.0,1350.0,1290.0,204441300,151438,11,1350.0
2020-10-12,1350.0,1350.0,1350.0,1290.0,354603150,262669,21,1350.0
2020-10-13,1350.0,1350.0,1350.0,1290.0,289552050,214483,23,1350.0
2020-10-14,1350.0,1350.0,1350.0,1290.0,828486900,613694,59,1350.0
2020-10-18,1350.0,1350.0,1350.0,1290.0,1105600050,818963,57,1350.0
2020-10-19,1350.0,1350.0,1300.0,1290.0,589919550,437283,49,1350.0
2020-10-20,1350.0,1350.0,1350.0,1290.0,1587304350,1175781,97,1350.0
2020-10-21,1350.0,1350.0,1230.0,1290.0,2519346270,1922726,155,1350.0
2020-10-24,1300.0,1300.0,1230.0,1290.0,1014420260,817748,71,1230.0
2020-10-26,1230.0,1230.0,1230.0,1290.0,273085830,222021,21,1230.0
2020-10-27,1230.0,1230.0,1230.0,1290.0,117819240,95788,16,1230.0
2020-10-28,1230.0,1230.0,1230.0,1290.0,200262450,162815,22,1230.0
2020-10-31,1230.0,1350.0,1230.0,1280.0,10178707570,8055925,205,1230.0
2020-11-01,1220.0,1220.0,1220.0,1280.0,285023720,233626,15,1220.0
2020-11-02,1220.0,1220.0,1220.0,1280.0,37743140,30937,5,1220.0
2020-11-04,1220.0,1220.0,1220.0,1280.0,199543200,163560,13,1220.0
2020-11-07,1220.0,1220.0,1220.0,1280.0,61000000,50000,3,1220.0
2020-11-08,1220.0,1220.0,1220.0,1280.0,32208000,26400,3,1220.0
2020-11-11,1220.0,1220.0,1220.0,1280.0,425116320,348456,31,1220.0
2020-11-14,1220.0,1220.0,1220.0,1280.0,231061900,189395,22,1220.0
2020-11-15,1220.0,1220.0,1220.0,1280.0,59736080,48964,6,1220.0
2020-11-16,1220.0,1220.0,1220.0,1280.0,41680080,34164,5,1220.0
2020-11-17,1220.0,1220.0,1220.0,1280.0,14640000,12000,1,1220.0
2020-11-18,1220.0,1220.0,1220.0,1280.0,200317900,164195,10,1220.0
2020-11-21,1220.0,1220.0,1220.0,1280.0,39092460,32043,8,1220.0
2020-11-22,1220.0,1220.0,1220.0,1280.0,30805000,25250,3,1220.0
2020-11-23,1220.0,1220.0,1220.0,1280.0,33876960,27768,4,1220.0
2020-11-24,1220.0,1220.0,1220.0,1280.0,129305360,105988,10,1220.0
2020-11-25,1220.0,1220.0,1220.0,1280.0,40748000,33400,5,1220.0
2020-11-28,1220.0,1220.0,1220.0,1280.0,16604200,13610,3,1220.0
2020-11-29,1220.0,1220.0,1220.0,1280.0,308534340,252897,12,1220.0
2020-11-30,1220.0,1220.0,1220.0,1280.0,735713680,603044,35,1220.0
2020-12-01,1220.0,1220.0,1220.0,1280.0,27951420,22911,4,1220.0
2020-12-02,1220.0,1220.0,1220.0,1280.0,18300000,15000,3,1220.0
2020-12-05,1220.0,1220.0,1220.0,1280.0,87352000,71600,8,1220.0
2020-12-06,1220.0,1220.0,1220.0,1280.0,155746420,127661,14,1220.0
2020-12-07,1220.0,1220.0,1220.0,1280.0,27866020,22841,6,1220.0
2020-12-08,1220.0,1220.0,1220.0,1280.0,227705680,186644,11,1220.0
2020-12-09,1220.0,1220.0,1220.0,1280.0,147665140,121037,10,1220.0
2020-12-12,1220.0,1220.0,1220.0,1280.0,377252060,309223,16,1220.0
2020-12-13,1220.0,1220.0,1220.0,1280.0,70933240,58142,7,1220.0
2020-12-14,1220.0,1220.0,1220.0,1280.0,59670200,48910,3,1220.0
2020-12-16,1220.0,1220.0,1220.0,1280.0,11163000,9150,2,1220.0
2020-12-19,1220.0,1220.0,1220.0,1280.0,6100000,5000,1,1220.0
2020-12-20,1220.0,1220.0,1220.0,1280.0,5709600,4680,1,1220.0
2020-12-21,1220.0,1220.0,1220.0,1280.0,24400000,20000,2,1220.0
2020-12-22,1220.0,1220.0,1220.0,1280.0,41665440,34152,6,1220.0
2020-12-23,1220.0,1220.0,1220.0,1280.0,111096860,91063,11,1220.0
2020-12-26,1220.0,1220.0,1220.0,1280.0,14840080,12164,3,1220.0
2020-12-27,1220.0,1220.0,1220.0,1280.0,25709060,21073,4,1220.0
2020-12-28,1220.0,1220.0,1220.0,1280.0,5037380,4129,1,1220.0
2020-12-30,1220.0,1220.0,1220.0,1280.0,12200000,10000,1,1220.0
2021-01-02,1220.0,1220.0,1220.0,1280.0,11056860,9063,2,1220.0
2021-01-04,1220.0,1220.0,1220.0,1280.0,6100000,5000,1,1220.0
2021-01-05,1220.0,1220.0,1220.0,1280.0,5917000,4850,1,1220.0
2021-01-09,1220.0,1220.0,1220.0,1280.0,21257280,17424,5,1220.0
2021-01-10,1220.0,1220.0,1220.0,1280.0,31615080,25914,5,1220.0
2021-01-11,1220.0,1220.0,1220.0,1280.0,11016600,9030,2,1220.0
2021-01-12,1220.0,1220.0,1220.0,1280.0,10187000,8350,2,1220.0
2021-01-13,1220.0,1220.0,1220.0,1280.0,27407300,22465,4,1220.0
2021-03-13,1260.0,1260.0,1260.0,1280.0,544065480,431798,22,1260.0
2021-03-14,1260.0,1260.0,1260.0,1280.0,35280000,28000,3,1260.0
2021-03-15,1260.0,1260.0,1260.0,1280.0,41316660,32791,8,1260.0
