date,open,high,low,adjClose,value,volume,count,close
2001-04-25,2175.0,2175.0,2175.0,2175.0,15977550,7346,4,2175.0
2001-05-29,2176.0,2176.0,2176.0,2176.0,34200192,15717,3,2176.0
2001-06-12,2178.0,2178.0,2178.0,2178.0,26891766,12347,10,2178.0
2001-06-19,2178.0,2178.0,2178.0,2178.0,14468454,6643,3,2178.0
2001-07-07,2250.0,2250.0,2250.0,2250.0,2250000,1000,2,2250.0
2001-08-15,2000.0,2000.0,2000.0,2000.0,1216686000,608343,67,2000.0
2001-08-27,2100.0,2100.0,2100.0,2100.0,2100000,1000,1,2100.0
2001-08-29,2140.0,2150.0,2140.0,2150.0,15612963,7274,4,2150.0
2001-09-01,2150.0,2150.0,2150.0,2150.0,72115300,33542,18,2150.0
2001-09-04,2150.0,2150.0,2150.0,2150.0,20136900,9366,6,2150.0
2001-09-08,2150.0,2150.0,2150.0,2150.0,28676700,13338,5,2150.0
2001-09-10,2149.0,2150.0,2149.0,2150.0,12899860,6000,3,2150.0
2001-09-18,2150.0,2150.0,2150.0,2150.0,7626050,3547,3,2150.0
2001-09-23,2150.0,2150.0,2150.0,2150.0,18068600,8404,2,2150.0
2001-10-06,2153.0,2153.0,2153.0,2153.0,5311451,2467,1,2153.0
2001-10-14,2153.0,2153.0,2153.0,2153.0,10808060,5020,6,2153.0
2001-10-16,2153.0,2153.0,2153.0,2153.0,10592760,4920,5,2153.0
2001-11-11,2153.0,2153.0,2153.0,2153.0,6342738,2946,3,2153.0
2001-11-13,2153.0,2153.0,2153.0,2153.0,13693080,6360,5,2153.0
2001-11-20,2154.0,2154.0,2154.0,2154.0,6978960,3240,5,2154.0
2001-11-25,2153.0,2153.0,2153.0,2153.0,2458726,1142,1,2153.0
2001-12-10,2153.0,2153.0,2153.0,2153.0,16212090,7530,8,2153.0
2001-12-24,2153.0,2153.0,2153.0,2153.0,215300,100,1,2153.0
2001-12-25,2153.0,2153.0,2153.0,2153.0,15805173,7341,9,2153.0
2001-12-30,2153.0,2153.0,2153.0,2153.0,5311451,2467,5,2153.0
2002-01-06,2153.0,2153.0,2153.0,2153.0,3494319,1623,2,2153.0
2002-01-08,2153.0,2153.0,2153.0,2153.0,25836,12,1,2153.0
2002-01-14,2152.0,2153.0,2152.0,2153.0,12992830,6035,9,2153.0
2002-01-15,2153.0,2153.0,2153.0,2153.0,5311451,2467,1,2153.0
2002-01-19,2153.0,2153.0,2153.0,2153.0,10622902,4934,2,2153.0
2002-01-21,2153.0,2153.0,2153.0,2153.0,5311451,2467,1,2153.0
2002-02-04,2153.0,2153.0,2153.0,2153.0,9623910,4470,2,2153.0
2002-02-19,2153.0,2153.0,2153.0,2153.0,1985066,922,1,2153.0
2002-02-24,2153.0,2153.0,2153.0,2153.0,3326385,1545,1,2153.0
2002-03-10,2153.0,2153.0,2153.0,2153.0,7470910,3470,2,2153.0
2002-04-15,2153.0,2153.0,2153.0,2153.0,14166740,6580,2,2153.0
2002-04-20,2153.0,2153.0,2153.0,2153.0,5203801,2417,2,2153.0
2002-04-27,2153.0,2153.0,2153.0,2153.0,1011910,470,2,2153.0
2002-10-09,2100.0,2100.0,2100.0,2100.0,2100000,1000,1,2100.0
2002-12-24,2000.0,2000.0,2000.0,2000.0,22708000,11354,6,2000.0
2003-02-18,2000.0,2000.0,2000.0,2000.0,2000000,1000,1,2000.0
2003-05-12,6000.0,6000.0,6000.0,6000.0,12000000,2000,1,6000.0
2003-05-18,6300.0,6300.0,6300.0,6300.0,6300000,1000,1,6300.0
2003-05-21,6300.0,6300.0,6300.0,6300.0,3150000,500,1,6300.0
2003-05-24,6300.0,6600.0,6300.0,6600.0,106772100,16267,6,6600.0
2003-05-27,6600.0,6600.0,6600.0,6600.0,1537800,233,1,6600.0
2003-05-28,6600.0,6600.0,6600.0,6600.0,2395800,363,1,6600.0
2003-06-01,6900.0,6900.0,6900.0,6900.0,11198700,1623,3,6900.0
2003-06-02,6901.0,6902.0,6901.0,6902.0,390150766,56530,33,6902.0
2003-06-07,7247.0,7247.0,7247.0,7247.0,7247000,1000,1,7247.0
2003-06-08,7609.0,7609.0,7609.0,7609.0,19022500,2500,2,7609.0
2003-06-09,7609.0,7609.0,7609.0,7609.0,52753197,6933,6,7609.0
2003-06-10,7989.0,7989.0,7989.0,7989.0,21929805,2745,5,7989.0
2003-06-17,8388.0,8388.0,8388.0,8388.0,133612452,15929,12,8388.0
2003-06-18,8807.0,8807.0,8807.0,8807.0,176140000,20000,3,8807.0
2003-06-23,8807.0,8807.0,8807.0,8807.0,4403500,500,1,8807.0
2003-06-24,8807.0,8807.0,8807.0,8807.0,123914490,14070,10,8807.0
2003-06-25,8807.0,8807.0,8807.0,8807.0,26421000,3000,3,8807.0
2003-06-29,8805.0,8806.0,8805.0,8806.0,46141440,5240,5,8806.0
