date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-09-01,1451.0,1509.0,1451.0,1469.0,3791654872,2581367,111,1000.0,1509.0
2013-09-03,1527.0,1527.0,1527.0,1484.0,302767452,198276,23,1469.0,1527.0
2013-09-04,1538.0,1538.0,1425.0,1478.0,2363502350,1598922,130,1484.0,1425.0
2013-09-07,1419.0,1470.0,1419.0,1472.0,107708938,75739,30,1478.0,1455.0
2013-09-08,1469.0,1469.0,1440.0,1470.0,79659590,54926,16,1472.0,1450.0
2013-09-09,1420.0,1460.0,1414.0,1455.0,508586655,353860,42,1470.0,1414.0
2013-09-10,1440.0,1513.0,1440.0,1468.0,294877268,195780,56,1455.0,1513.0
2013-09-11,1526.0,1526.0,1500.0,1500.0,742110053,489265,66,1468.0,1526.0
2013-09-14,1560.0,1560.0,1500.0,1514.0,397755270,258113,38,1500.0,1539.0
2013-09-15,1557.0,1557.0,1464.0,1511.0,202711588,135317,47,1514.0,1470.0
2013-09-16,1540.0,1540.0,1463.0,1506.0,162787788,110421,27,1511.0,1465.0
2013-09-17,1500.0,1500.0,1446.0,1501.0,116167036,79518,35,1506.0,1447.0
2013-09-18,1499.0,1529.0,1481.0,1501.0,256949215,171103,45,1501.0,1501.0
2013-09-21,1500.0,1527.0,1484.0,1501.0,161797632,107779,23,1501.0,1504.0
2013-09-22,1495.0,1500.0,1471.0,1496.0,295898360,199513,40,1501.0,1472.0
2013-09-23,1490.0,1500.0,1456.0,1492.0,430238697,289424,51,1496.0,1498.0
2013-09-24,1500.0,1500.0,1472.0,1493.0,197692442,132004,33,1492.0,1500.0
2013-09-25,1484.0,1525.0,1480.0,1492.0,115666766,77817,24,1493.0,1487.0
2013-09-28,1500.0,1540.0,1490.0,1500.0,384711954,253874,56,1492.0,1518.0
2013-09-29,1482.0,1527.0,1482.0,1499.0,68906984,46198,27,1500.0,1487.0
2013-09-30,1493.0,1552.0,1493.0,1511.0,405704639,264472,47,1499.0,1552.0
2013-10-01,1571.0,1571.0,1504.0,1531.0,745518724,483300,101,1511.0,1571.0
2013-10-02,1590.0,1592.0,1575.0,1554.0,495448358,312536,59,1531.0,1592.0
2013-10-05,1616.0,1616.0,1616.0,1563.0,173290144,107234,17,1554.0,1616.0
2013-10-06,1625.0,1625.0,1625.0,1565.0,41569125,25581,15,1563.0,1625.0
2013-10-07,1627.0,1627.0,1627.0,1568.0,68159911,41893,9,1565.0,1627.0
2013-10-08,1630.0,1630.0,1630.0,1569.0,23807780,14606,5,1568.0,1630.0
2013-10-09,1631.0,1631.0,1631.0,1574.0,89155353,54663,8,1569.0,1631.0
2013-10-12,1636.0,1636.0,1636.0,1635.0,1214095232,742112,23,1574.0,1636.0
2013-10-13,1700.0,1700.0,1700.0,1644.0,174022200,102366,23,1635.0,1700.0
2013-10-14,1709.0,1709.0,1709.0,1706.0,1227860103,718467,35,1644.0,1709.0
2013-10-15,1774.0,1774.0,1774.0,1772.0,1286863148,725402,25,1706.0,1774.0
2013-10-19,1842.0,1842.0,1842.0,1841.0,1363816800,740400,27,1772.0,1842.0
2013-10-20,1914.0,1914.0,1914.0,1914.0,1428242112,746208,40,1841.0,1914.0
2013-10-21,1990.0,1990.0,1990.0,1990.0,1482890290,745171,32,1914.0,1990.0
2013-10-22,2069.0,2069.0,2069.0,1993.0,55546443,26847,8,1990.0,2069.0
2013-10-23,2072.0,2072.0,2072.0,1998.0,98420000,47500,8,1993.0,2072.0
2013-10-26,2077.0,2077.0,2077.0,2005.0,130998467,63071,7,1998.0,2077.0
2013-10-27,2085.0,2085.0,2085.0,2016.0,215764140,103484,12,2005.0,2085.0
2013-10-28,2096.0,2096.0,2096.0,2039.0,448263136,213866,9,2016.0,2096.0
2013-10-29,2120.0,2120.0,2120.0,2041.0,30004360,14153,21,2039.0,2120.0
2013-10-30,2122.0,2122.0,2122.0,2122.0,2135423772,1006326,28,2041.0,2122.0
2013-11-02,2206.0,2206.0,2122.0,2204.0,19588721479,8889037,422,2122.0,2206.0
2013-11-03,2275.0,2275.0,2116.0,2198.0,5963057598,2712403,264,2204.0,2120.0
2013-11-04,2138.0,2138.0,2111.0,2143.0,1016705398,481418,44,2198.0,2111.0
2013-11-05,2058.0,2196.0,2058.0,2069.0,5702249677,2755974,205,2143.0,2099.0
2013-11-06,2090.0,2151.0,2090.0,2150.0,5368797304,2496998,339,2069.0,2151.0
2013-11-09,2236.0,2236.0,2119.0,2201.0,2327712562,1057732,157,2150.0,2199.0
2013-11-10,2162.0,2218.0,2120.0,2158.0,3072401589,1423613,123,2201.0,2207.0
2013-11-11,2170.0,2175.0,2094.0,2134.0,1527590077,716158,125,2158.0,2101.0
2013-11-12,2170.0,2170.0,2057.0,2103.0,1009659934,484102,109,2134.0,2065.0
2013-11-16,2170.0,2170.0,2050.0,2100.0,1050004264,500502,75,2103.0,2082.0
2013-11-17,2136.0,2136.0,2065.0,2096.0,1372851218,655107,90,2100.0,2066.0
2013-11-18,2120.0,2120.0,2060.0,2084.0,1377728727,661556,87,2096.0,2099.0
2013-11-19,2073.0,2120.0,2072.0,2096.0,1167269586,555810,100,2084.0,2107.0
