date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-11-17,900.0,900.0,900.0,900.0,756314100,840349,36,1000.0,900.0
2020-11-18,940.0,940.0,920.0,900.0,2332508210,2482998,161,900.0,940.0
2020-11-21,940.0,940.0,910.0,900.0,2387868700,2588508,135,900.0,930.0
2020-11-22,930.0,940.0,870.0,900.0,2951358740,3192775,160,900.0,920.0
2020-11-23,880.0,940.0,880.0,900.0,5301262530,5704163,171,900.0,940.0
2020-11-24,940.0,940.0,870.0,900.0,3470989860,3843537,142,900.0,890.0
2020-11-25,870.0,900.0,860.0,900.0,2587922340,2973005,158,900.0,890.0
2020-11-28,860.0,880.0,860.0,900.0,981385480,1141009,92,900.0,860.0
2020-11-29,860.0,910.0,860.0,900.0,4547981390,5180089,233,900.0,900.0
2020-11-30,920.0,940.0,880.0,900.0,7926734130,8640427,290,900.0,930.0
2020-12-01,870.0,910.0,870.0,900.0,3091557210,3469659,171,900.0,900.0
2020-12-02,900.0,910.0,880.0,900.0,1426552570,1604148,83,900.0,890.0
2020-12-05,890.0,890.0,870.0,900.0,2291928500,2610827,128,900.0,890.0
2020-12-06,870.0,890.0,860.0,900.0,3100215330,3558456,164,900.0,880.0
2020-12-07,870.0,910.0,860.0,900.0,6647989700,7575268,208,900.0,870.0
2020-12-08,860.0,940.0,860.0,900.0,5115108760,5739227,226,900.0,880.0
2020-12-09,870.0,880.0,860.0,900.0,2616047290,3026046,179,900.0,880.0
2020-12-12,860.0,860.0,860.0,900.0,4257939980,4951093,168,900.0,860.0
2020-12-13,860.0,860.0,860.0,900.0,536308900,623615,39,900.0,860.0
2020-12-15,850.0,850.0,850.0,890.0,229189750,269635,18,890.0,850.0
2020-12-16,850.0,850.0,850.0,890.0,216873250,255145,16,890.0,850.0
2020-12-19,850.0,850.0,850.0,890.0,37116100,43666,6,890.0,850.0
2020-12-20,850.0,850.0,850.0,890.0,31098100,36586,6,890.0,850.0
2020-12-21,850.0,850.0,850.0,890.0,14728800,17328,2,890.0,850.0
2020-12-22,850.0,850.0,850.0,890.0,434531050,511213,11,890.0,850.0
2020-12-23,850.0,850.0,850.0,890.0,114368350,134551,14,890.0,850.0
2020-12-26,850.0,850.0,850.0,890.0,74192250,87285,9,890.0,850.0
2020-12-27,850.0,850.0,850.0,890.0,63245100,74406,6,890.0,850.0
2020-12-28,850.0,850.0,850.0,890.0,198124800,233088,13,890.0,850.0
2020-12-29,850.0,850.0,850.0,890.0,18629450,21917,3,890.0,850.0
2020-12-30,850.0,850.0,850.0,890.0,27530650,32389,6,890.0,850.0
2021-01-02,850.0,850.0,850.0,890.0,10193200,11992,2,890.0,850.0
2021-01-03,850.0,850.0,850.0,890.0,5100000,6000,1,890.0,850.0
2021-01-04,850.0,850.0,850.0,890.0,29285900,34454,6,890.0,850.0
2021-01-05,850.0,850.0,850.0,890.0,9350000,11000,2,890.0,850.0
2021-01-06,850.0,850.0,850.0,890.0,18700000,22000,3,890.0,850.0
2021-01-09,850.0,850.0,850.0,890.0,35938850,42281,6,890.0,850.0
2021-01-10,850.0,850.0,850.0,890.0,4930000,5800,1,890.0,850.0
2021-01-11,850.0,850.0,850.0,890.0,19893400,23404,3,890.0,850.0
2021-01-12,850.0,850.0,850.0,890.0,5100000,6000,1,890.0,850.0
2021-01-13,850.0,850.0,850.0,890.0,21229600,24976,4,890.0,850.0
2021-01-16,850.0,850.0,850.0,890.0,83912850,98721,9,890.0,850.0
2021-01-23,850.0,850.0,850.0,890.0,25896100,30466,4,890.0,850.0
2021-01-24,850.0,850.0,850.0,890.0,21689450,25517,4,890.0,850.0
2021-03-07,880.0,880.0,880.0,890.0,1039520240,1181273,10,890.0,880.0
2021-03-08,880.0,880.0,880.0,890.0,5016000,5700,1,890.0,880.0
2021-03-09,880.0,880.0,880.0,890.0,15672800,17810,3,890.0,880.0
2021-03-13,880.0,880.0,880.0,890.0,51906800,58985,5,890.0,880.0
2021-04-04,880.0,880.0,880.0,890.0,8800000,10000,1,890.0,880.0
2021-04-05,880.0,880.0,880.0,890.0,8800000,10000,1,890.0,880.0
2021-04-06,880.0,880.0,880.0,890.0,78272480,88946,7,890.0,880.0
