date,open,high,low,adjClose,value,volume,count,yesterday,close
2004-03-15,2100.0,2100.0,2100.0,2100.0,7224000000,3440000,1135,2100.0,2100.0
2004-03-17,2205.0,2205.0,2102.0,2102.0,3307397,1500,4,2100.0,2102.0
2004-03-27,2207.0,2207.0,2207.0,2207.0,20431386366,9257538,7446,2102.0,2207.0
2004-03-29,2317.0,2317.0,2317.0,2317.0,139020000,60000,36,2207.0,2317.0
2004-03-30,2432.0,2432.0,2432.0,2432.0,145920000,60000,33,2317.0,2432.0
2004-04-03,2553.0,2553.0,2553.0,2553.0,204240000,80000,55,2432.0,2553.0
2004-04-05,2680.0,2680.0,2562.0,2562.0,16347882,6100,10,2553.0,2562.0
2004-04-06,2690.0,2690.0,2567.0,2567.0,8607877,3200,8,2562.0,2567.0
2004-04-07,2695.0,2695.0,2695.0,2695.0,215600000,80000,41,2567.0,2695.0
2004-04-10,2829.0,2829.0,2829.0,2829.0,226320000,80000,63,2695.0,2829.0
2004-04-12,2970.0,2970.0,2925.0,2925.0,163299465,54983,81,2829.0,2925.0
2004-04-13,3071.0,3071.0,2781.0,2953.0,6030017997,2041407,883,2925.0,2953.0
2004-04-14,2979.0,3100.0,2979.0,3074.0,506116319,164629,91,2953.0,3074.0
2004-04-17,3215.0,3215.0,3110.0,3173.0,1807553227,569559,293,3074.0,3173.0
2004-04-18,3200.0,3200.0,3100.0,3160.0,1265444670,400406,192,3173.0,3160.0
2004-04-21,3136.0,3139.0,3061.0,3104.0,925792549,298242,139,3160.0,3104.0
2004-04-24,3100.0,3101.0,2949.0,3056.0,733009808,239849,112,3104.0,3056.0
2004-04-25,3000.0,3000.0,2904.0,2912.0,767385718,263441,113,3056.0,2912.0
2004-04-26,2939.0,3000.0,2789.0,2936.0,600092467,204342,87,2912.0,2936.0
2004-04-27,2935.0,2979.0,2897.0,2911.0,433470426,148887,83,2936.0,2911.0
2004-04-28,2906.0,2909.0,2840.0,2899.0,363650567,125425,79,2911.0,2899.0
2004-05-01,2989.0,3043.0,2890.0,3023.0,5438810006,1789145,163,2899.0,3023.0
2004-05-02,3060.0,3100.0,3000.0,3057.0,563577400,184329,100,3023.0,3057.0
2004-05-03,3082.0,3209.0,3082.0,3185.0,363498098,114115,76,3057.0,3185.0
2004-05-04,3211.0,3343.0,3209.0,3257.0,1062063858,326013,185,3185.0,3257.0
2004-05-17,2911.0,3400.0,2910.0,3060.0,133522596,43629,25,3257.0,3060.0
2004-05-18,3060.0,3060.0,3001.0,3035.0,360952623,118913,51,3060.0,3035.0
2004-05-19,3035.0,3100.0,3000.0,3058.0,482745975,157840,80,3035.0,3058.0
2004-05-22,3049.0,3210.0,3049.0,3137.0,164039990,51562,36,3058.0,3137.0
2004-05-23,3293.0,3293.0,3177.0,3177.0,69069515,20975,23,3137.0,3177.0
2004-05-24,3335.0,3335.0,3335.0,3335.0,273470000,82000,46,3177.0,3335.0
2004-05-25,3501.0,3501.0,3375.0,3375.0,68303250,19510,12,3335.0,3375.0
2004-05-26,3543.0,3543.0,3386.0,3386.0,19520360,5510,8,3375.0,3386.0
2004-05-29,3555.0,3555.0,3396.0,3396.0,18491520,5202,9,3386.0,3396.0
2004-05-30,3565.0,3565.0,3565.0,3565.0,412627360,115744,78,3396.0,3565.0
2004-05-31,3743.0,3743.0,3738.0,3738.0,292500428,78146,55,3565.0,3738.0
2004-06-01,3924.0,3924.0,3924.0,3924.0,315262008,80342,49,3738.0,3924.0
2004-06-02,4120.0,4120.0,3943.0,3943.0,32772830,7955,12,3924.0,3943.0
2004-06-05,4140.0,4140.0,4007.0,4007.0,107680070,26010,15,3943.0,4007.0
2004-06-06,4207.0,4207.0,4207.0,4207.0,9127284229,2169547,577,4007.0,4207.0
2004-06-07,4417.0,4417.0,4235.0,4235.0,48629350,11010,12,4207.0,4235.0
2004-06-08,4446.0,4446.0,4446.0,4446.0,756300168,170108,116,4235.0,4446.0
2004-06-09,4668.0,4668.0,4474.0,4474.0,47303572,10134,10,4446.0,4474.0
2004-06-12,4697.0,4697.0,4696.0,4696.0,375224532,79886,47,4474.0,4696.0
2004-06-13,4930.0,4930.0,4462.0,4823.0,6825110605,1415059,552,4696.0,4823.0
2004-06-14,4693.0,5064.0,4582.0,4754.0,2260725905,475482,285,4823.0,4754.0
2004-06-15,4991.0,4991.0,4991.0,4991.0,1167404882,233902,90,4754.0,4991.0
2004-06-16,5240.0,5240.0,5240.0,5240.0,564101720,107653,60,4991.0,5240.0
2004-06-19,5502.0,5502.0,5502.0,5502.0,1950128880,354440,136,5240.0,5502.0
2004-06-20,5777.0,5777.0,5777.0,5777.0,1848056523,319899,122,5502.0,5777.0
2004-06-21,6065.0,6065.0,6065.0,6065.0,503716445,83053,61,5777.0,6065.0
2004-06-22,6368.0,6368.0,6368.0,6368.0,814180640,127855,95,6065.0,6368.0
2004-06-23,6686.0,6686.0,6686.0,6686.0,1403170762,209867,85,6368.0,6686.0
2004-06-26,7020.0,7020.0,6940.0,7019.0,5727102775,815918,343,6686.0,7019.0
2004-06-27,6935.0,7000.0,6711.0,6831.0,2907857925,425642,249,7019.0,6831.0
2004-06-28,6711.0,7172.0,6490.0,6886.0,4588524918,666338,342,6831.0,6886.0
2004-06-29,6886.0,6886.0,6550.0,6666.0,1687882954,253199,144,6886.0,6666.0
2004-06-30,6647.0,6850.0,6341.0,6523.0,1518519674,232789,140,6666.0,6523.0
2004-07-03,6689.0,6849.0,6689.0,6828.0,687857238,100736,85,6523.0,6828.0
2004-07-04,7169.0,7169.0,7169.0,7169.0,1127991967,157343,61,6828.0,7169.0
2004-07-05,7527.0,7527.0,7527.0,7527.0,5720346879,759977,342,7169.0,7527.0
2004-07-06,7890.0,7903.0,7519.0,7784.0,2599177222,333878,229,7527.0,7784.0
2004-07-07,7890.0,8173.0,7890.0,8077.0,2336993434,289316,224,7784.0,8077.0
2004-07-10,8089.0,8089.0,7700.0,7895.0,1240718802,157136,131,8077.0,7895.0
2004-07-11,7895.0,8070.0,7700.0,7856.0,4351296309,553874,319,7895.0,7856.0
2004-07-27,5000.0,5980.0,4000.0,5490.0,4792062959,872818,339,7856.0,5490.0
2004-07-28,5764.0,5764.0,5764.0,5764.0,1460776284,253431,81,5490.0,5764.0
2004-07-31,6052.0,6052.0,5822.0,5822.0,99008420,16360,16,5764.0,5822.0
2004-08-01,6113.0,6113.0,6113.0,6113.0,1073601738,175626,101,5822.0,6113.0
2004-08-02,6418.0,6418.0,6418.0,6418.0,13190883310,2055295,541,6113.0,6418.0
2004-08-09,7380.0,7800.0,6418.0,7443.0,2426784881,326022,227,6418.0,7443.0
2004-08-10,7815.0,7815.0,7080.0,7446.0,2576758569,346014,225,7443.0,7446.0
2004-08-11,7370.0,7370.0,7074.0,7134.0,3106017568,435347,222,7446.0,7134.0
2004-08-14,6778.0,6782.0,6778.0,6778.0,1172905350,173044,100,7134.0,6778.0
2004-08-15,6440.0,6778.0,6440.0,6465.0,5417880058,837971,270,6778.0,6465.0
2004-08-16,6250.0,6250.0,6142.0,6176.0,1351150811,218749,112,6465.0,6176.0
2004-08-17,6200.0,6203.0,5868.0,6082.0,1123859075,184758,103,6176.0,6082.0
2004-08-18,5979.0,5979.0,5778.0,5939.0,335248039,56991,41,6082.0,5939.0
2004-08-21,5643.0,5776.0,5643.0,5643.0,752788824,133392,78,5939.0,5643.0
2004-08-22,5600.0,5635.0,5361.0,5366.0,599446517,111694,54,5643.0,5366.0
2004-08-23,5098.0,5244.0,5098.0,5244.0,185171016,36322,10,5366.0,5244.0
2004-08-24,5098.0,5098.0,4982.0,4994.0,3005713839,601800,183,5244.0,4994.0
2004-08-25,4945.0,5243.0,4755.0,5105.0,491382060,96249,68,4994.0,5105.0
2004-08-28,5360.0,5360.0,5360.0,5360.0,8175264960,1525236,324,5105.0,5360.0
2004-08-29,5628.0,5628.0,5384.0,5384.0,41475920,7370,13,5360.0,5384.0
2004-08-31,5653.0,5653.0,5653.0,5653.0,13752047447,2432699,422,5384.0,5653.0
2004-09-01,5935.0,5935.0,5802.0,5932.0,8942508490,1507272,474,5653.0,5932.0
2004-09-04,6228.0,6228.0,5700.0,6098.0,4251456629,697107,274,5932.0,6098.0
2004-09-05,6402.0,6402.0,6160.0,6391.0,3915988771,612708,214,6098.0,6391.0
2004-09-06,6401.0,6401.0,6072.0,6135.0,3826469671,623686,246,6391.0,6135.0
2004-09-07,5850.0,5850.0,5829.0,5834.0,514795534,88227,66,6135.0,5834.0
2004-09-08,5700.0,6078.0,5690.0,5755.0,10196268491,1771482,355,5834.0,5755.0
2004-09-11,5701.0,5929.0,5698.0,5731.0,2626016700,458160,151,5755.0,5731.0
2004-09-12,5731.0,5898.0,5650.0,5723.0,8978953825,1563521,271,5731.0,5723.0
2004-09-14,5736.0,6009.0,5736.0,6005.0,5005645271,833565,231,5723.0,6005.0
2004-09-15,6305.0,6305.0,6101.0,6300.0,10051455050,1595296,474,6005.0,6300.0
2004-09-18,6300.0,6500.0,6090.0,6271.0,4461053790,711294,246,6300.0,6271.0
2004-09-19,6354.0,6584.0,6271.0,6476.0,11347354623,1751953,430,6271.0,6476.0
2004-09-20,6580.0,6590.0,6156.0,6265.0,4666658774,744840,247,6476.0,6265.0
2004-09-21,6201.0,6395.0,6010.0,6207.0,3311691420,536334,194,6265.0,6207.0
2004-09-22,6340.0,6517.0,6340.0,6434.0,2655581706,412689,193,6207.0,6434.0
2004-09-25,6430.0,6499.0,6113.0,6292.0,3346857191,531886,212,6434.0,6292.0
2004-09-26,6250.0,6299.0,6035.0,6125.0,2468453178,402952,183,6292.0,6125.0
2004-09-27,6270.0,6290.0,6000.0,6109.0,2010670982,329102,186,6125.0,6109.0
2004-09-28,6034.0,6034.0,5901.0,5993.0,1633862431,272617,144,6109.0,5993.0
2004-09-29,6033.0,6033.0,5901.0,5974.0,1129464789,189042,101,5993.0,5974.0
2004-10-02,5937.0,5948.0,5799.0,5848.0,1994861176,341087,161,5974.0,5848.0
2004-10-03,5827.0,5827.0,5600.0,5689.0,1911683548,336023,158,5848.0,5689.0
2004-10-04,5689.0,5691.0,5500.0,5583.0,1018168879,182337,95,5689.0,5583.0
2004-10-05,5408.0,5583.0,5405.0,5490.0,1197145794,218029,139,5583.0,5490.0
2004-10-06,5700.0,5764.0,5492.0,5739.0,445959208,77588,56,5490.0,5739.0
2004-10-09,6025.0,6025.0,6025.0,6025.0,817297275,135651,89,5739.0,6025.0
2004-10-10,6292.0,6292.0,5800.0,6026.0,2320732834,385094,193,6025.0,6026.0
2004-10-11,6000.0,6000.0,5820.0,5871.0,577872096,98413,104,6026.0,5871.0
2004-10-12,5859.0,5871.0,5705.0,5819.0,849604467,145996,107,5871.0,5819.0
2004-10-13,5750.0,5949.0,5711.0,5810.0,425514223,73227,61,5819.0,5810.0
2004-10-16,5900.0,5999.0,5815.0,5901.0,909039612,154028,93,5810.0,5901.0
2004-10-17,5804.0,5895.0,5701.0,5767.0,614868579,106609,79,5901.0,5767.0
2004-10-18,5767.0,5767.0,5571.0,5625.0,691030268,122833,61,5767.0,5625.0
2004-10-19,5610.0,5625.0,5500.0,5568.0,450461299,80888,55,5625.0,5568.0
2004-10-20,5450.0,5550.0,5350.0,5478.0,887161520,161949,105,5568.0,5478.0
2004-10-23,5500.0,5699.0,5480.0,5586.0,774464898,138637,88,5478.0,5586.0
2004-10-24,5600.0,5697.0,5353.0,5546.0,1191340213,214800,103,5586.0,5546.0
2004-10-25,5488.0,5488.0,5300.0,5355.0,866761253,161855,98,5546.0,5355.0
2004-10-26,5355.0,5469.0,5275.0,5362.0,584490368,108989,70,5355.0,5362.0
2004-10-27,5311.0,5599.0,5300.0,5359.0,777682224,145103,100,5362.0,5359.0
2004-10-30,5381.0,5400.0,5250.0,5347.0,708590788,132510,97,5359.0,5347.0
2004-10-31,5210.0,5210.0,5080.0,5114.0,741160970,144925,90,5347.0,5114.0
2004-11-01,5080.0,5369.0,5042.0,5235.0,1053524531,201341,94,5114.0,5235.0
2004-11-02,5360.0,5496.0,5360.0,5488.0,667794628,121664,61,5235.0,5488.0
2004-11-03,5602.0,5700.0,5500.0,5633.0,1339792023,237818,100,5488.0,5633.0
2004-11-06,5879.0,5899.0,5493.0,5643.0,682043571,120863,72,5633.0,5643.0
2004-11-07,5600.0,5634.0,5556.0,5602.0,388236087,69368,77,5643.0,5602.0
2004-11-08,5608.0,5711.0,5600.0,5661.0,568570150,100421,86,5602.0,5661.0
2004-11-09,5680.0,5680.0,5504.0,5571.0,650352718,116735,73,5661.0,5571.0
2004-11-10,5500.0,5588.0,5450.0,5494.0,557446907,101461,79,5571.0,5494.0
2004-11-13,5480.0,5501.0,5300.0,5469.0,411211186,75553,74,5494.0,5469.0
2004-11-15,5469.0,5742.0,5306.0,5663.0,917184450,161935,94,5469.0,5663.0
2004-11-16,5663.0,5700.0,5420.0,5626.0,322007266,57877,48,5663.0,5626.0
2004-11-17,5448.0,5490.0,5348.0,5453.0,662944503,122729,92,5626.0,5453.0
