date,open,high,low,adjClose,value,volume,count,close
2005-08-28,1900.0,1900.0,1900.0,1900.0,28545147800,15023762,7834,1900.0
2005-08-29,1995.0,1995.0,1995.0,1995.0,5985000000,3000000,2555,1995.0
2005-08-31,2094.0,2094.0,2094.0,2094.0,66936408234,31965811,8035,2094.0
2005-09-03,2198.0,2198.0,2110.0,2196.0,47374307713,21572985,4897,2196.0
2005-09-04,2305.0,2305.0,2200.0,2256.0,10643032932,4716381,2903,2256.0
2005-09-05,2215.0,2240.0,2144.0,2188.0,4154165684,1898406,1274,2188.0
2005-09-06,2079.0,2175.0,2079.0,2094.0,13605329351,6495227,2360,2094.0
2005-09-07,2065.0,2198.0,2062.0,2160.0,38748145385,18006428,1145,2160.0
2005-09-10,2268.0,2268.0,2206.0,2256.0,29888825336,13272689,1121,2256.0
2005-09-11,2299.0,2367.0,2256.0,2318.0,10157949602,4381971,1624,2318.0
2005-09-12,2252.0,2318.0,2210.0,2242.0,5955525489,2655824,904,2242.0
2005-09-13,2180.0,2249.0,2150.0,2219.0,3902878898,1758256,680,2219.0
2005-09-14,2240.0,2270.0,2220.0,2243.0,3374530343,1504159,559,2243.0
2005-09-17,2355.0,2355.0,2300.0,2349.0,10480475825,4461181,1287,2349.0
2005-09-18,2300.0,2300.0,2232.0,2252.0,5414204611,2404133,802,2252.0
2005-09-19,2200.0,2290.0,2192.0,2247.0,2286718760,1017511,410,2247.0
2005-09-21,2250.0,2250.0,2201.0,2214.0,2682511566,1211385,463,2214.0
2005-09-24,2300.0,2323.0,2263.0,2299.0,4408659024,1917595,650,2299.0
2005-09-25,2186.0,2198.0,2185.0,2186.0,1360221707,622016,214,2186.0
2005-09-26,2077.0,2149.0,2077.0,2079.0,4049608709,1947313,606,2079.0
2005-09-27,1976.0,1976.0,1976.0,1976.0,2312532560,1170310,334,1976.0
2005-09-28,1878.0,1973.0,1878.0,1888.0,7342107184,3887718,1131,1888.0
2005-10-01,1970.0,1982.0,1888.0,1964.0,2543698055,1294712,353,1964.0
2005-10-02,2062.0,2062.0,2050.0,2061.0,1140572388,553253,198,2061.0
2005-10-03,2164.0,2164.0,1971.0,2090.0,4646380267,2222777,687,2090.0
2005-10-04,2001.0,2060.0,1986.0,2016.0,1846773520,916032,298,2016.0
2005-10-05,2069.0,2095.0,2042.0,2073.0,1962653741,946376,358,2073.0
2005-10-08,2100.0,2176.0,2100.0,2161.0,2846435050,1316886,442,2161.0
2005-10-09,2229.0,2229.0,2071.0,2134.0,2365856532,1108580,382,2134.0
2005-10-10,2144.0,2149.0,2058.0,2084.0,2454200167,1177393,352,2084.0
2005-10-11,2051.0,2088.0,2013.0,2057.0,904632062,439739,186,2057.0
2005-10-12,2060.0,2120.0,2060.0,2090.0,1632658867,781114,284,2090.0
2005-10-15,2089.0,2090.0,2020.0,2052.0,1152877311,561692,199,2052.0
2005-10-16,2040.0,2049.0,2011.0,2022.0,2165754487,1070844,308,2022.0
2005-10-17,2001.0,2030.0,1990.0,2004.0,1318435380,657793,217,2004.0
2005-10-18,2006.0,2006.0,1907.0,1940.0,3003882676,1548040,437,1940.0
2005-10-19,1910.0,1990.0,1910.0,1960.0,1700119702,866987,267,1960.0
2005-10-22,2020.0,2020.0,1950.0,1976.0,824508675,417235,178,1976.0
2005-10-23,1956.0,1960.0,1933.0,1946.0,652513320,335265,120,1946.0
2005-10-24,1915.0,1959.0,1911.0,1925.0,1691620047,878648,248,1925.0
2005-10-26,1925.0,1965.0,1925.0,1945.0,799745561,411080,166,1945.0
2005-10-29,1925.0,1925.0,1848.0,1854.0,3076778730,1659005,497,1854.0
2005-10-30,1842.0,1844.0,1762.0,1768.0,2473467922,1398575,363,1768.0
2005-10-31,1700.0,1701.0,1680.0,1682.0,2394443186,1423501,351,1682.0
2005-11-01,1598.0,1610.0,1598.0,1610.0,326321308,204206,57,1610.0
2005-11-02,1530.0,1620.0,1530.0,1541.0,4759422471,3087712,829,1541.0
2005-11-05,1600.0,1618.0,1571.0,1609.0,1411947893,877277,252,1609.0
2005-11-06,1689.0,1689.0,1619.0,1667.0,4489247720,2691449,660,1667.0
2005-11-07,1655.0,1667.0,1613.0,1637.0,797966478,487288,177,1637.0
2005-11-08,1620.0,1620.0,1556.0,1580.0,849061237,537282,182,1580.0
2005-11-09,1580.0,1590.0,1530.0,1553.0,499307499,321499,126,1553.0
2005-11-12,1600.0,1630.0,1578.0,1627.0,912434493,560777,158,1627.0
2005-11-13,1632.0,1649.0,1604.0,1618.0,896998990,554324,211,1618.0
2005-11-14,1595.0,1610.0,1586.0,1590.0,620280079,389955,136,1590.0
2005-11-15,1597.0,1600.0,1560.0,1583.0,329601350,208262,90,1583.0
2005-11-16,1583.0,1620.0,1576.0,1589.0,521859245,328273,118,1589.0
2005-11-19,1600.0,1600.0,1559.0,1576.0,761758744,483062,156,1576.0
2005-11-20,1599.0,1620.0,1580.0,1601.0,989533829,618044,172,1601.0
2005-11-21,1600.0,1600.0,1569.0,1571.0,393974010,250738,90,1571.0
2005-11-22,1600.0,1647.0,1599.0,1634.0,1246114477,762344,234,1634.0
2005-11-23,1715.0,1715.0,1670.0,1709.0,1451090361,848663,264,1709.0
2005-11-26,1794.0,1794.0,1718.0,1718.0,46768820,26070,13,1718.0
2005-11-27,1803.0,1803.0,1710.0,1799.0,8032312743,4464636,1030,1799.0
2005-11-29,1834.0,1888.0,1832.0,1880.0,2343643482,1246235,362,1880.0
2005-11-30,1974.0,2041.0,1947.0,1974.0,6546251382,3316228,898,1974.0
2005-12-03,2072.0,2072.0,2016.0,2016.0,215804456,104153,67,2016.0
2005-12-04,2116.0,2116.0,2116.0,2116.0,534351364,252529,108,2116.0
2005-12-05,2221.0,2221.0,2011.0,2137.0,15426161842,7216325,1793,2137.0
2005-12-06,2055.0,2090.0,2031.0,2035.0,3746225010,1840027,497,2035.0
2005-12-10,1934.0,2031.0,1934.0,1935.0,5116966520,2643304,571,1935.0
2005-12-11,1900.0,2028.0,1900.0,1975.0,6151748611,3114624,858,1975.0
2005-12-12,1990.0,2031.0,1951.0,2003.0,3409110896,1701966,494,2003.0
2005-12-13,1994.0,1994.0,1903.0,1934.0,1846755941,954669,317,1934.0
2005-12-14,1915.0,1915.0,1868.0,1888.0,1691135102,895655,266,1888.0
2005-12-17,1851.0,1851.0,1794.0,1796.0,3972103814,2211234,525,1796.0
2005-12-18,1750.0,1830.0,1737.0,1770.0,1284509085,725512,220,1770.0
2005-12-19,1835.0,1858.0,1835.0,1854.0,556323739,299931,96,1854.0
2005-12-20,1940.0,1940.0,1840.0,1882.0,2065957937,1097274,330,1882.0
2005-12-21,1900.0,1928.0,1864.0,1899.0,1236533417,650813,202,1899.0
2005-12-24,1993.0,1993.0,1920.0,1992.0,8297300479,4163500,799,1992.0
2005-12-25,2000.0,2019.0,1897.0,1936.0,2348962293,1212713,395,1936.0
2005-12-26,1950.0,2020.0,1900.0,1979.0,1854406738,936809,318,1979.0
2005-12-27,1966.0,1969.0,1900.0,1911.0,889589801,465371,164,1911.0
2005-12-28,1944.0,1950.0,1917.0,1926.0,657027043,341030,126,1926.0
2005-12-31,1990.0,1998.0,1928.0,1957.0,1679949967,858011,266,1957.0
2006-01-01,1923.0,1943.0,1913.0,1923.0,546960320,284418,94,1923.0
2006-01-02,1901.0,1925.0,1880.0,1906.0,987085949,517787,165,1906.0
2006-01-03,1900.0,1935.0,1900.0,1916.0,514901778,268616,102,1916.0
2006-01-04,1890.0,1900.0,1870.0,1889.0,1520725675,804847,208,1889.0
2006-01-07,1871.0,1871.0,1795.0,1816.0,2146843972,1181833,316,1816.0
2006-01-08,1794.0,1887.0,1794.0,1823.0,735886808,403634,138,1823.0
2006-01-09,1825.0,1895.0,1823.0,1851.0,726090121,392269,143,1851.0
2006-01-10,1820.0,1846.0,1805.0,1830.0,328850988,180214,71,1830.0
