date,open,high,low,adjClose,value,volume,count,close
2017-02-12,1300.0,1306.0,1300.0,1300.0,13640810187,10491641,1108,1300.0
2017-02-13,1356.0,1362.0,1329.0,1347.0,5244895423,3892755,785,1339.0
2017-02-14,1360.0,1414.0,1360.0,1408.0,8202106408,5823838,1188,1414.0
2017-02-15,1452.0,1478.0,1410.0,1447.0,12166941293,8410739,1866,1415.0
2017-02-18,1425.0,1444.0,1410.0,1426.0,5200631019,3646664,760,1420.0
2017-02-19,1445.0,1448.0,1355.0,1422.0,3075151341,2163003,371,1380.0
2017-02-20,1422.0,1468.0,1393.0,1432.0,8109711949,5664399,1526,1435.0
2017-02-21,1460.0,1468.0,1420.0,1435.0,2491802080,1737007,332,1420.0
2017-02-22,1433.0,1444.0,1400.0,1432.0,1966095345,1373356,305,1415.0
2017-02-25,1432.0,1432.0,1370.0,1400.0,1352848006,966664,219,1400.0
2017-02-26,1399.0,1400.0,1370.0,1381.0,3586615016,2597538,629,1370.0
2017-02-27,1380.0,1410.0,1370.0,1383.0,1319900924,954670,174,1375.0
2017-02-28,1391.0,1391.0,1330.0,1382.0,1561232739,1129716,177,1330.0
2017-03-01,1384.0,1390.0,1371.0,1380.0,2584260735,1873033,379,1379.0
2017-03-04,1388.0,1390.0,1380.0,1384.0,1656117900,1196200,250,1380.0
2017-03-05,1390.0,1390.0,1321.0,1384.0,546010948,394572,85,1385.0
2017-03-06,1398.0,1430.0,1384.0,1396.0,230529184,165116,44,1384.0
2017-03-07,1418.0,1418.0,1370.0,1392.0,2984162252,2143241,696,1380.0
2017-03-08,1392.0,1395.0,1374.0,1385.0,1966688597,1420000,336,1380.0
2017-03-11,1398.0,1398.0,1340.0,1378.0,2850560649,2068909,506,1371.0
2017-03-12,1379.0,1379.0,1376.0,1378.0,1327886668,963600,212,1378.0
2017-03-13,1379.0,1379.0,1363.0,1375.0,4623153115,3361111,631,1370.0
2017-03-14,1377.0,1377.0,1366.0,1372.0,2587083556,1886142,471,1369.0
2017-03-15,1399.0,1429.0,1333.0,1376.0,4614447857,3353742,873,1371.0
2017-03-18,1385.0,1444.0,1351.0,1388.0,3289392754,2370652,663,1380.0
2017-03-25,1395.0,1395.0,1360.0,1389.0,202076400,145490,29,1360.0
2017-03-26,1380.0,1413.0,1370.0,1394.0,731994925,524932,87,1390.0
2017-03-27,1398.0,1398.0,1350.0,1395.0,1163359464,833866,195,1394.0
2017-03-28,1398.0,1398.0,1360.0,1395.0,742514584,532378,119,1390.0
2017-03-29,1390.0,1393.0,1326.0,1382.0,776430270,561916,99,1326.0
2017-04-03,1390.0,1392.0,1380.0,1385.0,1274463735,920018,232,1380.0
2017-04-04,1385.0,1388.0,1380.0,1385.0,1968696800,1421800,312,1385.0
2017-04-05,1385.0,1390.0,1370.0,1385.0,1760202230,1270979,392,1384.0
2017-04-08,1390.0,1430.0,1380.0,1416.0,8136945945,5747751,1172,1428.0
2017-04-09,1416.0,1430.0,1395.0,1424.0,5480151865,3847766,174,1415.0
2017-04-10,1424.0,1424.0,1390.0,1411.0,4479049268,3173770,136,1400.0
2017-04-12,1400.0,1418.0,1395.0,1411.0,1556141135,1103188,62,1400.0
2017-04-15,1412.0,1420.0,1390.0,1412.0,2987481525,2116495,116,1390.0
2017-04-16,1400.0,1412.0,1370.0,1405.0,2122901550,1511000,108,1370.0
2017-04-17,1390.0,1401.0,1338.0,1398.0,1429454480,1022390,55,1389.0
2017-04-18,1390.0,1400.0,1375.0,1396.0,1882675700,1348798,72,1375.0
2017-04-19,1390.0,1396.0,1328.0,1382.0,2522120021,1824904,115,1360.0
2017-04-22,1382.0,1389.0,1360.0,1386.0,1903450328,1373104,87,1365.0
2017-04-23,1380.0,1380.0,1317.0,1367.0,1564087567,1143900,108,1370.0
2017-04-24,1370.0,1378.0,1350.0,1373.0,1582440752,1152800,88,1359.0
2017-04-26,1361.0,1378.0,1345.0,1365.0,904340425,662414,105,1359.0
2017-04-29,1380.0,1400.0,1365.0,1393.0,1780800512,1278684,80,1380.0
2017-04-30,1393.0,1410.0,1370.0,1395.0,2204681155,1580582,90,1390.0
2017-05-01,1392.0,1410.0,1388.0,1399.0,1592563291,1138618,59,1391.0
2017-05-02,1390.0,1395.0,1380.0,1393.0,1745133566,1253133,80,1388.0
2017-05-03,1389.0,1393.0,1350.0,1389.0,1935568267,1393500,91,1369.0
2017-05-06,1400.0,1400.0,1360.0,1393.0,2885787547,2071977,107,1370.0
2017-05-07,1393.0,1393.0,1331.0,1379.0,1339839364,971888,120,1360.0
2017-05-08,1380.0,1398.0,1370.0,1394.0,1425754315,1023085,91,1379.0
2017-05-09,1396.0,1397.0,1380.0,1396.0,1117368036,800516,42,1380.0
2017-05-10,1396.0,1396.0,1368.0,1394.0,1356590420,973250,47,1370.0
2017-05-13,1388.0,1396.0,1340.0,1392.0,1737351029,1247724,61,1378.0
2017-05-14,1394.0,1394.0,1341.0,1387.0,1265697061,912287,55,1375.0
2017-05-15,1382.0,1382.0,1360.0,1381.0,1113406000,806400,46,1370.0
2017-05-16,1373.0,1373.0,1357.0,1371.0,845691782,616626,23,1370.0
2017-05-17,1360.0,1388.0,1340.0,1369.0,1219100478,890730,66,1360.0
2017-05-20,1389.0,1389.0,1355.0,1384.0,1225857960,885886,28,1355.0
2017-05-21,1379.0,1379.0,1330.0,1370.0,1275457800,930737,63,1350.0
2017-05-22,1378.0,1378.0,1350.0,1377.0,915270100,664850,24,1365.0
2017-05-23,1360.0,1376.0,1350.0,1367.0,1239907200,907300,41,1374.0
2017-05-24,1375.0,1378.0,1340.0,1377.0,975704810,708624,27,1365.0
2017-05-27,1375.0,1375.0,1346.0,1373.0,1346442737,980644,60,1363.0
2017-05-28,1376.0,1376.0,1340.0,1372.0,1134841426,827326,50,1359.0
2017-05-29,1355.0,1355.0,1306.0,1327.0,534606876,402779,63,1331.0
2017-05-30,1352.0,1353.0,1315.0,1342.0,1224530912,912466,69,1327.0
2017-05-31,1360.0,1360.0,1311.0,1348.0,1319995230,979530,69,1340.0
2017-06-03,1350.0,1353.0,1335.0,1350.0,880550010,652490,18,1335.0
2017-06-06,1349.0,1351.0,1310.0,1349.0,978323814,725452,51,1350.0
2017-06-07,1346.0,1347.0,1345.0,1347.0,609391070,452410,21,1347.0
2017-06-10,1350.0,1350.0,1310.0,1345.0,397351050,295440,28,1345.0
2017-06-11,1345.0,1346.0,1320.0,1342.0,1118200417,833014,53,1338.0
2017-06-12,1344.0,1348.0,1310.0,1343.0,1039616347,774339,49,1311.0
2017-06-13,1342.0,1360.0,1335.0,1343.0,971497270,723274,44,1343.0
2017-06-14,1340.0,1363.0,1328.0,1344.0,1431308847,1064743,60,1340.0
2017-06-17,1367.0,1367.0,1328.0,1360.0,367870000,270500,11,1328.0
2017-06-18,1330.0,1359.0,1310.0,1355.0,782800610,577791,47,1311.0
2017-06-19,1344.0,1344.0,1315.0,1339.0,874143641,652636,67,1318.0
2017-06-20,1343.0,1360.0,1315.0,1343.0,829176294,617239,56,1335.0
2017-06-21,1350.0,1350.0,1325.0,1347.0,726093719,539183,37,1325.0
2017-06-24,1339.0,1339.0,1310.0,1336.0,543585235,406993,31,1328.0
2017-06-25,1326.0,1326.0,1305.0,1319.0,810803536,614505,50,1317.0
2017-06-28,1335.0,1335.0,1290.0,1331.0,582399076,437544,43,1309.0
2017-07-01,1320.0,1320.0,1266.0,1310.0,2186932202,1669556,103,1266.0
2017-07-02,1310.0,1310.0,1252.0,1300.0,1049531733,807255,57,1300.0
2017-07-03,1292.0,1310.0,1288.0,1298.0,1291845239,995170,61,1289.0
2017-07-04,1354.0,1354.0,1280.0,1344.0,904523074,673232,45,1280.0
2017-07-05,1320.0,1320.0,1280.0,1311.0,1150875840,877824,82,1287.0
2017-07-08,1300.0,1300.0,1246.0,1285.0,974238373,758119,59,1246.0
2017-07-09,1221.0,1241.0,1221.0,1221.0,234183380,191780,28,1221.0
2017-07-10,1160.0,1210.0,1160.0,1164.0,430500257,369693,39,1161.0
2017-07-11,1185.0,1200.0,1124.0,1191.0,486570027,408403,31,1195.0
2017-07-12,1209.0,1209.0,1159.0,1169.0,440720977,377121,54,1188.0
2017-07-15,1162.0,1162.0,1160.0,1160.0,93404221,80500,13,1160.0
2017-07-16,1163.0,1184.0,1155.0,1165.0,335461535,287994,18,1165.0
2017-07-17,1160.0,1170.0,1143.0,1162.0,418219845,359900,26,1143.0
2017-07-18,1160.0,1200.0,1130.0,1162.0,2260560823,1944589,178,1200.0
2019-05-14,1230.0,1291.0,1230.0,1268.0,49612220382,39125802,1332,1291.0
2019-05-15,1331.0,1331.0,1331.0,1331.0,87505264000,65744000,2374,1331.0
2019-05-18,1397.0,1397.0,1397.0,1397.0,45561414338,32613754,1349,1397.0
2019-05-19,1416.0,1466.0,1367.0,1426.0,136264423616,95531911,5609,1466.0
2019-05-20,1460.0,1460.0,1355.0,1371.0,45042172181,32848362,2390,1369.0
2019-05-21,1377.0,1400.0,1305.0,1336.0,31063075780,23245435,1781,1355.0
2019-05-22,1368.0,1400.0,1337.0,1368.0,26597464808,19441184,1397,1372.0
2019-05-25,1417.0,1417.0,1350.0,1374.0,14979229940,10899359,774,1361.0
2019-05-26,1380.0,1400.0,1351.0,1366.0,18216060602,13332559,865,1356.0
2019-05-28,1355.0,1386.0,1334.0,1356.0,25573442943,18859802,1480,1334.0
2019-05-29,1334.0,1367.0,1322.0,1342.0,16467157669,12275178,943,1340.0
2019-06-01,1320.0,1369.0,1311.0,1331.0,9012321137,6769594,491,1320.0
2019-06-02,1331.0,1397.0,1312.0,1370.0,85576829292,62459452,3018,1397.0
2019-06-03,1399.0,1399.0,1345.0,1367.0,14779545640,10813820,741,1360.0
2019-06-08,1362.0,1370.0,1322.0,1342.0,8926204599,6652709,523,1346.0
2019-06-09,1360.0,1369.0,1321.0,1340.0,13101508248,9774998,768,1337.0
2019-06-10,1360.0,1407.0,1340.0,1382.0,27747161553,20075383,1274,1407.0
2019-06-11,1410.0,1451.0,1390.0,1439.0,35994151129,25018026,1651,1451.0
2019-06-12,1505.0,1510.0,1468.0,1503.0,52689944515,35066876,2407,1478.0
2019-06-15,1450.0,1578.0,1436.0,1573.0,118131057354,75081765,4112,1578.0
2019-06-16,1651.0,1651.0,1561.0,1644.0,132884966609,80847604,3433,1591.0
2019-06-17,1636.0,1726.0,1572.0,1678.0,78637563905,46870621,2894,1641.0
2019-06-18,1650.0,1761.0,1650.0,1759.0,302108259529,171756321,9176,1761.0
2019-06-19,1800.0,1800.0,1672.0,1690.0,106972080739,63311900,4149,1672.0
2019-06-22,1612.0,1740.0,1606.0,1692.0,43940901850,25974010,2148,1700.0
2019-06-23,1730.0,1749.0,1680.0,1715.0,75996698158,44303631,3213,1717.0
2019-06-24,1722.0,1735.0,1651.0,1682.0,46451596357,27613360,2016,1680.0
2019-06-25,1661.0,1685.0,1598.0,1616.0,50920813748,31503343,2220,1650.0
2019-06-26,1633.0,1696.0,1633.0,1695.0,71225431621,42021173,1748,1696.0
2019-06-30,1779.0,1779.0,1779.0,1779.0,195753965724,110035956,5014,1779.0
2019-07-01,1830.0,1867.0,1811.0,1852.0,96893011919,52309836,2976,1867.0
2019-07-02,1944.0,1944.0,1944.0,1944.0,15051764088,7742677,336,1944.0
2019-07-03,2041.0,2041.0,2041.0,2041.0,42579203212,20861932,928,2041.0
2019-07-06,2118.0,2143.0,2050.0,2129.0,251644455791,118195198,7426,2143.0
2019-07-07,2165.0,2214.0,2023.0,2093.0,65512416856,31303873,2864,2050.0
2019-07-08,2090.0,2110.0,1989.0,1997.0,165077139933,82648474,5414,1989.0
2019-07-09,1940.0,2096.0,1912.0,2039.0,92007200288,45121552,3229,2096.0
2019-07-10,2140.0,2140.0,2140.0,2140.0,68756853940,32129371,1477,2140.0
2019-07-13,2198.0,2210.0,2048.0,2130.0,53130387064,24949427,2139,2080.0
2019-07-14,2090.0,2090.0,2024.0,2027.0,31197358965,15388368,1386,2024.0
2019-07-15,1931.0,1999.0,1926.0,1939.0,133035939999,68599159,4515,1935.0
2019-07-16,1950.0,1950.0,1843.0,1849.0,30650217531,16573693,1109,1843.0
2019-07-17,1803.0,1939.0,1803.0,1878.0,48320695394,25724224,2191,1840.0
2019-07-20,1850.0,1900.0,1786.0,1819.0,38504713648,21167838,2057,1798.0
2019-07-23,1799.0,1830.0,1720.0,1782.0,17941952540,10070639,755,1777.0
2019-07-24,1800.0,1871.0,1790.0,1865.0,430148235667,230584953,11087,1871.0
2019-07-27,1958.0,1958.0,1958.0,1958.0,168535137826,86075147,3498,1958.0
2019-07-28,2055.0,2055.0,2005.0,2054.0,385701442931,187799350,10117,2055.0
2019-07-29,2080.0,2149.0,1971.0,2073.0,130792401594,63093622,5416,2115.0
2019-07-30,2110.0,2155.0,2062.0,2119.0,74799079371,35301689,2536,2099.0
2019-07-31,2090.0,2120.0,2021.0,2067.0,82663337314,39991239,3238,2090.0
2019-08-03,2095.0,2101.0,2030.0,2063.0,94554842846,45833012,3133,2100.0
2019-08-04,2121.0,2166.0,2100.0,2158.0,127824482397,59242329,3613,2166.0
2019-08-05,2262.0,2265.0,2230.0,2262.0,52916663602,23390400,1367,2265.0
2019-08-06,2375.0,2375.0,2262.0,2346.0,219141526491,93401395,6689,2290.0
2019-08-07,2300.0,2330.0,2229.0,2250.0,109447829708,48634126,4230,2237.0
2019-08-10,2239.0,2362.0,2230.0,2336.0,89491933840,38306125,3459,2308.0
2019-08-11,2340.0,2349.0,2220.0,2242.0,102654680608,45778597,4300,2259.0
2019-08-13,2262.0,2281.0,2180.0,2232.0,68935055538,30890012,2894,2260.0
2019-08-14,2283.0,2343.0,2283.0,2340.0,150296904392,64240255,4531,2342.0
2019-08-17,2362.0,2438.0,2301.0,2374.0,70227449375,29585770,2847,2310.0
2019-08-18,2300.0,2380.0,2267.0,2300.0,38956789272,16939513,1791,2296.0
2019-08-19,2266.0,2415.0,2266.0,2397.0,150594339227,62819142,4778,2415.0
2019-08-21,2480.0,2516.0,2446.0,2487.0,64977631980,26130633,2405,2516.0
2019-08-24,2583.0,2611.0,2561.0,2605.0,57423990321,22047345,1852,2611.0
2019-08-25,2640.0,2685.0,2475.0,2536.0,124407362775,49062406,4062,2530.0
2019-08-26,2520.0,2662.0,2520.0,2637.0,131657675598,49932835,3807,2662.0
2019-08-27,2749.0,2749.0,2506.0,2639.0,78910967466,29899291,3059,2540.0
2019-08-28,2544.0,2628.0,2508.0,2558.0,66535264130,26006198,2504,2595.0
2019-08-31,2615.0,2644.0,2431.0,2519.0,79359156830,31506312,2945,2497.0
2019-09-01,2470.0,2518.0,2431.0,2469.0,47054382120,19061034,1808,2460.0
2019-09-02,2450.0,2480.0,2346.0,2375.0,67657585146,28489154,2292,2356.0
2019-09-03,2346.0,2410.0,2261.0,2348.0,63858144271,27200675,2536,2400.0
2019-09-04,2420.0,2448.0,2380.0,2408.0,44378706262,18430060,1986,2405.0
2019-09-07,2445.0,2487.0,2381.0,2436.0,55875806069,22940811,2094,2438.0
2019-09-08,2450.0,2468.0,2380.0,2404.0,55683483790,23165354,2397,2400.0
2019-09-11,2420.0,2491.0,2365.0,2437.0,58136530503,23857470,2522,2427.0
2019-09-14,2420.0,2520.0,2405.0,2452.0,79226288538,32309785,3548,2424.0
2019-09-15,2411.0,2500.0,2350.0,2424.0,122979988185,50743353,4559,2489.0
2019-09-16,2500.0,2545.0,2475.0,2542.0,283437964078,111490831,6168,2545.0
2019-09-17,2599.0,2669.0,2530.0,2650.0,174774398957,65950419,4668,2648.0
2019-09-18,2600.0,2640.0,2518.0,2559.0,97025902935,37916848,4944,2590.0
