date,open,high,low,adjClose,value,volume,count,close
2004-02-04,3700.0,4203.0,3700.0,3752.0,13133746226,3500000,1777,3752.0
2004-02-07,3939.0,3939.0,3755.0,3755.0,12604616,3200,5,3755.0
2004-02-08,3942.0,3942.0,3942.0,3942.0,2365200000,600000,495,3942.0
2004-02-09,4139.0,4139.0,4139.0,4139.0,2690350000,650000,624,4139.0
2004-02-14,4345.0,4345.0,4345.0,4345.0,2824250000,650000,583,4345.0
2004-02-15,4562.0,4562.0,4562.0,4562.0,4528615284,992682,661,4562.0
2004-02-16,4790.0,4790.0,4790.0,4790.0,4398944400,918360,577,4790.0
2004-02-17,5029.0,5029.0,5029.0,5029.0,925984741,184129,153,5029.0
2004-02-18,5280.0,5280.0,5280.0,5280.0,1201469280,227551,124,5280.0
2004-02-21,5544.0,5544.0,5280.0,5540.0,10669941296,1925814,977,5540.0
2004-02-22,5550.0,5797.0,5540.0,5644.0,3144177932,557010,465,5644.0
2004-02-23,5584.0,5650.0,5500.0,5584.0,2275692702,407527,322,5584.0
2004-02-24,5571.0,5571.0,5321.0,5444.0,2117194940,388866,226,5444.0
2004-02-25,5400.0,5440.0,5200.0,5288.0,1490404322,281836,147,5288.0
2004-02-28,5294.0,5502.0,5289.0,5404.0,2857740728,528809,221,5404.0
2004-02-29,5390.0,5530.0,5390.0,5479.0,2107680532,384654,183,5479.0
2004-03-03,5500.0,5701.0,5500.0,5678.0,3217398116,566597,186,5678.0
2004-03-06,5700.0,5752.0,5670.0,5706.0,20439819215,3590565,177,5706.0
2004-03-07,5706.0,5710.0,5573.0,5633.0,1967147851,349208,121,5633.0
2004-03-10,5630.0,5750.0,5500.0,5583.0,837759709,150038,69,5583.0
2004-03-13,5512.0,5582.0,5398.0,5487.0,1861554488,339228,149,5487.0
2004-03-14,5564.0,5564.0,5499.0,5516.0,6215878893,1126270,74,5516.0
2004-03-15,5499.0,5500.0,5355.0,5491.0,1685954938,307037,83,5491.0
2004-03-16,5493.0,5500.0,5304.0,5433.0,601411283,111086,67,5433.0
2004-03-17,5400.0,5704.0,5300.0,5462.0,1408472367,257839,101,5462.0
