date,open,high,low,adjClose,value,volume,count,close
2004-08-28,5001.0,5020.0,5000.0,5000.0,7500285100,1499841,1216,5000.0
2004-08-29,5250.0,5250.0,5250.0,5250.0,2105260500,401002,192,5250.0
2004-08-31,5512.0,5512.0,5512.0,5512.0,3582800000,650000,195,5512.0
2004-09-01,5787.0,5787.0,5260.0,5787.0,32323812347,6122881,120,5787.0
2004-09-04,6076.0,6076.0,5806.0,5806.0,39807252,6552,13,5806.0
2004-09-05,6096.0,6096.0,6096.0,6096.0,3669572544,601964,220,6096.0
2004-09-06,6400.0,6400.0,6400.0,6400.0,30167577600,4713684,1175,6400.0
2004-09-07,6720.0,6720.0,6680.0,6720.0,29180184286,4354595,470,6720.0
2004-09-08,6720.0,6870.0,6719.0,6733.0,5976432806,883620,201,6733.0
2004-09-11,7069.0,7069.0,7056.0,7068.0,7250121576,1025886,247,7068.0
2004-09-12,7421.0,7421.0,7174.0,7174.0,215547896,29046,34,7174.0
2004-11-22,4679.0,4679.0,4001.0,4323.0,7535336318,1742923,744,4323.0
2004-11-23,4519.0,4519.0,4116.0,4359.0,4427037306,1015425,496,4359.0
2004-11-24,4308.0,4380.0,4250.0,4305.0,2048071771,475672,316,4305.0
2004-11-27,4341.0,4520.0,4339.0,4468.0,2051974959,459216,274,4468.0
2004-11-28,4691.0,4691.0,4691.0,4691.0,3112881926,663586,247,4691.0
2004-11-29,4925.0,4925.0,4925.0,4925.0,1092798400,221888,118,4925.0
2004-11-30,5171.0,5171.0,4680.0,5081.0,6925681380,1362819,687,5081.0
2004-12-01,4939.0,4939.0,4827.0,4838.0,2577425392,532652,272,4838.0
2004-12-04,4800.0,5000.0,4617.0,4858.0,2554265405,525766,310,4858.0
2004-12-05,4800.0,4800.0,4619.0,4714.0,1437338142,304879,198,4714.0
2004-12-06,4714.0,4801.0,4699.0,4759.0,1665233066,349864,204,4759.0
2004-12-07,4749.0,4800.0,4680.0,4725.0,1539390789,325767,188,4725.0
2004-12-11,4740.0,4800.0,4670.0,4723.0,1850167876,391665,207,4723.0
2004-12-12,4680.0,4699.0,4590.0,4639.0,902359771,194515,124,4639.0
2004-12-13,4600.0,4685.0,4517.0,4584.0,1279625132,279124,154,4584.0
2004-12-14,4600.0,4605.0,4500.0,4551.0,1738095734,381866,145,4551.0
2004-12-15,4551.0,4775.0,4511.0,4611.0,1520692044,329736,156,4611.0
2004-12-18,4617.0,4841.0,4617.0,4836.0,3048978457,630359,212,4836.0
2004-12-19,4800.0,4836.0,4780.0,4797.0,1445057980,301217,136,4797.0
2004-12-20,4789.0,4789.0,4650.0,4718.0,1266183672,268351,139,4718.0
2004-12-21,4706.0,4850.0,4706.0,4771.0,6152327778,1288640,123,4771.0
2004-12-22,4782.0,4950.0,4782.0,4906.0,1826809791,372289,189,4906.0
2004-12-25,4940.0,5151.0,4940.0,5097.0,1880669029,368921,169,5097.0
2004-12-26,5351.0,5351.0,5351.0,5351.0,4331029837,809387,215,5351.0
2004-12-27,5618.0,5618.0,5152.0,5464.0,7370233016,1348634,521,5464.0
2004-12-28,5191.0,5191.0,5191.0,5191.0,1322479924,254764,113,5191.0
2004-12-29,4961.0,5187.0,4961.0,5088.0,3104729014,610131,228,5088.0
2005-01-01,5102.0,5160.0,5084.0,5108.0,2613517527,511576,234,5108.0
2005-01-02,5117.0,5246.0,5117.0,5199.0,1472077307,283108,195,5199.0
2005-01-03,5181.0,5251.0,5005.0,5186.0,1399785020,269915,132,5186.0
2005-01-04,5059.0,5100.0,5012.0,5065.0,1400129186,276413,158,5065.0
2005-01-05,5067.0,5095.0,5030.0,5053.0,1225897005,242586,146,5053.0
2005-01-08,5006.0,5006.0,4851.0,4909.0,2538915066,517180,211,4909.0
2005-01-09,4859.0,4859.0,4703.0,4789.0,2226919079,464952,236,4789.0
2005-02-08,3000.0,3600.0,3000.0,3524.0,88154931,25010,9,3524.0
2005-02-09,3348.0,3396.0,3348.0,3396.0,233700924,69803,27,3396.0
2005-02-12,3227.0,3558.0,3227.0,3271.0,3202802909,980395,215,3271.0
2005-02-13,3201.0,3201.0,3108.0,3116.0,343830720,110330,33,3116.0
2005-02-14,2961.0,2965.0,2961.0,2965.0,276074797,93237,38,2965.0
2005-02-15,2817.0,2927.0,2817.0,2927.0,68485187,24311,9,2927.0
2005-02-16,2781.0,2913.0,2781.0,2913.0,25072035,9015,6,2913.0
2005-02-21,2768.0,2894.0,2768.0,2894.0,33452540,12085,9,2894.0
2005-02-22,2750.0,2886.0,2750.0,2886.0,14353610,5219,5,2886.0
2005-02-23,2742.0,2824.0,2742.0,2824.0,113242678,41299,24,2824.0
2005-02-26,2683.0,2960.0,2683.0,2710.0,625102735,230596,125,2710.0
2005-02-27,2845.0,2845.0,2761.0,2761.0,103659580,36436,28,2761.0
2005-02-28,2899.0,2899.0,2810.0,2857.0,588019237,205746,108,2857.0
2005-03-01,2770.0,2849.0,2770.0,2796.0,361647572,129333,62,2796.0
2005-03-02,2771.0,2789.0,2710.0,2789.0,112076419,40294,33,2789.0
2005-03-05,2723.0,2805.0,2710.0,2779.0,157656762,56851,51,2779.0
2005-03-06,2779.0,2779.0,2733.0,2771.0,108443716,39269,25,2771.0
2005-03-07,2733.0,2733.0,2699.0,2712.0,225255847,83298,37,2712.0
2005-03-08,2700.0,2710.0,2577.0,2579.0,405745468,157266,44,2579.0
2005-03-09,2451.0,2577.0,2451.0,2494.0,256685259,102886,46,2494.0
2005-03-12,2493.0,2500.0,2370.0,2403.0,244422342,101678,32,2403.0
2005-03-13,2390.0,2496.0,2386.0,2449.0,218728714,89142,34,2449.0
2005-03-14,2470.0,2510.0,2450.0,2469.0,460600433,186493,71,2469.0
2005-03-15,2510.0,2592.0,2510.0,2569.0,322843045,125629,40,2569.0
2005-03-16,2697.0,2697.0,2653.0,2653.0,171798460,63700,26,2653.0
2005-03-26,2703.0,2785.0,2700.0,2706.0,369130379,136410,49,2706.0
2005-03-27,2706.0,2710.0,2650.0,2698.0,199029377,73819,28,2698.0
2005-03-28,2698.0,2699.0,2565.0,2618.0,414261681,158223,51,2618.0
2005-03-29,2618.0,2720.0,2560.0,2610.0,376951379,144411,46,2610.0
2005-03-30,2720.0,2740.0,2612.0,2696.0,187153634,68510,37,2696.0
2005-04-03,2830.0,2830.0,2810.0,2824.0,368900225,130597,67,2824.0
2005-04-04,2831.0,2849.0,2723.0,2762.0,455748121,165005,70,2762.0
2005-04-05,2759.0,2762.0,2705.0,2748.0,163496174,59649,37,2748.0
2005-04-06,2756.0,2780.0,2701.0,2746.0,125847087,45837,29,2746.0
2005-04-10,2779.0,2850.0,2706.0,2799.0,225638589,80273,33,2799.0
2005-04-11,2808.0,2938.0,2800.0,2826.0,611112129,216187,89,2826.0
2005-04-12,2800.0,2967.0,2800.0,2919.0,1353985265,474002,76,2919.0
2005-04-13,2919.0,3064.0,2919.0,2973.0,126486137,41512,27,2973.0
2005-04-16,3121.0,3121.0,3047.0,3047.0,151320945,48485,28,3047.0
2005-04-17,3199.0,3199.0,2900.0,3130.0,1006114582,321440,162,3130.0
2005-04-18,2993.0,3050.0,2974.0,3043.0,206819243,68727,33,3043.0
2005-04-19,2891.0,2995.0,2891.0,2995.0,86742604,30004,20,2995.0
2005-04-20,2846.0,2886.0,2846.0,2848.0,370468435,130075,70,2848.0
2005-04-23,2846.0,2870.0,2803.0,2840.0,240801982,84813,48,2840.0
2005-04-24,2850.0,2850.0,2800.0,2815.0,219634399,78136,37,2815.0
2005-04-25,2815.0,2870.0,2800.0,2817.0,128656835,45592,29,2817.0
2005-04-27,2817.0,2898.0,2817.0,2820.0,194999233,69095,37,2820.0
2005-04-30,2821.0,2850.0,2760.0,2787.0,435444108,156210,71,2787.0
2005-05-01,2753.0,2800.0,2680.0,2721.0,242315980,89198,40,2721.0
2005-05-02,2708.0,2708.0,2585.0,2618.0,368623289,140786,41,2618.0
2005-05-03,2601.0,2647.0,2591.0,2607.0,583417923,223759,96,2607.0
2005-05-04,2737.0,2737.0,2689.0,2729.0,459615403,168403,59,2729.0
2005-05-07,2755.0,2845.0,2752.0,2800.0,202197938,71554,48,2800.0
2005-05-08,2811.0,2811.0,2775.0,2789.0,159596209,57341,39,2789.0
2005-05-09,2776.0,2776.0,2702.0,2738.0,212566736,77939,37,2738.0
2005-05-10,2713.0,2790.0,2713.0,2746.0,193896888,70512,37,2746.0
2005-05-11,2798.0,2832.0,2780.0,2780.0,154522074,55062,40,2780.0
2005-05-14,2774.0,2774.0,2750.0,2753.0,258240769,93784,52,2753.0
2005-05-15,2713.0,2732.0,2618.0,2732.0,69478003,25945,21,2732.0
2005-05-16,2695.0,2704.0,2650.0,2704.0,123908072,46316,37,2704.0
2005-05-17,2680.0,2700.0,2626.0,2692.0,146779842,54683,35,2692.0
2005-05-18,2692.0,2692.0,2637.0,2673.0,605786637,228111,45,2673.0
2005-05-21,2630.0,2670.0,2601.0,2629.0,305889185,116311,52,2629.0
2005-05-22,2630.0,2700.0,2630.0,2660.0,254358809,95553,36,2660.0
2005-05-23,2660.0,2700.0,2660.0,2679.0,233569979,87078,36,2679.0
2005-05-24,2622.0,2670.0,2606.0,2630.0,409549975,155722,74,2630.0
2005-05-25,2608.0,2650.0,2581.0,2604.0,415491760,159500,60,2604.0
2005-05-28,2700.0,2734.0,2655.0,2717.0,625787616,230299,104,2717.0
2005-05-29,2717.0,2734.0,2650.0,2702.0,558338066,206589,82,2702.0
2005-05-30,2700.0,2800.0,2698.0,2723.0,563945053,207057,91,2723.0
2005-05-31,2723.0,2859.0,2723.0,2824.0,801166849,283660,115,2824.0
2005-06-01,2817.0,2819.0,2689.0,2768.0,485144053,175544,66,2768.0
2005-06-06,2700.0,2750.0,2630.0,2743.0,229389777,84574,43,2743.0
2005-06-07,2700.0,2720.0,2607.0,2665.0,431252016,162668,58,2665.0
2005-06-08,2605.0,2700.0,2555.0,2621.0,337661733,129822,75,2621.0
2005-06-11,2600.0,2621.0,2547.0,2587.0,292661145,114127,49,2587.0
2005-06-12,2550.0,2550.0,2467.0,2501.0,464498060,185840,66,2501.0
2005-06-13,2500.0,2501.0,2392.0,2426.0,751849819,309864,110,2426.0
2005-06-14,2451.0,2523.0,2450.0,2489.0,811797927,326061,135,2489.0
2005-06-15,2407.0,2489.0,2402.0,2443.0,711401323,291176,119,2443.0
2005-06-18,2443.0,2550.0,2373.0,2415.0,449054001,185940,63,2415.0
2005-06-19,2360.0,2360.0,2295.0,2331.0,374152564,161482,72,2331.0
2005-06-20,2216.0,2330.0,2215.0,2312.0,124796353,55064,33,2312.0
2005-06-21,2336.0,2427.0,2336.0,2375.0,326913567,136060,55,2375.0
2005-06-22,2493.0,2493.0,2424.0,2424.0,203888559,81845,50,2424.0
2005-06-25,2303.0,2391.0,2303.0,2391.0,118379686,51402,21,2391.0
2005-06-26,2349.0,2490.0,2272.0,2348.0,304543079,130722,62,2348.0
2005-06-27,2357.0,2449.0,2357.0,2362.0,180764448,75782,41,2362.0
2005-06-28,2363.0,2380.0,2253.0,2348.0,143826597,61983,36,2348.0
2005-06-29,2300.0,2329.0,2231.0,2286.0,237833826,106303,45,2286.0
2005-07-02,2173.0,2229.0,2172.0,2229.0,207282859,95406,39,2229.0
2005-07-03,2118.0,2119.0,2118.0,2119.0,401990056,189797,59,2119.0
2005-07-04,2014.0,2129.0,2014.0,2095.0,170010971,82323,35,2095.0
2005-07-05,2102.0,2199.0,2101.0,2108.0,80819391,37279,21,2108.0
2005-07-06,2213.0,2213.0,2180.0,2180.0,300385861,135904,56,2180.0
