date,open,high,low,adjClose,value,volume,count,yesterday,close
2010-11-02,3000.0,3000.0,2301.0,2302.0,64199787150,27887150,628,1000.0,2301.0
2010-11-03,2394.0,2394.0,2394.0,2339.0,434487060,181490,14,2302.0,2394.0
2010-11-06,2432.0,2432.0,2432.0,2341.0,27724800,11400,7,2339.0,2432.0
2010-11-07,2434.0,2434.0,2434.0,2342.0,14604000,6000,3,2341.0,2434.0
2010-11-08,2435.0,2435.0,2435.0,2347.0,64527500,26500,14,2342.0,2435.0
2010-11-09,2440.0,2440.0,2440.0,2348.0,8540000,3500,4,2347.0,2440.0
2010-11-10,2441.0,2441.0,2441.0,2349.0,11838850,4850,4,2348.0,2441.0
2010-11-13,2442.0,2442.0,2442.0,2352.0,34554300,14150,24,2349.0,2442.0
2010-11-14,2446.0,2446.0,2446.0,2354.0,17733500,7250,5,2352.0,2446.0
2010-11-15,2448.0,2448.0,2448.0,2357.0,38800800,15850,7,2354.0,2448.0
2010-11-16,2451.0,2451.0,2451.0,2359.0,22870281,9331,7,2357.0,2451.0
2010-11-20,2453.0,2453.0,2453.0,2361.0,23646920,9640,6,2359.0,2453.0
2010-11-21,2455.0,2455.0,2455.0,2455.0,14730000,6000,4,2361.0,2455.0
2010-11-22,2553.0,2553.0,2553.0,2553.0,3829500,1500,2,2455.0,2553.0
2010-11-23,2655.0,2655.0,2655.0,2655.0,3268305,1231,2,2553.0,2655.0
2010-11-24,2761.0,2761.0,2761.0,2761.0,24849000,9000,4,2655.0,2761.0
2010-11-27,2871.0,2871.0,2871.0,2871.0,67468500,23500,10,2761.0,2871.0
2010-11-28,2985.0,2985.0,2985.0,2877.0,67132650,22490,13,2871.0,2985.0
2010-11-29,2992.0,2992.0,2992.0,2992.0,16456000,5500,4,2877.0,2992.0
2010-11-30,3111.0,3111.0,3111.0,3111.0,32976600,10600,7,2992.0,3111.0
2010-12-01,3235.0,3235.0,3235.0,3235.0,37202500,11500,5,3111.0,3235.0
2010-12-04,3364.0,3364.0,3364.0,3364.0,14297000,4250,3,3235.0,3364.0
2010-12-05,3498.0,3498.0,3498.0,3498.0,65937300,18850,8,3364.0,3498.0
2010-12-06,3637.0,3637.0,3637.0,3506.0,93252680,25640,15,3498.0,3637.0
2010-12-07,3646.0,3646.0,3646.0,3646.0,43569700,11950,10,3506.0,3646.0
2010-12-08,3791.0,3791.0,3791.0,3791.0,75895820,20020,11,3646.0,3791.0
2010-12-11,3942.0,3942.0,3942.0,3942.0,56764800,14400,9,3791.0,3942.0
2010-12-12,4099.0,4099.0,4099.0,4099.0,91407700,22300,11,3942.0,4099.0
2010-12-13,4262.0,4262.0,4262.0,4262.0,767164262,180001,93,4099.0,4262.0
2010-12-14,4432.0,4432.0,4432.0,4337.0,881857200,198975,96,4262.0,4432.0
2010-12-18,4510.0,4510.0,4510.0,4510.0,10175741620,2256262,183,4337.0,4510.0
2010-12-19,4690.0,4690.0,4690.0,4690.0,38142222300,8132670,1966,4510.0,4690.0
2010-12-20,4877.0,4877.0,4877.0,4877.0,58098086713,11912669,3692,4690.0,4877.0
2010-12-21,5072.0,5072.0,5072.0,5072.0,29593628832,5834706,783,4877.0,5072.0
2010-12-22,5274.0,5274.0,5274.0,5274.0,26698058622,5062203,236,5072.0,5274.0
2010-12-25,5484.0,5484.0,5484.0,5484.0,27661844400,5044100,200,5274.0,5484.0
2010-12-26,5703.0,5703.0,5703.0,5491.0,76996203,13501,11,5484.0,5703.0
2010-12-27,5710.0,5710.0,5710.0,5710.0,16051540880,2811128,120,5491.0,5710.0
2010-12-28,5938.0,5938.0,5938.0,5722.0,136585876,23002,21,5710.0,5938.0
2010-12-29,6179.0,6426.0,6179.0,6426.0,146146851107,22743892,2842,5722.0,6426.0
2011-01-01,6426.0,6650.0,6200.0,6382.0,58781043723,9210801,2103,6426.0,6320.0
2011-01-02,6310.0,6637.0,6310.0,6553.0,43241105043,6598647,1170,6382.0,6637.0
2011-01-03,6815.0,6815.0,6690.0,6813.0,112155778485,16461187,1681,6553.0,6815.0
2011-01-04,6900.0,7085.0,6852.0,7009.0,29207085689,4166978,676,6813.0,7085.0
2011-01-05,7289.0,7289.0,7289.0,7073.0,743091683,101947,25,7009.0,7289.0
2011-01-08,7355.0,7355.0,7355.0,7123.0,580000590,78858,9,7073.0,7355.0
2011-01-09,7407.0,7407.0,7407.0,7124.0,7407000,1000,1,7123.0,7407.0
2011-01-10,7408.0,7408.0,7408.0,7408.0,11055602896,1492387,70,7124.0,7408.0
2011-01-11,7704.0,7704.0,7704.0,7704.0,18078106248,2346587,106,7408.0,7704.0
2011-01-12,8320.0,8652.0,8320.0,8646.0,37749187228,4365836,370,7704.0,8652.0
2011-01-15,8991.0,8991.0,8950.0,8991.0,76457742326,8503841,771,8646.0,8991.0
2011-01-16,9150.0,9299.0,8900.0,9168.0,71966636126,7849491,1545,8991.0,8995.0
2011-01-17,8990.0,8994.0,8802.0,8830.0,24803859050,2809169,478,9168.0,8802.0
2011-01-18,8503.0,8800.0,8477.0,8535.0,79893945192,9360647,1373,8830.0,8740.0
2011-01-19,8876.0,8876.0,8872.0,8876.0,18599638420,2095545,184,8535.0,8876.0
2011-01-22,9231.0,9231.0,9231.0,9231.0,7901615997,855987,99,8876.0,9231.0
2011-01-23,9600.0,9600.0,9600.0,9481.0,2925542400,304744,31,9231.0,9600.0
2011-01-24,9860.0,9860.0,9860.0,9500.0,223782560,22696,15,9481.0,9860.0
2011-01-26,9880.0,9880.0,9600.0,9848.0,136945292019,13906214,1696,9500.0,9670.0
2011-01-29,9619.0,9620.0,9455.0,9467.0,55392245211,5851271,777,9848.0,9455.0
2011-01-30,9251.0,9845.0,9197.0,9688.0,60182482257,6212148,944,9467.0,9845.0
2011-01-31,9980.0,10075.0,9850.0,10052.0,27000806750,2686180,427,9688.0,10075.0
2011-02-01,10454.0,10454.0,10454.0,10224.0,2007931142,192073,32,10052.0,10454.0
2011-02-05,10632.0,10632.0,10632.0,10350.0,1469491248,138214,36,10224.0,10632.0
2011-02-06,10764.0,10764.0,10764.0,10580.0,2683971108,249347,38,10350.0,10764.0
2011-02-07,11003.0,11003.0,11003.0,10714.0,1567663428,142476,20,10580.0,11003.0
2011-02-08,11142.0,11142.0,10310.0,10986.0,144871107894,13186678,2335,10714.0,10500.0
2011-02-09,10726.0,11140.0,10547.0,10721.0,43352186705,4043550,890,10986.0,10811.0
2011-02-12,11140.0,11140.0,10560.0,10856.0,23339592766,2149861,523,10721.0,10599.0
2011-02-13,10690.0,10900.0,10422.0,10496.0,23516955202,2240629,582,10856.0,10422.0
2011-02-14,10442.0,10680.0,10077.0,10150.0,35815231168,3528475,787,10496.0,10077.0
2011-02-15,10077.0,10148.0,9744.0,9860.0,16673619881,1690956,505,10150.0,9744.0
2011-02-16,9466.0,9466.0,9466.0,9838.0,235779128,24908,26,9860.0,9466.0
2011-02-19,9445.0,9445.0,9445.0,9785.0,574038765,60777,33,9838.0,9445.0
2011-02-20,9394.0,9394.0,9394.0,9627.0,1706730102,181683,28,9785.0,9394.0
2011-02-22,9242.0,9242.0,9242.0,9600.0,294422394,31857,12,9627.0,9242.0
2011-02-23,9216.0,9216.0,9216.0,9513.0,939921408,101988,27,9600.0,9216.0
2011-02-26,8752.0,8900.0,8402.0,8542.0,74329637796,8701851,1424,9513.0,8402.0
2011-02-27,8204.0,8210.0,8201.0,8202.0,24072878618,2935167,260,8542.0,8201.0
2011-02-28,7874.0,7874.0,7874.0,7874.0,13074769126,1660499,164,8202.0,7874.0
2011-03-01,7560.0,7560.0,7560.0,7866.0,85246560,11276,6,7874.0,7560.0
2011-03-02,7552.0,7552.0,7552.0,7841.0,275202432,36441,11,7866.0,7552.0
2011-03-05,7528.0,7528.0,7528.0,7840.0,13000856,1727,5,7841.0,7528.0
2011-03-06,7527.0,7527.0,7527.0,7829.0,116984634,15542,11,7840.0,7527.0
2011-03-07,7516.0,7516.0,7516.0,7516.0,4729270132,629227,122,7829.0,7516.0
2011-03-08,7216.0,7504.0,7216.0,7426.0,28957093883,3899366,551,7516.0,7504.0
2011-03-09,7600.0,7689.0,7132.0,7308.0,19744065888,2701889,602,7426.0,7142.0
2011-03-12,7140.0,7140.0,7016.0,7268.0,444537106,63257,27,7308.0,7016.0
2011-03-13,6978.0,6978.0,6978.0,6978.0,3816379848,546916,54,7268.0,6978.0
2011-03-14,6901.0,6990.0,6699.0,6748.0,38683340138,5732983,947,6978.0,6704.0
2011-03-15,6990.0,7017.0,6755.0,6907.0,12726907130,1842591,331,6748.0,7017.0
2011-03-16,7183.0,7183.0,7180.0,7183.0,3926045683,546581,65,6907.0,7183.0
2011-03-19,7468.0,7470.0,7360.0,7464.0,10675991318,1430237,402,7183.0,7429.0
2011-03-26,7451.0,7762.0,7451.0,7691.0,6184852961,804118,221,7464.0,7762.0
2011-03-27,7990.0,7998.0,7705.0,7925.0,9866458500,1244974,259,7691.0,7741.0
2011-03-28,7878.0,7878.0,7608.0,7671.0,3480879887,453761,171,7925.0,7608.0
2011-03-29,7460.0,7580.0,7365.0,7403.0,4949022485,668549,99,7671.0,7365.0
2011-03-30,7107.0,7107.0,7107.0,7226.0,1909188945,268635,45,7403.0,7107.0
2011-04-03,6937.0,7100.0,6937.0,6983.0,13741040619,1967710,527,7226.0,6940.0
2011-04-04,7262.0,7262.0,7007.0,7206.0,18312040164,2541304,444,6983.0,7100.0
2011-04-05,7400.0,7400.0,6918.0,7017.0,23000264162,3277967,705,7206.0,7094.0
2011-04-06,7250.0,7250.0,6810.0,6975.0,10626145910,1523464,389,7017.0,6900.0
2011-04-09,6950.0,6950.0,6696.0,6727.0,6895438021,1024997,189,6975.0,6696.0
2011-04-10,6505.0,6600.0,6458.0,6475.0,3364144035,519575,131,6727.0,6458.0
2011-04-11,6218.0,6669.0,6218.0,6376.0,10762589908,1688031,380,6475.0,6310.0
2011-04-12,6450.0,6631.0,6400.0,6546.0,3590302692,548477,134,6376.0,6631.0
2011-04-13,6807.0,6807.0,6651.0,6789.0,18567732770,2735160,330,6546.0,6740.0
2011-04-16,6890.0,6890.0,6518.0,6651.0,5611936227,843833,209,6789.0,6518.0
2011-04-17,6490.0,6500.0,6385.0,6396.0,6668636611,1042641,230,6651.0,6400.0
2011-04-18,6396.0,6486.0,6141.0,6178.0,6199670567,1003579,289,6396.0,6152.0
2011-04-19,6142.0,6145.0,5972.0,6029.0,4176604719,692716,182,6178.0,6090.0
2011-04-20,6150.0,6270.0,6150.0,6164.0,1653958290,264303,73,6029.0,6270.0
2011-04-23,6410.0,6410.0,6301.0,6410.0,24125426936,3763964,428,6164.0,6410.0
2011-04-24,6530.0,6666.0,6463.0,6610.0,6053694304,915874,204,6410.0,6499.0
2011-04-25,6594.0,6594.0,6346.0,6378.0,3835900300,601414,126,6610.0,6346.0
2011-04-26,6350.0,6505.0,6125.0,6299.0,2200121435,350482,118,6378.0,6200.0
2011-04-27,6299.0,6390.0,6052.0,6127.0,3081804178,502972,129,6299.0,6150.0
2011-04-30,6076.0,6076.0,5882.0,5895.0,2564740010,435604,50,6127.0,5882.0
2011-05-01,5660.0,5882.0,5660.0,5674.0,12853637029,2265490,272,5895.0,5670.0
2011-05-02,5900.0,5900.0,5900.0,5780.0,1245295300,211067,19,5674.0,5900.0
2011-05-03,6011.0,6011.0,5600.0,5974.0,7728289195,1293706,229,5780.0,6011.0
2011-05-04,6149.0,6212.0,6100.0,6205.0,6878883956,1108581,105,5974.0,6212.0
2011-05-08,6453.0,6453.0,6257.0,6441.0,11054455785,1716395,245,6205.0,6453.0
2011-05-09,6698.0,6698.0,6698.0,6626.0,2164719922,323189,40,6441.0,6698.0
2011-05-10,6891.0,6891.0,6891.0,6719.0,1080439890,156790,21,6626.0,6891.0
2011-05-11,6987.0,6987.0,6987.0,6745.0,305115303,43669,12,6719.0,6987.0
2011-05-14,7014.0,7014.0,7014.0,6766.0,246485988,35142,4,6745.0,7014.0
2011-05-15,7036.0,7036.0,7036.0,6781.0,175463768,24938,13,6766.0,7036.0
2011-05-16,7052.0,7052.0,7052.0,6786.0,63101296,8948,8,6781.0,7052.0
2011-05-17,7199.0,7199.0,6912.0,7067.0,30908175674,4373605,802,6786.0,6912.0
2011-05-18,6890.0,6950.0,6785.0,6817.0,14128992696,2072595,307,7067.0,6785.0
2011-05-21,6699.0,6899.0,6651.0,6768.0,4560072673,673810,169,6817.0,6754.0
2011-05-22,6800.0,6800.0,6498.0,6594.0,4104415840,622491,168,6768.0,6670.0
2011-05-23,6490.0,6755.0,6489.0,6593.0,2572582385,390200,119,6594.0,6610.0
2011-05-24,6561.0,6746.0,6330.0,6366.0,5095731251,800443,122,6593.0,6330.0
2011-05-25,6212.0,6330.0,6112.0,6124.0,5731145184,935926,207,6366.0,6112.0
2011-05-28,6130.0,6250.0,5880.0,5956.0,2989534799,501941,141,6124.0,5900.0
2011-05-29,6119.0,6119.0,5718.0,5758.0,3920688726,680933,145,5956.0,5718.0
2011-05-30,5964.0,5988.0,5964.0,5934.0,2062269372,344437,79,5758.0,5988.0
2011-05-31,6171.0,6171.0,6171.0,5994.0,704141955,114105,17,5934.0,6171.0
