date,open,high,low,adjClose,value,volume,count,close
2011-02-05,2600.0,2600.0,2600.0,2600.0,103490400000,39804000,620,2600.0
2011-02-06,2730.0,2730.0,2730.0,2730.0,552008730,202201,10,2730.0
2011-02-07,2866.0,2866.0,2866.0,2866.0,15768732,5502,6,2866.0
2011-02-08,3009.0,3009.0,3009.0,3009.0,4029354909,1339101,99,3009.0
2011-02-09,3159.0,3159.0,3159.0,3159.0,49759351785,15751615,4699,3159.0
2011-02-12,3300.0,3300.0,3160.0,3238.0,56633864755,17491209,5581,3191.0
2011-02-13,3183.0,3300.0,3182.0,3266.0,16670466223,5104326,1517,3269.0
2011-02-14,3261.0,3309.0,3224.0,3272.0,14528098602,4440355,998,3290.0
2011-02-15,3268.0,3297.0,3221.0,3261.0,10133822732,3107945,744,3274.0
2011-02-16,3222.0,3280.0,3221.0,3259.0,5943047912,1823611,535,3260.0
2011-02-19,3270.0,3316.0,3230.0,3282.0,10065217654,3067149,652,3289.0
2011-02-20,3280.0,3399.0,3280.0,3330.0,9765561679,2932910,639,3300.0
2011-02-22,3312.0,3390.0,3250.0,3322.0,5017536754,1510396,317,3300.0
2011-02-23,3303.0,3484.0,3303.0,3432.0,11277520880,3285700,557,3471.0
2011-02-26,3500.0,3539.0,3420.0,3480.0,4398824149,1264051,206,3447.0
2011-02-27,3440.0,3500.0,3440.0,3485.0,7436130089,2133464,351,3483.0
2011-02-28,3482.0,3516.0,3410.0,3491.0,4508642164,1291635,243,3500.0
2011-03-01,3452.0,3500.0,3452.0,3480.0,3010281935,864939,190,3480.0
2011-03-02,3412.0,3654.0,3412.0,3618.0,10269796832,2838432,374,3654.0
2011-03-05,3760.0,3760.0,3601.0,3676.0,21755001278,5918136,247,3627.0
2011-03-06,3668.0,3668.0,3495.0,3537.0,8574059341,2423939,333,3520.0
2011-03-07,3524.0,3565.0,3524.0,3550.0,3327279880,937181,160,3565.0
2011-03-08,3551.0,3587.0,3520.0,3552.0,1759364717,495363,136,3567.0
2011-03-09,3504.0,3650.0,3432.0,3551.0,3370796699,949187,202,3500.0
2011-03-12,3476.0,3560.0,3416.0,3484.0,3123427598,896400,165,3548.0
2011-03-13,3484.0,3555.0,3401.0,3468.0,3500473448,1009385,147,3410.0
2011-06-25,3600.0,5050.0,3600.0,4866.0,81925789747,16834668,1598,5000.0
2011-06-26,5000.0,5050.0,5000.0,5001.0,78731111408,15743316,1619,5000.0
2011-07-02,4500.0,4840.0,4280.0,4464.0,5522012093,1236998,340,4298.0
2011-07-03,4259.0,4259.0,4241.0,4242.0,7030860334,1657606,264,4241.0
2011-07-04,4030.0,4040.0,4030.0,4030.0,6728668950,1669478,314,4030.0
2011-07-05,3900.0,3950.0,3840.0,3910.0,2152647803,550498,130,3857.0
2011-07-06,3730.0,3750.0,3715.0,3727.0,1535089162,411898,120,3720.0
2011-07-09,3702.0,3703.0,3541.0,3616.0,740742100,204876,73,3640.0
2011-07-10,3438.0,3441.0,3437.0,3439.0,762430600,221670,86,3441.0
2011-07-11,3303.0,3530.0,3300.0,3438.0,632761657,184068,54,3499.0
2011-07-12,3361.0,3509.0,3360.0,3432.0,444387020,129485,33,3509.0
2011-07-13,3335.0,3432.0,3335.0,3416.0,133578100,39100,14,3415.0
2011-07-16,3250.0,3450.0,3248.0,3300.0,178943330,54226,34,3450.0
2011-07-18,3302.0,3350.0,3301.0,3307.0,150815083,45607,24,3350.0
2011-07-19,3347.0,3347.0,3262.0,3305.0,539566680,163271,40,3292.0
2011-07-20,3310.0,3310.0,3182.0,3221.0,216528285,67220,27,3293.0
2011-07-23,3200.0,3287.0,3200.0,3224.0,89249820,27682,15,3250.0
2011-07-24,3203.0,3350.0,3203.0,3300.0,198237120,60075,27,3340.0
2011-07-25,3379.0,3458.0,3205.0,3295.0,189276005,57435,20,3205.0
2011-07-26,3191.0,3224.0,3191.0,3208.0,456208371,142206,33,3224.0
2011-07-27,3203.0,3328.0,3203.0,3225.0,133203804,41308,19,3261.0
2011-07-30,3299.0,3300.0,3227.0,3282.0,101460019,30910,25,3235.0
2011-07-31,3234.0,3260.0,3171.0,3220.0,150968386,46887,24,3260.0
2011-08-01,3240.0,3240.0,3151.0,3198.0,177793512,55596,28,3220.0
2011-08-02,3180.0,3240.0,3161.0,3188.0,235421580,73840,12,3162.0
2011-08-03,3151.0,3151.0,3056.0,3105.0,182755230,58862,28,3098.0
2011-08-06,3100.0,3260.0,3100.0,3212.0,646085957,201140,70,3260.0
2011-08-07,3372.0,3372.0,3372.0,3372.0,641984964,190387,22,3372.0
