date,open,high,low,adjClose,value,volume,count,close
2015-03-18,14400.0,14976.0,14400.0,14418.0,8894527094,616919,83,14400.0
2015-03-25,14699.0,14798.0,14699.0,14488.0,257941389,17501,15,14701.0
2015-03-28,14502.0,14502.0,13909.0,14045.0,3275380969,233214,285,13909.0
2015-03-29,14500.0,14599.0,14005.0,14114.0,4479570892,317376,154,14014.0
2015-03-30,14120.0,14120.0,13800.0,14076.0,274303203,19650,41,13901.0
2015-03-31,14200.0,14200.0,13685.0,14030.0,634445220,45333,60,14000.0
2015-04-04,14591.0,14591.0,14591.0,14591.0,1169950153,80183,17,14591.0
2015-04-05,15174.0,15174.0,14810.0,15129.0,7898414221,522085,114,15100.0
2015-04-06,14740.0,14740.0,14524.0,14526.0,3115479038,214469,67,14599.0
2015-04-07,14222.0,14520.0,14100.0,14470.0,392322528,27318,31,14119.0
2015-04-08,14130.0,14310.0,14130.0,14462.0,50850505,3561,12,14302.0
2015-04-11,14700.0,14750.0,14000.0,14187.0,890009735,63063,40,14210.0
2015-04-12,14200.0,14400.0,14200.0,14210.0,752545926,52915,37,14220.0
2015-04-13,14022.0,14024.0,14017.0,14196.0,84413580,6020,16,14022.0
2015-04-14,14009.0,14200.0,14008.0,14191.0,41170600,2929,13,14200.0
2015-04-15,14200.0,14400.0,14060.0,14184.0,312764052,22079,19,14400.0
2015-04-18,14290.0,14500.0,14250.0,14200.0,98773450,6876,18,14400.0
2015-04-19,14100.0,14400.0,14050.0,14195.0,568909250,40093,26,14100.0
2015-04-20,14060.0,14090.0,14050.0,14124.0,601411140,42770,26,14050.0
2015-04-21,14019.0,14019.0,14010.0,14120.0,42031800,3000,2,14010.0
2015-04-22,14350.0,14350.0,14051.0,14154.0,258026850,18080,17,14300.0
2015-04-25,14399.0,14399.0,14200.0,14177.0,166746948,11653,8,14200.0
2015-04-26,14001.0,14299.0,14001.0,14172.0,313123627,22114,21,14202.0
2015-04-27,14101.0,14101.0,14000.0,14114.0,423129550,30182,41,14000.0
2015-04-28,14000.0,14249.0,13820.0,14090.0,135164570,9711,15,13820.0
2015-04-29,14290.0,14290.0,13810.0,14089.0,10920950,779,9,14000.0
2015-05-03,13840.0,13880.0,13800.0,14047.0,176320080,12754,27,13880.0
2015-05-04,13638.0,13638.0,13486.0,13818.0,449078646,33272,29,13486.0
2015-05-05,13700.0,13880.0,13540.0,13816.0,86902180,6299,10,13540.0
2015-05-06,13400.0,13600.0,13400.0,13804.0,33132955,2470,6,13457.0
2015-05-09,13481.0,13860.0,13480.0,13772.0,150415950,11080,15,13505.0
2015-05-10,13401.0,13422.0,13300.0,13669.0,272737500,20400,29,13300.0
2015-05-11,13600.0,13705.0,13500.0,13660.0,121623741,8951,11,13505.0
2015-05-12,13699.0,13798.0,13500.0,13660.0,501302900,36700,14,13500.0
2015-05-13,13350.0,13600.0,13350.0,13636.0,154546875,11454,25,13556.0
2015-05-17,13350.0,13360.0,13201.0,13612.0,68630306,5175,8,13201.0
2015-05-18,13500.0,13880.0,13300.0,13594.0,1297206560,95425,43,13370.0
2015-05-19,13786.0,13790.0,13310.0,13583.0,53912500,4030,7,13786.0
2015-05-20,13782.0,13783.0,13400.0,13571.0,134518455,9976,22,13600.0
2015-05-23,13694.0,13694.0,13200.0,13556.0,136879716,10176,20,13685.0
2015-05-24,13470.0,13667.0,12911.0,13523.0,288564013,21479,21,13599.0
2015-05-25,13600.0,13600.0,13470.0,13522.0,136824000,10121,11,13500.0
2015-05-26,13500.0,13500.0,13500.0,13517.0,267165000,19790,13,13500.0
2015-05-27,13733.0,13733.0,13520.0,13556.0,229649950,16760,17,13550.0
2015-05-30,13402.0,13650.0,13002.0,13523.0,131798100,9915,10,13600.0
2015-05-31,13592.0,13592.0,13500.0,13523.0,40400582,2989,8,13500.0
2015-06-01,13051.0,13650.0,13051.0,13508.0,142613000,10632,14,13493.0
2015-06-02,13784.0,13784.0,13160.0,13506.0,193119800,14310,16,13598.0
2015-06-07,13250.0,13562.0,13250.0,13503.0,17186100,1290,5,13562.0
2015-06-08,13300.0,13597.0,13005.0,13491.0,54495132,4108,7,13579.0
2015-06-09,13072.0,13539.0,13062.0,13440.0,252151450,18991,32,13340.0
2015-06-10,13566.0,13566.0,13145.0,13428.0,224223923,16757,15,13499.0
2015-06-13,13250.0,13486.0,13200.0,13426.0,59482684,4442,10,13468.0
2015-06-14,13476.0,13498.0,13200.0,13365.0,1012850230,75800,35,13420.0
2015-06-15,13474.0,13475.0,13201.0,13368.0,169837590,12690,20,13449.0
2015-06-16,13474.0,13476.0,13400.0,13371.0,63093804,4700,10,13444.0
2015-06-17,13500.0,13550.0,13377.0,13387.0,137610300,10195,23,13550.0
2015-06-20,13570.0,13669.0,13400.0,13476.0,510737355,37621,21,13600.0
2015-06-21,13660.0,14149.0,13660.0,13894.0,1596032217,114871,49,14000.0
2015-06-22,13980.0,13980.0,13700.0,13879.0,301845150,21811,39,13944.0
2015-06-23,13950.0,13950.0,13600.0,13856.0,129631200,9470,8,13840.0
2015-06-24,13820.0,13830.0,13500.0,13848.0,126012990,9140,14,13800.0
2015-06-27,13380.0,13880.0,13210.0,13614.0,964124360,70971,45,13700.0
2015-06-28,13800.0,13800.0,13800.0,13615.0,8528400,618,2,13800.0
2015-06-29,13400.0,13750.0,13400.0,13616.0,49092360,3600,20,13500.0
2015-06-30,13416.0,13750.0,13416.0,13626.0,374764873,27466,50,13500.0
2015-07-01,13800.0,13800.0,13420.0,13604.0,243533536,18000,13,13628.0
2015-07-04,13799.0,13799.0,13600.0,13634.0,314917121,22973,29,13668.0
2015-07-05,13634.0,13650.0,13420.0,13606.0,375601535,27711,25,13607.0
2015-07-06,13420.0,13800.0,13420.0,13744.0,1124957805,81850,31,13520.0
2015-07-07,13795.0,13795.0,13420.0,13610.0,606786000,44930,25,13634.0
2015-07-11,13800.0,13900.0,13250.0,13820.0,28823194486,2085633,43,13770.0
2015-07-12,13600.0,13940.0,13600.0,13829.0,260245155,18778,21,13730.0
2015-07-13,13950.0,14110.0,13680.0,13835.0,974592826,70439,62,13680.0
2015-07-14,13505.0,13790.0,13400.0,13454.0,1708716045,127008,57,13450.0
2015-07-15,13300.0,13677.0,13251.0,13415.0,625829055,46750,50,13490.0
2015-07-20,13260.0,13500.0,13260.0,13415.0,95245900,7100,10,13380.0
2015-07-21,13400.0,13600.0,13400.0,13437.0,572942880,42578,36,13540.0
2015-07-22,13400.0,13659.0,13400.0,13438.0,13516100,999,3,13659.0
2015-07-25,13310.0,13660.0,13301.0,13506.0,603441785,44500,62,13590.0
2015-07-26,13372.0,13660.0,13371.0,13505.0,57502983,4262,13,13400.0
2015-07-27,13400.0,13500.0,13200.0,13501.0,97334615,7229,18,13500.0
