date,open,high,low,adjClose,value,volume,count,close
2015-11-08,2690.0,2690.0,2421.0,2588.0,163456765,63157,23,2421.0
2015-11-09,2330.0,2330.0,2330.0,2330.0,216624760,92972,34,2330.0
2015-11-10,2097.0,2180.0,2097.0,2109.0,1375003327,652063,215,2099.0
2015-11-11,2101.0,2110.0,2068.0,2099.0,41007059,19539,17,2100.0
2015-11-14,2059.0,2060.0,1950.0,2045.0,202710035,99117,30,2000.0
2015-11-15,1950.0,1950.0,1901.0,1912.0,119620873,62574,27,1903.0
2015-11-16,1910.0,1922.0,1850.0,1879.0,339532996,180685,48,1855.0
2015-11-17,1780.0,1900.0,1780.0,1885.0,895960667,475409,148,1900.0
2015-11-18,1970.0,2073.0,1900.0,2051.0,1945172054,948628,236,2073.0
2015-11-21,2190.0,2190.0,2076.0,2085.0,1691370605,811050,312,2076.0
2015-12-07,2090.0,2090.0,1881.0,1940.0,696920476,359200,101,1881.0
2015-12-08,1926.0,1926.0,1746.0,1770.0,352108308,198913,74,1746.0
2015-12-09,1730.0,1730.0,1631.0,1699.0,455644380,268128,76,1700.0
2015-12-13,1636.0,1636.0,1535.0,1557.0,238792137,153407,52,1547.0
2015-12-14,1550.0,1650.0,1550.0,1601.0,351405356,219488,76,1572.0
2015-12-15,1649.0,1649.0,1580.0,1607.0,117722192,73264,32,1610.0
2015-12-16,1585.0,1646.0,1585.0,1619.0,109006126,67336,35,1588.0
2015-12-19,1639.0,1640.0,1550.0,1614.0,315650297,195560,59,1640.0
2015-12-20,1501.0,1677.0,1501.0,1629.0,206444183,126715,49,1650.0
2015-12-21,1600.0,1791.0,1600.0,1747.0,942802175,539548,130,1791.0
2015-12-22,1890.0,1897.0,1800.0,1876.0,145559454,77588,40,1878.0
2015-12-23,1800.0,1878.0,1766.0,1814.0,105313576,58051,46,1845.0
2015-12-26,1800.0,1800.0,1645.0,1725.0,128802312,74650,38,1696.0
2015-12-27,1770.0,1770.0,1589.0,1629.0,689159108,422978,117,1600.0
2015-12-28,1600.0,1600.0,1467.0,1526.0,807668261,529393,121,1467.0
2015-12-30,1445.0,1445.0,1374.0,1389.0,1678241753,1208414,241,1410.0
2016-01-02,1350.0,1399.0,1282.0,1343.0,761594157,567206,122,1349.0
2016-06-18,1751.0,1751.0,1750.0,1750.0,17536684772,10020347,389,1750.0
2016-06-19,1750.0,1750.0,1750.0,1750.0,24514236250,14008135,577,1750.0
2020-05-04,17868.0,17868.0,16082.0,16236.0,137794965370,8487146,1247,16082.0
2020-05-05,16220.0,16399.0,14613.0,15254.0,545671524819,35771880,7026,14613.0
2020-05-06,14980.0,15599.0,13750.0,14537.0,334370457620,23000573,4610,14569.0
2020-05-09,15350.0,15990.0,14521.0,15728.0,258336642340,16425779,2754,15990.0
2020-05-10,17300.0,17300.0,16005.0,17023.0,405227443512,23804147,4684,17300.0
2020-05-11,17000.0,17599.0,17000.0,17225.0,23814280145,1382574,344,17599.0
2020-05-16,15503.0,15503.0,13953.0,13994.0,214683928489,15341325,2583,13953.0
2020-05-17,13690.0,14220.0,12860.0,13549.0,141654486588,10455160,2312,13750.0
2020-05-18,14500.0,14903.0,14000.0,14772.0,239472628910,16210965,2637,14903.0
2020-05-19,15020.0,16249.0,15020.0,16055.0,419119956878,26104451,4167,16249.0
2020-05-20,16790.0,17400.0,14902.0,16285.0,325563892863,19991975,4270,16150.0
2020-05-23,16000.0,16133.0,14657.0,14974.0,167642911126,11195744,1867,14657.0
2020-05-26,13477.0,14657.0,13477.0,13477.0,14633420939,1085807,307,13477.0
2020-05-27,12390.0,14000.0,12390.0,13081.0,264980339735,20256665,3330,13000.0
2020-05-30,13850.0,14389.0,13850.0,14308.0,113490897407,7932150,1382,14389.0
2020-06-01,15998.0,16950.0,14852.0,15359.0,222101206907,14460221,3182,14952.0
2020-06-02,15495.0,15500.0,14010.0,14732.0,274250593279,18616238,3454,14391.0
2020-06-06,14844.0,16205.0,14844.0,15769.0,399011878051,25302796,3942,16205.0
2020-06-07,16899.0,17345.0,16301.0,17174.0,266302939325,15505891,3396,17132.0
2020-06-08,17000.0,17700.0,15924.0,16829.0,352469027884,20944629,4251,16688.0
2020-06-09,16818.0,18100.0,16094.0,17509.0,294962970142,16845895,3700,17800.0
2020-06-10,18520.0,19259.0,17300.0,19115.0,245901748978,12864268,2657,19259.0
2020-06-13,21020.0,21020.0,20090.0,20960.0,187751705890,8957493,1378,21020.0
2020-06-14,21900.0,22550.0,19300.0,21520.0,569190500260,26446217,5149,22350.0
2020-06-15,22000.0,23670.0,22000.0,23120.0,437480038720,18919150,3465,23670.0
2020-06-16,24700.0,25430.0,23690.0,25270.0,442233084850,17502368,4403,25430.0
2020-06-20,25690.0,27400.0,25570.0,26570.0,405633154960,15264350,5010,26000.0
2020-06-21,26600.0,26900.0,23910.0,25170.0,74111076390,2943935,605,24000.0
2020-06-24,25020.0,26900.0,22520.0,25080.0,426710275310,17014971,4763,25040.0
2020-06-27,24500.0,24500.0,22570.0,23090.0,237173300410,10270154,2787,22570.0
2020-06-28,20780.0,20780.0,20780.0,20780.0,57583582680,2771106,773,20780.0
2020-06-29,18700.0,19490.0,18700.0,18810.0,979444597570,52074779,6549,18730.0
2020-06-30,19900.0,20690.0,18920.0,20450.0,353735133690,17294699,2821,20690.0
2020-07-01,21200.0,22400.0,20660.0,21450.0,963015640090,44894596,9262,21620.0
2020-10-04,11630.0,11630.0,11630.0,11630.0,5440688450,467815,100,11630.0
2020-10-05,12790.0,12790.0,11630.0,11740.0,372266260,31714,25,11630.0
2020-10-06,11630.0,11630.0,11630.0,11630.0,31115169490,2675423,139,11630.0
2020-10-07,12000.0,12000.0,12000.0,12000.0,15021444000,1251787,66,12000.0
2020-10-10,12000.0,13200.0,12000.0,12180.0,41780616800,3428989,204,12200.0
2020-10-11,12200.0,13400.0,12200.0,12530.0,78128659400,6234085,343,12500.0
2020-10-12,13500.0,13500.0,12500.0,12980.0,5126587000,395004,69,13000.0
2020-10-13,13000.0,13000.0,12500.0,12600.0,4117805950,326888,81,12500.0
2020-10-14,12500.0,12500.0,12500.0,12500.0,3273137500,261851,22,12500.0
2020-10-18,12300.0,12300.0,12300.0,12300.0,25078224000,2038880,53,12300.0
2020-10-19,12200.0,12200.0,12200.0,12200.0,289750000,23750,6,12200.0
2020-10-20,12200.0,12200.0,12000.0,12150.0,24385400,2007,3,12000.0
2020-10-21,12000.0,12000.0,11000.0,11170.0,1287994000,115312,37,11000.0
2020-10-24,11000.0,11000.0,11000.0,11000.0,1312762000,119342,10,11000.0
2020-10-26,11000.0,11000.0,11000.0,11000.0,484275000,44025,3,11000.0
2020-10-27,11000.0,11000.0,11000.0,11000.0,611347000,55577,12,11000.0
2020-10-28,11000.0,11000.0,11000.0,11000.0,22330968000,2030088,70,11000.0
2020-10-31,11000.0,12100.0,11000.0,11030.0,33920894700,3076107,131,12100.0
2020-11-01,12130.0,12130.0,12000.0,12020.0,1370783100,114018,56,12000.0
2020-11-02,12000.0,12000.0,11500.0,11500.0,6363723000,553192,27,11500.0
2020-11-04,11500.0,11500.0,11500.0,11500.0,7247990000,630260,21,11500.0
2020-11-07,11000.0,11000.0,10500.0,10510.0,11237408000,1069634,34,10500.0
2020-11-08,10500.0,10500.0,10500.0,10500.0,5250000,500,1,10500.0
2020-11-09,10000.0,10000.0,10000.0,10000.0,11039400000,1103940,40,10000.0
2020-11-10,10000.0,10000.0,10000.0,10000.0,14836740000,1483674,75,10000.0
2020-11-11,10500.0,11000.0,10500.0,10850.0,216958267000,20000000,601,11000.0
2020-11-14,11940.0,11940.0,11940.0,11940.0,136434236820,11426653,753,11940.0
2020-11-15,13130.0,13130.0,13130.0,13130.0,64337000000,4900000,284,13130.0
2020-11-16,14440.0,14440.0,14440.0,14440.0,76532000000,5300000,390,14440.0
2020-11-17,15880.0,15880.0,14440.0,14540.0,52659875660,3622457,280,14440.0
2020-11-21,15500.0,15540.0,14540.0,15080.0,50270416730,3333897,158,14540.0
2020-11-22,15080.0,16590.0,14500.0,14670.0,363009125770,24739709,566,15100.0
2020-11-23,16140.0,16140.0,14900.0,14920.0,44077745190,2954234,120,14900.0
2020-11-24,15200.0,16410.0,14920.0,15020.0,185055271540,12323435,294,14920.0
