date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-01-28,1000.0,1000.0,1000.0,1000.0,2980000,2980,1,1000.0,1000.0
2014-04-12,700.0,700.0,700.0,700.0,700000,1000,1,1000.0,700.0
2014-04-13,600.0,600.0,450.0,464.0,5100000,11000,2,700.0,450.0
2014-04-27,390.0,390.0,270.0,327.0,15353340,46906,5,464.0,270.0
2014-06-30,353.0,353.0,353.0,353.0,15858172,44924,1,327.0,353.0
2014-07-02,352.0,352.0,352.0,352.0,15813248,44924,1,353.0,352.0
2014-08-31,356.0,356.0,356.0,356.0,1068,3,1,352.0,356.0
2014-09-01,355.0,355.0,355.0,355.0,106500,300,1,356.0,355.0
2014-09-07,355.0,355.0,355.0,355.0,738400,2080,2,355.0,355.0
2014-10-15,461.0,461.0,461.0,461.0,3464415,7515,1,355.0,461.0
2014-10-20,500.0,700.0,500.0,558.0,53441800,95716,10,461.0,700.0
2014-10-22,700.0,700.0,623.0,696.0,17568600,25230,4,558.0,700.0
2014-10-27,750.0,750.0,601.0,638.0,19698130,30868,4,696.0,601.0
2014-10-29,601.0,602.0,601.0,601.0,14754176,24538,3,638.0,602.0
2014-11-09,602.0,603.0,602.0,602.0,35943024,59662,3,601.0,603.0
2014-11-17,601.0,601.0,601.0,601.0,26046138,43338,1,602.0,601.0
2014-11-19,601.0,601.0,601.0,601.0,3906500,6500,1,601.0,601.0
2014-11-25,600.0,600.0,600.0,600.0,12000000,20000,4,601.0,600.0
2014-12-02,570.0,570.0,570.0,570.0,630420,1106,1,600.0,570.0
2014-12-16,570.0,570.0,570.0,570.0,5069580,8894,1,570.0,570.0
2015-01-06,502.0,502.0,502.0,502.0,25100,50,1,570.0,502.0
2015-03-15,505.0,505.0,505.0,505.0,4848000,9600,1,502.0,505.0
2015-03-16,505.0,505.0,505.0,505.0,10100000,20000,1,505.0,505.0
2015-04-20,507.0,507.0,506.0,507.0,10241200,20200,2,505.0,506.0
2015-05-03,507.0,507.0,507.0,507.0,4215705,8315,1,507.0,507.0
2015-05-17,507.0,507.0,500.0,502.0,76235095,151885,4,507.0,500.0
2015-05-20,480.0,480.0,380.0,393.0,172950000,440000,11,502.0,412.0
2015-05-23,402.0,402.0,400.0,401.0,107225200,267313,4,393.0,400.0
2015-05-24,400.0,440.0,400.0,420.0,42000000,100000,3,401.0,440.0
2015-05-26,450.0,450.0,431.0,437.0,13120000,30000,2,420.0,431.0
2015-05-27,450.0,450.0,450.0,450.0,19209150,42687,2,437.0,450.0
2015-05-31,450.0,450.0,450.0,450.0,3290850,7313,1,450.0,450.0
2015-06-14,422.0,430.0,422.0,424.0,11878710,27997,2,450.0,430.0
2015-06-15,387.0,387.0,387.0,387.0,30960000,80000,1,424.0,387.0
2015-06-20,450.0,450.0,450.0,450.0,4500000,10000,1,387.0,450.0
2015-06-21,450.0,450.0,450.0,450.0,4500000,10000,1,450.0,450.0
2015-06-22,450.0,450.0,450.0,450.0,2250000,5000,1,450.0,450.0
2015-06-23,450.0,450.0,450.0,450.0,11250000,25000,1,450.0,450.0
2015-07-04,450.0,450.0,450.0,450.0,1350000,3000,1,450.0,450.0
2015-07-15,639.0,639.0,639.0,639.0,65178000,102000,2,450.0,639.0
2015-08-10,501.0,501.0,501.0,501.0,25050000,50000,1,639.0,501.0
2015-08-30,450.0,450.0,450.0,450.0,2445750,5435,1,501.0,450.0
2015-09-02,450.0,450.0,450.0,450.0,900000,2000,1,450.0,450.0
2015-09-15,407.0,407.0,402.0,403.0,13032651,32313,3,450.0,402.0
2015-10-05,355.0,356.0,355.0,355.0,17761065,50003,2,403.0,356.0
