date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-05-01,7500.0,7500.0,7500.0,7500.0,7500000,1000,1,0.0,7500.0
2001-05-16,7125.0,7125.0,7125.0,7125.0,14250000,2000,1,7500.0,7125.0
2001-05-20,8600.0,8600.0,8600.0,8600.0,8600000,1000,1,7125.0,8600.0
2001-05-21,8400.0,8400.0,8387.0,8387.0,124361499,14808,4,8600.0,8387.0
2001-06-16,8300.0,8300.0,8300.0,8300.0,20750000,2500,1,8387.0,8300.0
2001-07-01,7885.0,7885.0,7885.0,7885.0,7885000,1000,1,8300.0,7885.0
2001-07-21,7730.0,7730.0,7730.0,7730.0,7730000,1000,2,7885.0,7730.0
2001-07-24,7350.0,7350.0,7350.0,7350.0,14700000,2000,4,7730.0,7350.0
2001-07-30,7000.0,7000.0,6983.0,6983.0,61784669,8843,4,7350.0,6983.0
2001-07-31,6800.0,6800.0,6800.0,6800.0,23800000,3500,9,6983.0,6800.0
2001-08-04,6795.0,6795.0,6795.0,6795.0,14507325,2135,1,6800.0,6795.0
2001-08-05,6700.0,6799.0,6700.0,6799.0,3127861936,460064,7,6795.0,6799.0
2001-08-06,6900.0,6983.0,6900.0,6983.0,24324300,3500,4,6799.0,6983.0
2001-08-11,6980.0,6982.0,6980.0,6982.0,36299664,5200,5,6983.0,6982.0
2001-08-12,6982.0,6982.0,6982.0,6982.0,6947090,995,1,6982.0,6982.0
2001-08-15,6981.0,6981.0,6981.0,6981.0,3951246,566,1,6982.0,6981.0
2001-08-19,6980.0,6982.0,6980.0,6982.0,12565634,1800,3,6981.0,6982.0
2001-08-20,6979.0,7000.0,6970.0,7000.0,122814810,17586,12,6982.0,7000.0
2001-08-21,7050.0,7050.0,7030.0,7030.0,121179270,17209,2,7000.0,7030.0
2001-08-25,7030.0,7030.0,7030.0,7030.0,3978980,566,1,7030.0,7030.0
2001-08-26,7030.0,7030.0,7030.0,7030.0,1406000,200,1,7030.0,7030.0
2001-08-27,7031.0,7031.0,7031.0,7031.0,32441034,4614,7,7030.0,7031.0
2001-08-28,7020.0,7031.0,7020.0,7031.0,18642512,2652,5,7031.0,7031.0
2001-08-29,7050.0,7050.0,7050.0,7050.0,9503400,1348,3,7031.0,7050.0
2001-09-01,7050.0,7050.0,7050.0,7050.0,1981050,281,2,7050.0,7050.0
2001-09-02,8500.0,8500.0,8499.0,8500.0,105420368,12403,7,7050.0,8500.0
2001-09-04,8077.0,8077.0,8075.0,8075.0,40379000,5000,7,8500.0,8075.0
2001-09-05,7800.0,7800.0,7800.0,7800.0,53820000,6900,5,8075.0,7800.0
2001-09-08,7700.0,7700.0,7654.0,7656.0,51827920,6764,8,7800.0,7656.0
2001-09-09,7659.0,7659.0,7652.0,7652.0,49523044,6468,11,7656.0,7652.0
2001-09-10,7640.0,7646.0,7640.0,7646.0,45857208,6000,5,7652.0,7646.0
2001-09-11,7616.0,7616.0,7616.0,7616.0,761600,100,1,7646.0,7616.0
2001-09-19,7486.0,7486.0,7486.0,7486.0,7486000,1000,1,7616.0,7486.0
2001-09-22,7400.0,7400.0,7400.0,7400.0,37000000,5000,2,7486.0,7400.0
2001-09-23,7271.0,7271.0,7250.0,7250.0,16484983,2273,3,7400.0,7250.0
2001-09-24,7050.0,7050.0,6900.0,6900.0,17855400,2566,2,7250.0,6900.0
