date,open,high,low,adjClose,value,volume,count,close
2001-04-10,12500.0,13000.0,12500.0,13000.0,23310200,1820,7,13000.0
2001-04-11,12550.0,13000.0,12506.0,12510.0,162649260,12940,15,12510.0
2001-04-14,12200.0,12200.0,11999.0,11999.0,43649400,3600,4,11999.0
2001-04-15,11999.0,12000.0,11990.0,12000.0,194160213,16181,39,12000.0
2001-04-16,12000.0,12001.0,11999.0,12001.0,114172190,9514,20,12001.0
2001-04-17,12100.0,12550.0,12000.0,12011.0,277426230,22960,18,12011.0
2001-04-18,12400.0,12500.0,12300.0,12500.0,447090100,35953,13,12500.0
2001-04-21,12625.0,12800.0,12600.0,12800.0,180268356,14239,9,12800.0
2001-04-22,13000.0,13105.0,12980.0,12999.0,137381090,10528,18,12999.0
2001-04-23,12804.0,13000.0,12800.0,13000.0,473722630,36741,31,13000.0
2001-04-24,13000.0,13000.0,12999.0,12999.0,123681820,9514,21,12999.0
2001-04-25,13000.0,13200.0,12999.0,13200.0,113083870,8668,20,13200.0
2001-04-28,13212.0,13215.0,13212.0,13215.0,2470914,187,2,13215.0
2001-04-30,13850.0,13850.0,13830.0,13850.0,38077360,2750,9,13850.0
2001-05-01,13850.0,13900.0,13850.0,13900.0,34569570,2493,8,13900.0
2001-05-02,13904.0,13904.0,13853.0,13853.0,109501486,7884,11,13853.0
2001-05-06,13839.0,13839.0,13829.0,13829.0,8990282,650,3,13829.0
2001-05-07,13697.0,13699.0,13690.0,13699.0,120667550,8810,26,13699.0
2001-05-08,13799.0,13830.0,13798.0,13830.0,38157317,2763,9,13830.0
2001-05-09,13897.0,13897.0,13819.0,13819.0,43661603,3149,8,13819.0
2001-05-12,13691.0,13692.0,13679.0,13680.0,44727629,3267,8,13680.0
2001-05-15,13650.0,13660.0,13600.0,13600.0,26274250,1929,5,13600.0
2001-05-16,13700.0,13750.0,13550.0,13750.0,207614650,15176,21,13750.0
2001-05-19,13812.0,13812.0,13812.0,13812.0,7002684,507,2,13812.0
2001-05-20,13934.0,14299.0,13934.0,14260.0,253306251,17861,39,14260.0
2001-05-21,14260.0,14350.0,14220.0,14350.0,234732584,16431,27,14350.0
2001-05-23,14300.0,14300.0,14300.0,14300.0,7150000,500,2,14300.0
2001-05-26,14300.0,14350.0,14300.0,14300.0,60383700,4216,15,14300.0
2001-05-27,14350.0,14500.0,14350.0,14400.0,785384674,54229,18,14400.0
2001-05-28,14410.0,14500.0,14410.0,14500.0,132494960,9174,11,14500.0
2001-05-29,14500.0,14606.0,14500.0,14603.0,314615871,21605,34,14603.0
2001-05-30,14610.0,14650.0,14603.0,14650.0,194627686,13318,24,14650.0
2001-06-02,14652.0,15000.0,14612.0,14902.0,803562820,53907,45,14902.0
2001-06-03,15050.0,15290.0,14902.0,15290.0,216048110,14294,12,15290.0
2001-06-06,15450.0,15600.0,15291.0,15505.0,130007503,8393,25,15505.0
2001-06-09,15600.0,15900.0,15600.0,15900.0,72836550,4630,17,15900.0
2001-06-11,16051.0,16100.0,15967.0,16000.0,184454810,11493,34,16000.0
2001-06-12,16051.0,16100.0,16050.0,16100.0,23617770,1471,7,16100.0
2001-06-13,16180.0,16180.0,16140.0,16140.0,87024589,5389,16,16140.0
2001-06-16,16200.0,16202.0,16140.0,16202.0,75521800,4665,17,16202.0
2001-06-17,16270.0,16300.0,16220.0,16220.0,164547070,10120,34,16220.0
2001-06-18,16220.0,16220.0,16111.0,16111.0,113778520,7051,19,16111.0
2001-06-19,16099.0,16099.0,15799.0,15800.0,295597520,18677,24,15800.0
2001-06-20,15800.0,15800.0,15800.0,15800.0,76393000,4835,11,15800.0
2001-06-23,15796.0,15796.0,15742.0,15742.0,24825572,1574,6,15742.0
2001-06-24,15694.0,15694.0,15600.0,15649.0,47286087,3024,9,15649.0
2001-06-25,15585.0,15585.0,15500.0,15580.0,48760955,3135,8,15580.0
